condition,molecule,label,potential,boundary,density_mode,initial_density_g_cm3,ensemble,temperature_K,pressure_kPa,molecules,frames,production_ps,angular_kl_nats,msd_final_nm2,measured_temperature_K,measured_temperature_K_block_se,potential_kJ_mol_molecule,potential_kJ_mol_molecule_block_se,density_g_cm3,density_g_cm3_block_se,fcc_order,fcc_order_block_se,polar_order,polar_order_block_se,nematic_order,nematic_order_block_se,multipolar_order,multipolar_order_block_se,local_q6,local_q6_block_se,nearest_neighbor_nm,nearest_neighbor_nm_block_se,rotation_c2,rotation_c2_block_se,wall_kJ_mol_molecule,wall_kJ_mol_molecule_block_se,intermolecular_kJ_mol_molecule,intermolecular_kJ_mol_molecule_block_se,a1_squared,a1_squared_block_se,a2_squared,a2_squared_block_se,a3_squared,a3_squared_block_se,a4_squared,a4_squared_block_se,a5_squared,a5_squared_block_se,a6_squared,a6_squared_block_se,msd_slope_proxy_nm2_ps,cv_fluct_J_mol_K,cp_fluct_J_mol_K,compressibility_fluct_kPa_inv,expansion_fluct_K_inv
glycerol_coulomb_lj_p00_t00,glycerol,Glycerol-inspired,coulomb_lj,periodic,reference,1.2612999999999999,npt,180.0,10.0,32,40,2.0,0.4472286948538293,0.002387499899206831,147.01608388085623,1.6996380175663917,-39.35638182006581,0.22909947271871337,1.2954794321769287,0.003946476540825072,0.8666795246818818,0.01162084884517571,0.2076738586787219,0.01199403512112337,0.10210123914716414,0.007489307915947686,0.10514471962706291,0.0028839991204343066,0.5353868399579169,0.00323187341939649,0.5051378977871963,0.0006343645075544063,0.5855209594586575,0.08344320957023221,0.0,0.0,-39.35638182006581,0.22909947271871337,0.013163746611377283,0.00519971241191496,-0.016203023592228544,0.0014396305465829249,-0.0006032684599731706,0.007113287832655726,0.025251613216526636,0.004635504326976417,-0.0003930873580849082,0.006677804809277342,0.012779383893947033,0.0024966842108966655,0.00017876856263413995,,24.29561377754031,1.0407012802051995e-07,0.0002860324462502454
glycerol_coulomb_lj_p00_t01,glycerol,Glycerol-inspired,coulomb_lj,periodic,reference,1.2612999999999999,npt,300.0,10.0,32,40,2.0,0.28418745019323033,0.004524782895260897,263.8220541900363,17.176265994489786,-35.55689537092512,0.4831947608229972,1.259171319094213,0.010506631520755351,0.8634001870521899,0.017095913792487795,0.29900127859794245,0.02762630124249016,0.11164592926709127,0.011410737005696184,0.12698058169301216,0.01347616453098948,0.5306332431707071,0.00658729312451136,0.5077875822603589,0.0021357815707745693,0.22401023474050663,0.11203272082042837,0.0,0.0,-35.55689537092512,0.4831947608229972,0.06304934216557627,0.01671188917462763,-0.010010811663007615,0.005955911787790244,0.004841209867846686,0.006785619403123028,0.010159930491370305,0.004866335645991863,-0.00292819709897055,0.0033567100761585206,0.004309921126552369,0.0029954039641188752,1.4092984482154767e-05,,80.543395526644,3.1504771609190295e-07,0.0007664402943690724
glycerol_coulomb_lj_p00_t02,glycerol,Glycerol-inspired,coulomb_lj,periodic,reference,1.2612999999999999,npt,600.0,10.0,32,40,2.0,0.1592096878697266,0.0245569241995744,458.70597441907205,15.283969258596434,-25.311995829877073,1.5521281143200378,0.9721804626902628,0.048611146744135775,0.3751968117927563,0.0648588361744318,0.2469366758134944,0.02535646491732955,0.14796529142537548,0.014345515024648321,0.10577116028349079,0.01203543740828745,0.3662763920972412,0.021060366632605687,0.5062668151922592,0.0011314514847554824,0.02609853256649187,0.07334539855035588,0.0,0.0,-25.311995829877073,1.5521281143200378,0.03816224501968239,0.015984443277459293,0.0007039057368172916,0.003698477729946169,0.003069651455398359,0.0067727781986148955,0.00260183779595078,0.0019267035460464974,-0.0017091617691713374,0.0022574611480925782,0.002403433413584374,0.0011715667692001244,0.0005126886510492222,,100.08322212329988,4.716989782978645e-06,0.002744098042501404
glycerol_lj_p00_t00,glycerol,Glycerol-inspired,lj,periodic,reference,1.2612999999999999,npt,180.0,10.0,32,40,2.0,0.237599274732547,0.00265011239999694,162.51550248538092,5.892170487585721,-34.465194440992,0.1455142051129841,1.2945637167006232,0.002343777323940413,0.8860797196497716,0.009717391161783516,0.14282216458749125,0.02160673077867709,0.06879850327737498,0.009993489627551597,0.07337153061780097,0.0034222051636982483,0.5420203999054383,0.002850255250077332,0.5063903413090214,0.0009515457362156117,0.2963964450044133,0.13932477860292644,0.0,0.0,-34.465194440992,0.1455142051129841,-0.009027921113445182,0.0065807761491959394,-0.0247247820898683,0.0018240006450059888,-0.004947698143617384,0.0024959721173226173,0.005210540072605181,0.0026485896438727123,0.0018016669890091376,0.004331397025117377,0.009599224432885441,0.002772428058708311,6.862153224571641e-06,,25.819260649859945,1.065744750139156e-07,0.00010949556931886037
glycerol_lj_p00_t01,glycerol,Glycerol-inspired,lj,periodic,reference,1.2612999999999999,npt,300.0,10.0,32,40,2.0,0.19564653334662213,0.005081194451841421,250.5584504577248,6.915809383467479,-32.369840071976284,0.15918000439662794,1.2686434512013265,0.0012853086044933343,0.8517183501047587,0.009241945531067774,0.20389587632962786,0.008294319402551995,0.10025334883391476,0.01374879023608724,0.06981479899204225,0.01019294520283553,0.5305275744729331,0.0030781543914706173,0.5049581942317489,0.0013798047153605589,0.22752595308898008,0.131006493376814,0.0,0.0,-32.369840071976284,0.15918000439662794,0.013373010317067183,0.00271447929629295,-0.01708083235510282,0.004382216639676622,-0.0031071123063693955,0.001026399414226916,0.0036247427492498443,0.003834271805164373,-0.0014842037136453463,0.006081623766747512,-0.0037104818952959804,0.003605713052487584,0.00028482241372502245,,15.1224313511626,9.817819857994019e-08,6.235019143249751e-05
glycerol_lj_p00_t02,glycerol,Glycerol-inspired,lj,periodic,reference,1.2612999999999999,npt,600.0,10.0,32,40,2.0,0.10888018022601116,0.019726435824553468,458.19966726590263,29.347462727166604,-26.17847586413661,0.6461722060195904,1.1041179799341498,0.020714253547850055,0.6131862460002706,0.04437149335060686,0.1825066931618513,0.03233307783111302,0.13563367410070973,0.010092552920058845,0.08174304988360082,0.007357923843799363,0.4456148935311351,0.016813859873292827,0.5049713188341768,0.0006159790644788745,0.114857526257475,0.0654298078818405,0.0,0.0,-26.17847586413661,0.6461722060195904,0.008300515249331102,0.010886663700467973,-0.0020684312075596395,0.0040618717686832645,-0.002954571634972151,0.005074795301135757,0.001796377880915144,0.0064249278282811585,-0.0022390118035417557,0.0008577465014461425,0.00263987736243242,0.0037397119528458965,0.0009994741786668213,,61.775949737232594,7.466720370350742e-07,0.0008170607429398706
glycerol_coulomb_wca_p00_t00,glycerol,Glycerol-inspired,coulomb_wca,periodic,reference,1.2612999999999999,npt,180.0,10.0,32,40,2.0,0.3140935847018364,0.013223393702751999,160.18991663447514,10.0154216501059,-2.161785237410112,0.10514071857069233,0.9990333872307471,0.044865094772099524,0.7555029670798227,0.06409817594492229,0.3090110030890278,0.07687351166964398,0.1782004169275617,0.023017513122551053,0.13654491575790634,0.026438113305279086,0.49284951304545765,0.02121822871180275,0.5370312099111985,0.0025549705676077435,0.2129548451755472,0.14401203103407362,0.0,0.0,-2.161785237410112,0.10514071857069233,0.08638515690273843,0.045219070126862236,0.008839004043947066,0.007893126190642629,0.003657422895294433,0.003768070257047289,-0.0010785519274778927,0.005915270659100652,-0.0016143611466086134,0.0015718606579461863,-0.00023548058885382097,0.0035143518223141883,0.0012650942729394506,,8.073857862577377,1.2525196191497093e-05,0.0019105050333095665
glycerol_coulomb_wca_p00_t01,glycerol,Glycerol-inspired,coulomb_wca,periodic,reference,1.2612999999999999,npt,300.0,10.0,32,40,2.0,0.16528231012116584,0.04322013650625953,237.08663734163838,14.760943778149516,-1.4557132802326294,0.0736662396361328,0.7561110455790627,0.027986532358182322,0.22606440998229255,0.05091233455748172,0.22079779615998757,0.05612169336390837,0.12189914865656919,0.005459928710680043,0.08479275760851579,0.028188964973520664,0.3309587430188613,0.011255845075203306,0.5422154564427188,0.0017662072448424836,0.11028397652899795,0.14617013992798067,0.0,0.0,-1.4557132802326294,0.0736662396361328,0.03230669850586644,0.03171893982067605,-0.009858959588134594,0.002548864304010618,0.001885787994823028,0.004826639512651395,-0.002707046825126039,0.0024641872166869284,-0.000851814758187799,0.002184213304520151,0.0005046822279542352,0.0031385090330738295,0.004853050097171819,,19.480645259645645,7.471300495048386e-06,0.0016405395404359906
glycerol_coulomb_wca_p00_t02,glycerol,Glycerol-inspired,coulomb_wca,periodic,reference,1.2612999999999999,npt,600.0,10.0,32,40,2.0,0.13940385300414437,0.13783561196269273,525.9112685093257,25.01205418230913,-0.3844211563021588,0.16330346072254043,0.5137381327646364,0.03678221457838345,0.031732236875007785,0.00693600708916996,0.23602998861137592,0.02948419734688712,0.13758789336794366,0.007784590561270209,0.09019683276071463,0.012506667843511676,0.2878752317335492,0.0057547049120628135,0.5550419722488682,0.0048248501554184866,0.08695612064011789,0.07219035089335239,0.0,0.0,-0.3844211563021588,0.16330346072254043,0.033281124905313555,0.013861982402129928,-0.0034351256155802203,0.0023287186277253487,-0.004038574481920644,0.0022975228405200014,-0.0020801337001632044,0.003795981608920531,-0.002238994693356069,0.0020833300646438424,-0.0003782934302373463,0.002497959962869097,0.008699074538881904,,11.409830523422837,1.977523216304418e-05,0.0006981513480676248
glycerol_wca_p00_t00,glycerol,Glycerol-inspired,wca,periodic,reference,1.2612999999999999,npt,180.0,10.0,32,40,2.0,0.20875327860146348,0.009670460745811817,137.75356088839493,7.3400345716068776,1.232723978627473,0.27448863247878486,0.9979414984040089,0.045620897585240294,0.7915982976696896,0.04238650525758717,0.14013078679412697,0.039983937554306376,0.1270794144951705,0.013751736405591837,0.07697077551777058,0.007812830246046067,0.5058681107444398,0.015737685432416135,0.5401616821283161,0.0031079083925575337,0.15109758878676952,0.14880618440184287,0.0,0.0,1.232723978627473,0.27448863247878486,-0.005576936338673273,0.013829677108041605,-0.008537577265650739,0.0030576005830933685,-0.0018545977789483324,0.004588496564791075,0.0028212916252883828,0.004722695602477803,0.0028685687320402836,0.005365293158812446,0.003587200542944717,0.0030245741633784314,0.0006410579201209126,,12.942700744415015,1.3039880474711447e-05,-0.0022709358581296806
