condition,molecule,label,potential,boundary,density_mode,initial_density_g_cm3,ensemble,temperature_K,pressure_kPa,molecules,frames,production_ps,angular_kl_nats,msd_final_nm2,measured_temperature_K,measured_temperature_K_block_se,potential_kJ_mol_molecule,potential_kJ_mol_molecule_block_se,density_g_cm3,density_g_cm3_block_se,fcc_order,fcc_order_block_se,polar_order,polar_order_block_se,nematic_order,nematic_order_block_se,multipolar_order,multipolar_order_block_se,local_q6,local_q6_block_se,nearest_neighbor_nm,nearest_neighbor_nm_block_se,rotation_c2,rotation_c2_block_se,wall_kJ_mol_molecule,wall_kJ_mol_molecule_block_se,intermolecular_kJ_mol_molecule,intermolecular_kJ_mol_molecule_block_se,a1_squared,a1_squared_block_se,a2_squared,a2_squared_block_se,a3_squared,a3_squared_block_se,a4_squared,a4_squared_block_se,a5_squared,a5_squared_block_se,a6_squared,a6_squared_block_se,msd_slope_proxy_nm2_ps,cv_fluct_J_mol_K,cp_fluct_J_mol_K,compressibility_fluct_kPa_inv,expansion_fluct_K_inv
glycerol_coulomb_lj_p00_t00,glycerol,Glycerol-inspired,coulomb_lj,walls,reference,1.2612999999999999,nvt,180.0,,32,40,2.0,0.2029426491848209,0.00582547474642447,159.80887902063012,6.321585038273896,-21.384764062858213,0.1380263490963059,1.2613,0.0,0.762306593714675,0.009799183801176064,0.07955669390435427,0.00980666088664924,0.18870830328554003,0.030428494730385135,0.07406627503269443,0.013251676184953244,0.2581742938858561,0.0002943026224535526,0.5256132157659984,0.0014801096657988501,0.30769390635507754,0.10439648854053524,0.12211122413815186,0.006219162782098724,-21.506875286996365,0.139776375796874,-0.024957137227175772,0.0017949441547892653,0.016934338632843153,0.014138048192610572,-0.012218558544438443,0.0036574341046405456,-0.0022442247101139693,0.006233852772319029,-0.0009381897434612106,0.005411026502215949,0.002576075118483633,0.003172035148041165,0.00018040113859885872,31.398262043606046,,,
glycerol_coulomb_lj_p00_t01,glycerol,Glycerol-inspired,coulomb_lj,walls,reference,1.2612999999999999,nvt,300.0,,32,40,2.0,0.17162294885757626,0.011981166673225033,255.04740085107582,10.384011618915236,-20.11404468574211,0.08237187465998817,1.2613,0.0,0.734446380365982,0.014106288321652942,0.12763339607454371,0.020817712767893282,0.1745537260286714,0.010905169536931991,0.0724970600956666,0.00589894981210735,0.2565816371362545,0.0006127439897119236,0.5211665149465083,0.0009902351895541492,0.16272452496247497,0.1120811424500409,0.21606820068672308,0.017708414807579172,-20.330112886428832,0.07230810974509916,-0.012654248775223462,0.005756898081521243,0.012236447600776041,0.0064914007197252955,0.004859795504781145,0.0029149818092555667,-0.0026943036849346666,0.0005900736229905607,-0.002336895039836389,0.0018552048694241566,-0.0029952518319853643,0.001823857101482433,0.0010518739851567238,15.825445690226372,,,
glycerol_coulomb_lj_p00_t02,glycerol,Glycerol-inspired,coulomb_lj,walls,reference,1.2612999999999999,nvt,600.0,,32,40,2.0,0.12753694457296938,0.009268360803839217,499.38999947038445,28.586525990311497,-17.295067232617697,0.26607809031077123,1.2613,0.0,0.6906976948108133,0.017114406623146013,0.1282008685510215,0.022858053796125162,0.12750182204634225,0.0069902049651182855,0.05858580898127232,0.008190973995853232,0.2560345224040265,0.0005250675128416888,0.5159871509150907,0.0012376667346298933,0.15419293063345427,0.07462938821480052,0.5068600791007685,0.03386949397499735,-17.801927311718465,0.23606876435334948,-0.012323945008156057,0.005736014173692998,-0.010090827828815102,0.002628742098329628,0.001848779923182646,0.004156347337303873,0.00036492886301293486,0.002876558663233462,-0.00015851810918602742,0.002676757405100598,0.000251344560035683,0.0016830834626494911,0.0002473435173712916,28.030227444292713,,,
glycerol_lj_p00_t00,glycerol,Glycerol-inspired,lj,walls,reference,1.2612999999999999,nvt,180.0,,32,40,2.0,0.18117456507203555,0.012749933884823667,161.87212473600823,6.888309019353378,-18.429863390350285,0.13916454693844413,1.2613,0.0,0.6974880262618413,0.024251487358934044,0.13544625705985802,0.023928749037366782,0.12115054210484295,0.012796409854152455,0.04994737809690295,0.004948707882477431,0.2595018166814529,0.0007675187875083359,0.5252118308802436,0.001114456568537847,0.20928543757640358,0.12993394811092834,0.15294064988797823,0.01360275808326383,-18.582804040238262,0.13161793635523034,-0.009754493826232632,0.006968360866461161,-0.011345676729624554,0.0035060235897609775,-0.004156380241898148,0.004196343064770886,-0.0005125997700078999,0.0019913604179548697,-0.0012515259315479979,0.0022414714064249845,-0.0019018571817602096,0.002446888766198361,0.0009519164193263753,36.80864704012561,,,
glycerol_lj_p00_t01,glycerol,Glycerol-inspired,lj,walls,reference,1.2612999999999999,nvt,300.0,,32,40,2.0,0.17873083198682582,0.007954447560166014,262.96352801947876,10.650274982877296,-17.466522951310132,0.11424225599769781,1.2613,0.0,0.7257453463783003,0.0038285709229722454,0.2044424802398941,0.040038937456022404,0.16174819574202787,0.012709200337757146,0.09870546207150246,0.010722251248705414,0.2584082997794391,0.0009252479871389031,0.5208804706569504,0.0009103286288579467,0.1462772358283247,0.11731937119964991,0.2449743740469162,0.021125323081394642,-17.71149732535705,0.10498581077432038,0.016903375475698652,0.018475560923001826,0.007378531861879136,0.006961588170312218,7.860212904769216e-05,0.00454196717684004,0.0040233395404971044,0.0041466364373857045,0.004462941393878773,0.003882834260092802,0.003181277332891097,0.0022369609509876286,3.6241088130647515e-05,16.85251039989263,,,
glycerol_lj_p00_t02,glycerol,Glycerol-inspired,lj,walls,reference,1.2612999999999999,nvt,600.0,,32,40,2.0,0.10787488547768057,0.011466590030691812,540.2565667194355,23.425156287484636,-14.990431909103927,0.11496000504690652,1.2613,0.0,0.7139573419615228,0.02638604280556002,0.15668965161463583,0.01150639943321627,0.11771125398975442,0.014915771616664616,0.07033243029964906,0.008821064808129553,0.25396271157986827,0.002613236112572089,0.5170483131293709,0.001624029438866591,0.09800955804538591,0.0778621497871986,0.5526343935830049,0.048352910240006264,-15.54306630268693,0.09595443428756667,-0.0037997082792110204,0.004381732743200449,-0.007539195604214071,0.004338372303355168,0.0016637281362955087,0.003911317817542694,0.005343687144348191,0.004318994485265737,0.0021472282637385294,0.0034464811637735905,-0.0032764141434233297,0.001979536494069917,0.000170135786217865,14.808958698222513,,,
glycerol_coulomb_wca_p00_t00,glycerol,Glycerol-inspired,coulomb_wca,walls,reference,1.2612999999999999,nvt,180.0,,32,40,2.0,0.1790756217275104,0.007572123744318642,197.8646657446738,12.430184804483186,-0.4903240415928445,0.14181595970654104,1.2613,0.0,0.7232708724579313,0.00783275466478279,0.08968089130898481,0.0063403427622351375,0.13181799118894344,0.005620866723999619,0.05585828080500754,0.009970994666594419,0.25717389156922216,0.0009924644526445386,0.531857853194377,0.002652765429927159,0.2390209193404075,0.11163703795015982,0.288821196676276,0.0186503427098908,-0.7791452382691204,0.1291806405652465,-0.0231026132674436,0.0012465530195731613,-0.005273341781778219,0.002631397721291317,-0.0039027685399792775,0.005415938659566077,0.0054599959676315075,0.0024247709839896967,-0.004946669964516021,0.003413674265753249,0.00482639206134246,0.004767544549608499,0.0002857643893735853,58.42721525596935,,,
glycerol_coulomb_wca_p00_t01,glycerol,Glycerol-inspired,coulomb_wca,walls,reference,1.2612999999999999,nvt,300.0,,32,40,2.0,0.1457056021634254,0.012896988813015979,286.3643407216406,12.740349740113807,0.5782867037283188,0.15919073422535845,1.2613,0.0,0.6421348019977571,0.015267331027232251,0.16034481496635394,0.03839760979510306,0.14561855845497904,0.00971648113655588,0.07661794473154995,0.014741173662247756,0.2571988103621779,0.0013413106260607595,0.5255652288497271,0.0019401220289446421,0.23194397608341694,0.10763207064744335,0.45655242871138507,0.03363046400946465,0.12173427501693368,0.12743224126677566,0.0006551220622772423,0.012603083805328477,0.004360939375365024,0.001602936111153695,-0.00449146860266068,0.004279137845170266,0.0017447116141534943,0.0018734826854817001,0.0014011997609462258,0.004958650921814491,0.0006006181455588636,0.0033051897075079537,0.0006432359915222627,27.27790429320416,,,
glycerol_coulomb_wca_p00_t02,glycerol,Glycerol-inspired,coulomb_wca,walls,reference,1.2612999999999999,nvt,600.0,,32,40,2.0,0.14899512037660148,0.01724705500060026,593.8156861442279,41.562406441278746,4.34586211587001,0.3723793125510223,1.2613,0.0,0.3878365941710915,0.049789624343465955,0.1943389101763134,0.016677425115770517,0.1381287591507,0.0078030877566750085,0.08398860269880697,0.008354573981117263,0.24579019157199075,0.001492505884781676,0.5135189475368256,0.0018200861030810058,0.14815193547335231,0.06737582781196552,0.8868867468524388,0.06314985674182948,3.4589753690175713,0.3239380824142946,0.011688478294294242,0.006664794749758632,-0.003294099028444985,0.002531552537652212,0.0033236495901953463,0.005101843937140918,0.008755596682809548,0.0028311116346999014,-0.0036586089945894627,0.0024557570786374917,-0.004643249847589952,0.0020829080214003213,-0.0005016013888585296,51.22223609705254,,,
glycerol_wca_p00_t00,glycerol,Glycerol-inspired,wca,walls,reference,1.2612999999999999,nvt,180.0,,32,40,2.0,0.1889321730723295,0.006845853186662689,159.03871595271744,3.889891352171041,1.7286517905627483,0.13500817760138956,1.2613,0.0,0.7597309901706426,0.007762716510467678,0.07076835640322103,0.01364062809082511,0.13622206037939005,0.017765573088625513,0.069431722718886,0.007421014175518915,0.2583941376425659,0.001715345424945709,0.5396222490962449,0.000624605960253252,0.22773342046366843,0.09449989652487314,0.2662744020667968,0.013920268963578557,1.462377388495952,0.1221371974915517,-0.025918208165760258,0.001998881182719307,-0.004210792189827799,0.004384823997393899,0.009766044702095675,0.006681261048510958,0.002684687468090456,0.0045719537695055835,0.0013569200796890398,0.003916828743031263,-0.002781191317961925,0.002339996363325566,0.0004338389146875362,19.763427517290694,,,
