Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup
Simon,Lucina,1,0,1,-2,0,-1.0,0
Simon,Greninja,1,1,0,1,101,1.495,-1
Simon,Yoshi,2,0,1,-1,58,0.29,0
Palutena,Inkling,1,0,1,-2,60,-0.7,1
Palutena,Mewtwo,1,1,0,2,177,2.115,2
Palutena,Lucina,2,1,0,2,47,2.765,1
Palutena,Olimar,3,1,0,2,178,2.11,-1
Palutena,Peach,4,1,0,2,102,2.49,0
Palutena,Pyra & Mythra,1,1,0,1,100,1.5,0
Palutena,Steve,2,1,0,3,136,3.32,0
Palutena,Donkey Kong,3,0,1,-1,81,0.405,1
Bayonetta,Olimar,1,0,1,-2,86,-0.57,0
Bayonetta,Incineroar,1,1,0,1,99,1.505,1
Bayonetta,Wolf,2,0,1,-1,38,0.19,-1
Samus,Lucario,1,0,1,-2,89,-0.555,1
Samus,Byleth,1,1,0,2,182,2.09,1
Samus,Fox,2,1,0,1,168,1.16,0
Samus,Young Link,3,1,0,2,6,2.97,1
Samus,Wolf,4,1,0,2,106,2.47,0
Samus,Rosalina & Luma,1,1,0,2,12,2.94,-2
Samus,Pikachu,2,1,0,1,77,1.615,1
Samus,Ganondorf,3,1,0,2,93,2.535,1
Samus,Link,4,1,0,3,130,3.35,2
Samus,Bowser,5,1,0,2,20,2.9,0
Mii Brawler,Pyra & Mythra,1,0,1,-2,143,-0.285,-1
Mii Brawler,Palutena,1,1,0,2,100,2.5,-1
Mii Brawler,PacMan,2,1,0,2,0,3.0,-1
Mii Brawler,Ganondorf,3,0,1,-1,96,0.48,0
Mii Brawler,King K Rool,1,1,0,1,38,1.81,3
Mii Brawler,Luigi,2,1,0,2,92,2.54,-1
Mii Brawler,Lucario,3,1,0,2,32,2.84,2
Meta Knight,Kirby,1,0,1,-2,161,-0.195,2
Meta Knight,Wolf,1,1,0,2,102,2.49,0
Meta Knight,Yoshi,2,0,1,-1,34,0.17,-1
Meta Knight,Diddy Kong,1,1,0,3,159,3.205,-3
Meta Knight,Min Min,2,1,0,2,99,2.505,1
Meta Knight,Toon Link,3,1,0,2,58,2.71,-1
Meta Knight,Jigglypuff,4,1,0,1,0,2.0,-2
Meta Knight,Young Link,5,1,0,2,0,3.0,0
Diddy Kong,Kazuya,1,0,1,-1,19,0.095,-1
Diddy Kong,Wario,1,1,0,1,36,1.82,-1
Diddy Kong,King K Rool,2,1,0,1,41,1.795,1
Diddy Kong,Lucina,3,0,1,-2,69,-0.655,-2
Diddy Kong,Simon,1,0,1,-1,128,0.64,2
Steve,Captain Falcon,1,0,1,-1,23,0.115,1
Steve,Ice Climbers,1,1,0,2,94,2.53,2
Steve,Ken,2,1,0,2,62,2.69,2
Steve,Zero Suit Samus,3,1,0,2,68,2.66,0
Steve,Lucina,4,1,0,2,94,2.53,2
Steve,Kazuya,5,0,1,-1,35,0.175,0
Little Mac,Steve,1,0,1,-1,35,0.175,-2
Little Mac,Meta Knight,1,1,0,1,70,1.65,-1
Little Mac,Mewtwo,2,1,0,2,36,2.82,2
Little Mac,Dark Pit,3,1,0,2,24,2.88,0
Little Mac,Ganondorf,4,1,0,2,78,2.61,-1
Mario,Falco,1,0,1,-1,47,0.235,-1
Mario,Chrom,1,1,0,2,0,3.0,0
Mario,Ice Climbers,2,1,0,2,102,2.49,-2
Mario,King K Rool,3,1,0,2,105,2.475,3
Mario,Young Link,1,1,0,3,160,3.2,1
Mario,Shulk,2,1,0,2,0,3.0,2
Mario,Rosalina & Luma,3,1,0,1,72,1.64,-1
Mario,Toon Link,4,1,0,1,62,1.69,1
ROB,Pit,1,0,1,-1,54,0.27,1
ROB,Richter,1,1,0,2,78,2.61,-2
ROB,Lucas,2,1,0,3,80,3.6,2
ROB,Bayonetta,3,1,0,2,81,2.595,-1
Ken,Steve,1,0,1,-1,50,0.25,-2
Ken,Chrom,1,0,1,-2,56,-0.72,2
Joker,Lucario,1,0,1,-1,63,0.315,0
Joker,King Dedede,1,0,1,-1,96,0.48,2
Kazuya,Villager,1,0,1,-1,73,0.365,2
Kazuya,Kazuya,1,0,1,-1,0,0.0,0
Pichu,Link,1,0,1,-1,81,0.405,0
Pichu,Terry,1,1,0,1,82,1.59,0
Pichu,Shulk,2,1,0,1,24,1.88,-1
Pichu,Captain Falcon,3,0,1,-1,32,0.16,1
Pichu,Steve,1,0,1,-1,82,0.41,-2
Dark Samus,Villager,1,0,1,-1,84,0.42,-1
Dark Samus,Ken,1,1,0,2,91,2.545,2
Dark Samus,Bowser Jr,2,1,0,1,20,1.9,2
Dark Samus,Ganondorf,3,1,0,2,0,3.0,1
Dark Samus,Sephiroth,4,1,0,2,93,2.535,0
Lucario,Samus,1,0,1,-1,100,0.5,-1
Lucario,Min Min,1,1,0,2,140,2.3,-1
Lucario,Luigi,2,1,0,3,167,3.165,-1
Lucario,Ryu,3,1,0,2,112,2.44,-2
Lucario,Inkling,4,1,0,2,40,2.8,-1
Mega Man,Wii Fit Trainer,1,0,1,-1,108,0.54,0
Mega Man,Mewtwo,1,0,1,-1,36,0.18,3
Olimar,Bowser,1,1,0,1,97,1.515,1
Olimar,Ridley,2,0,1,-2,63,-0.685,2
Olimar,Roy,1,1,0,2,42,2.79,-1
Olimar,Villager,2,1,0,2,69,2.655,2
Olimar,Inkling,3,0,1,-1,130,0.65,1
Olimar,Joker,1,1,0,2,68,2.66,1
Olimar,Ice Climbers,2,0,1,-2,70,-0.65,1
Bowser Jr,Banjo & Kazooie,1,1,0,1,105,1.475,0
Bowser Jr,Villager,2,0,1,-1,0,0.0,2
Bowser Jr,Kirby,1,1,0,2,39,2.805,-1
Bowser Jr,Lucas,2,1,0,2,56,2.72,-2
Bowser Jr,Captain Falcon,3,1,0,2,77,2.615,-1
PacMan,Pichu,1,1,0,1,84,1.58,1
PacMan,ROB,2,0,1,-1,16,0.08,-1
PacMan,Min Min,1,1,0,1,3,1.985,0
PacMan,Yoshi,2,1,0,2,211,2.0,0
PacMan,Roy,3,1,0,2,6,2.97,-1
Daisy,Wii Fit Trainer,1,1,0,2,133,2.335,1
Daisy,King Dedede,2,0,1,-2,83,-0.585,1
Daisy,Dark Samus,1,1,0,2,128,2.36,0
Daisy,Dark Pit,2,1,0,2,122,2.39,0
Daisy,Pikachu,3,1,0,1,0,2.0,1
Daisy,Sora,1,0,1,-2,24,-0.88,1
Jigglypuff,Dr Mario,1,1,0,1,39,1.805,0
Jigglypuff,Zelda,2,0,1,-1,7,0.035,-1
Jigglypuff,Mr Game & Watch,1,1,0,1,21,1.895,-2
Jigglypuff,Joker,2,1,0,1,17,1.915,1
Jigglypuff,Samus,3,1,0,2,0,3.0,0
Lucina,Cloud,1,1,0,1,104,1.48,1
Lucina,Captain Falcon,2,0,1,-1,84,0.42,0
Lucina,Hero,1,1,0,2,82,2.59,2
Lucina,Sora,2,0,1,-1,0,0.0,-3
Lucina,Piranha Plant,1,0,1,-1,176,0.88,0
Rosalina & Luma,Incineroar,1,1,0,1,19,1.905,-1
Rosalina & Luma,Zelda,2,0,1,-1,22,0.11,0
Rosalina & Luma,Kirby,1,1,0,2,114,2.43,-1
Rosalina & Luma,Ridley,2,1,0,1,69,1.655,1
Rosalina & Luma,Incineroar,3,0,1,-1,81,0.405,-1
Rosalina & Luma,Mr Game & Watch,1,1,0,1,0,2.0,2
Rosalina & Luma,Wii Fit Trainer,2,1,0,2,68,2.66,0
Rosalina & Luma,Corrin,3,1,0,2,115,2.425,0
Rosalina & Luma,Palutena,4,1,0,1,116,1.42,0
Richter,Palutena,1,1,0,1,37,1.815,-1
Richter,Hero,2,0,1,-1,76,0.38,-1
Richter,Daisy,1,1,0,2,108,2.46,0
Richter,Steve,2,1,0,1,0,2.0,-2
Richter,Diddy Kong,3,1,0,1,133,1.335,-2
Richter,Kazuya,4,0,1,-1,81,0.405,0
Richter,Daisy,1,1,0,2,12,2.94,0
Richter,Isabelle,2,0,1,-2,107,-0.465,0
Marth,Ridley,1,1,0,1,0,2.0,-3
Marth,Mega Man,2,0,1,-1,14,0.07,0
Marth,Richter,1,1,0,2,164,2.18,0
Marth,Palutena,2,1,0,2,78,2.61,-2
Marth,Meta Knight,3,0,1,-1,124,0.62,1
Marth,Wii Fit Trainer,1,1,0,1,0,2.0,-1
Marth,Olimar,2,1,0,3,97,3.515,0
Marth,Bowser,3,0,1,-1,49,0.245,1
Mii Gunner,Wolf,1,1,0,1,21,1.895,-2
Mii Gunner,Banjo & Kazooie,2,0,1,-1,96,0.48,0
Mii Gunner,Rosalina & Luma,1,1,0,2,0,3.0,0
Mii Gunner,Kazuya,2,0,1,-2,62,-0.69,-2
Mii Gunner,Fox,1,1,0,2,0,3.0,-2
Mii Gunner,Piranha Plant,2,1,0,3,182,3.09,3
Mii Gunner,Sephiroth,3,1,0,1,13,1.935,0
Corrin,Marth,1,1,0,2,111,2.445,0
Corrin,Ness,2,0,1,-1,70,0.35,1
Corrin,Marth,1,1,0,2,67,2.665,0
Corrin,Sephiroth,2,1,0,1,37,1.815,0
Corrin,Ridley,3,1,0,2,34,2.83,-1
Pokemon Trainer,Palutena,1,1,0,2,36,2.82,1
Pokemon Trainer,Cloud,2,0,1,-1,90,0.45,-1
Pokemon Trainer,Daisy,1,1,0,2,136,2.32,0
Pokemon Trainer,Dark Pit,2,1,0,1,175,1.125,-1
Pokemon Trainer,Zero Suit Samus,3,1,0,3,126,3.37,0
Peach,Mega Man,1,1,0,1,13,1.935,-1
Peach,Palutena,2,1,0,1,0,2.0,0
Peach,ROB,3,0,1,-1,6,0.03,-1
Peach,Wii Fit Trainer,1,1,0,1,57,1.715,1
Peach,Shulk,2,1,0,1,35,1.825,1
Peach,Duck Hunt,3,1,0,1,0,2.0,-2
Peach,Mario,1,1,0,1,56,1.72,0
Peach,Marth,2,1,0,1,0,2.0,1
Peach,Min Min,3,1,0,1,99,1.505,-1
Peach,Sora,4,1,0,2,26,2.87,1
Peach,Donkey Kong,5,1,0,2,62,2.69,-1
Falco,Sheik,1,1,0,1,109,1.455,2
Falco,Mario,2,1,0,1,143,1.285,1
Falco,King K Rool,3,1,0,1,31,1.845,2
Falco,Isabelle,1,1,0,3,185,3.075,1
Falco,Rosalina & Luma,2,1,0,2,106,2.47,0
Falco,Roy,3,1,0,2,47,2.765,-2
Wii Fit Trainer,Lucas,1,1,0,1,107,1.465,0
Wii Fit Trainer,Wario,2,1,0,1,107,1.465,-1
Wii Fit Trainer,Donkey Kong,3,1,0,1,98,1.51,1
Wii Fit Trainer,Corrin,1,1,0,1,46,1.77,-1
Wii Fit Trainer,Ken,2,1,0,2,128,2.36,0
Wii Fit Trainer,Byleth,3,1,0,2,109,2.455,0
Wii Fit Trainer,Roy,5,1,0,1,15,1.925,1
Ryu,Mario,1,1,0,1,151,1.245,-1
Ryu,Little Mac,2,1,0,2,86,2.57,-1
Ryu,Marth,3,0,1,-1,106,0.53,0
Ryu,Mario,1,0,1,-1,97,0.485,-1
Ryu,Pyra & Mythra,1,1,0,2,70,2.65,0
Ryu,Kazuya,2,0,1,-2,73,-0.635,-1
Sheik,Lucina,1,1,0,1,11,1.945,2
Sheik,Falco,2,1,0,2,68,2.66,-2
Sheik,Inkling,3,0,1,-1,21,0.105,0
Sheik,Toon Link,1,1,0,1,0,2.0,0
Sheik,Samus,2,1,0,2,169,2.155,0
Sheik,Lucario,3,1,0,1,63,1.685,0
Sheik,Chrom,1,1,0,2,116,2.42,0
Sheik,Bowser,2,1,0,1,120,1.4,0
Sheik,Pokemon Trainer,3,1,0,1,70,1.65,1
Sheik,Meta Knight,4,1,0,2,16,2.92,-1
Villager,Lucas,1,1,0,1,83,1.585,1
Villager,Mario,2,1,0,2,87,2.565,-2
