Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Simon,Lucina,1,0,1,-2,0,-1.0,0,-1.0
Simon,Greninja,1,1,0,1,101,1.495,-1,0.4950000000000001
Simon,Yoshi,2,0,1,-1,58,0.29,0,0.7850000000000001
Palutena,Inkling,1,0,1,-2,60,-0.7,1,-0.7
Palutena,Mewtwo,1,1,0,2,177,2.115,2,1.4150000000000003
Palutena,Lucina,2,1,0,2,47,2.765,1,4.180000000000001
Palutena,Olimar,3,1,0,2,178,2.11,-1,6.29
Palutena,Peach,4,1,0,2,102,2.49,0,8.780000000000001
Palutena,Pyra & Mythra,1,1,0,1,100,1.5,0,10.280000000000001
Palutena,Steve,2,1,0,3,136,3.32,0,13.6
Palutena,Donkey Kong,3,0,1,-1,81,0.405,1,14.005
Palutena,Hero,1,0,1,-1,39,0.195,-1,14.2
Bayonetta,Olimar,1,0,1,-2,86,-0.57,0,-0.57
Bayonetta,Incineroar,1,1,0,1,99,1.505,1,0.9349999999999999
Bayonetta,Wolf,2,0,1,-1,38,0.19,-1,1.125
Samus,Lucario,1,0,1,-2,89,-0.555,1,-0.555
Samus,Byleth,1,1,0,2,182,2.09,1,1.5349999999999997
Samus,Fox,2,1,0,1,168,1.16,0,2.6949999999999994
Samus,Young Link,3,1,0,2,6,2.97,1,5.665
Samus,Wolf,4,1,0,2,106,2.47,0,8.135
Samus,Rosalina & Luma,1,1,0,2,12,2.94,-2,11.075
Samus,Pikachu,2,1,0,1,77,1.615,1,12.69
Samus,Ganondorf,3,1,0,2,93,2.535,1,15.225000000000001
Samus,Link,4,1,0,3,130,3.35,2,18.575
Samus,Bowser,5,1,0,2,20,2.9,0,21.475
Samus,Jigglypuff,1,1,0,1,60,1.7,0,23.175
Samus,Richter,2,1,0,2,65,2.675,0,25.85
Samus,Sephiroth,3,1,0,2,144,2.28,0,28.13
Samus,Mario,1,1,0,1,163,1.185,0,29.315
Samus,Bayonetta,2,1,0,3,126,3.37,-2,32.685
Samus,Ridley,3,1,0,1,20,1.9,2,34.585
Mii Brawler,Pyra & Mythra,1,0,1,-2,143,-0.285,-1,-0.285
Mii Brawler,Palutena,1,1,0,2,100,2.5,-1,2.215
Mii Brawler,PacMan,2,1,0,2,0,3.0,-1,5.215
Mii Brawler,Ganondorf,3,0,1,-1,96,0.48,0,5.695
Mii Brawler,King K Rool,1,1,0,1,38,1.81,3,7.505
Mii Brawler,Luigi,2,1,0,2,92,2.54,-1,10.045
Mii Brawler,Lucario,3,1,0,2,32,2.84,2,12.885
Mii Brawler,Bowser Jr,1,0,1,-1,74,0.37,2,13.254999999999999
Meta Knight,Kirby,1,0,1,-2,161,-0.195,2,-0.195
Meta Knight,Wolf,1,1,0,2,102,2.49,0,2.2950000000000004
Meta Knight,Yoshi,2,0,1,-1,34,0.17,-1,2.4650000000000003
Meta Knight,Diddy Kong,1,1,0,3,159,3.205,-3,5.67
Meta Knight,Min Min,2,1,0,2,99,2.505,1,8.175
Meta Knight,Toon Link,3,1,0,2,58,2.71,-1,10.885
Meta Knight,Jigglypuff,4,1,0,1,0,2.0,-2,12.885
Meta Knight,Young Link,5,1,0,2,0,3.0,0,15.885
Meta Knight,Mario,1,1,0,1,5,1.975,0,17.86
Meta Knight,Pikachu,2,1,0,2,80,2.6,-1,20.46
Meta Knight,Byleth,3,1,0,2,76,2.62,1,23.080000000000002
Meta Knight,Sora,1,1,0,1,112,1.44,1,24.52
Meta Knight,King K Rool,2,1,0,1,38,1.81,2,26.330000000000002
Meta Knight,Lucina,3,1,0,2,0,3.0,2,29.330000000000002
Diddy Kong,Kazuya,1,0,1,-1,19,0.095,-1,0.095
