Round,Character,Score,Rank
2,Lucas,21.44,1
2,Sonic,21.395,2
2,Ridley,21.125,3
2,Banjo & Kazooie,20.75,4
2,Ganondorf,19.725,5
2,Sephiroth,19.7,6
2,Bowser,19.48,7
2,Ike,18.98,8
2,Chrom,18.61,9
2,Young Link,18.515,10
2,Incineroar,18.015,11
2,Zelda,17.875,12
2,Min Min,17.865,13
2,Wolf,17.68,14
2,Dr Mario,17.435000000000002,15
2,Cloud,17.395,16
2,King K Rool,16.575,17
2,Ice Climbers,16.455,18
2,Isabelle,16.29,19
2,Donkey Kong,16.045,20
2,Piranha Plant,15.87,21
2,Captain Falcon,15.735,22
2,Link,15.695,23
2,Dark Pit,15.255,24
2,Pit,15.005,25
2,Pyra & Mythra,14.83,26
2,Hero,14.735,27
2,Wario,14.685,28
2,Duck Hunt,14.565,29
2,Sora,14.23,30
2,Mii Swordfighter,13.55,31
2,Luigi,13.415,32
2,Kirby,12.95,33
2,Wii Fit Trainer,12.95,34
2,Inkling,12.92,35
2,Falco,12.895,36
2,Ness,12.87,37
2,Robin,12.755,38
2,Terry,12.465,39
2,Greninja,12.425,40
2,Mewtwo,12.225,41
2,Byleth,11.92,42
2,Shulk,11.405,43
2,Mr Game & Watch,11.375,44
2,Lucario,11.205,45
2,Zero Suit Samus,10.9,46
2,Roy,10.73,47
2,Steve,10.7,48
2,King Dedede,10.57,49
2,Sheik,10.55,50
2,Dark Samus,10.4,51
2,Little Mac,10.135,52
2,Corrin,10.105,53
2,Pokemon Trainer,10.085,54
2,Snake,9.95,55
2,Bowser Jr,9.615,56
2,Peach,9.505,57
2,ROB,9.075,58
2,Palutena,8.780000000000001,59
2,Jigglypuff,8.65,60
2,PacMan,8.615,61
2,Daisy,8.5,62
2,Yoshi,8.405000000000001,63
2,Pikachu,8.395,64
2,Richter,8.395,65
2,Mario,8.2,66
2,Samus,8.135,67
2,Fox,8.09,68
2,Toon Link,7.535,69
2,Marth,7.479999999999999,70
2,Olimar,6.925,71
2,Rosalina & Luma,6.505000000000001,72
2,Villager,6.385,73
2,Mii Brawler,5.695,74
2,Mii Gunner,5.375,75
2,Ryu,4.83,76
2,Lucina,4.49,77
2,Pichu,4.035,78
2,Diddy Kong,3.71,79
2,Meta Knight,2.4650000000000003,80
2,Bayonetta,1.125,81
2,Joker,0.7949999999999999,82
2,Simon,0.7850000000000001,83
2,Mega Man,0.72,84
2,Kazuya,0.365,85
2,Ken,0.25,86
3,Meta Knight,9.82,1
3,Roy,9.411,2
3,Pyra & Mythra,9.349,3
3,King Dedede,8.622,4
3,Samus,8.362,5
3,Toon Link,8.322,6
3,Pikachu,8.005,7
3,Mii Gunner,7.776,8
3,Mario,7.69,9
3,Yoshi,7.653,10
3,Mr Game & Watch,7.296,11
3,Rosalina & Luma,7.089,12
3,Mii Brawler,6.649,13
3,Fox,6.618,14
3,Peach,6.319,15
3,Byleth,6.122,16
3,Sheik,5.935,17
3,Marth,5.812,18
3,Palutena,5.091,19
3,Villager,4.429,20
3,Greninja,2.752,21
3,Richter,2.543,22
3,Ryu,1.988,23
3,Olimar,1.911,24
3,Lucina,1.0,25
3,Terry,0.891,26
3,Diddy Kong,0.658,27
3,Zero Suit Samus,0.633,28
3,Pichu,0.515,29
3,Shulk,0.489,30
3,Snake,0.324,31
3,Daisy,-0.82,32
4,Zelda,9.848,1
4,Meta Knight,9.82,2
4,Roy,9.411,3
4,Link,9.379,4
4,Pyra & Mythra,9.349,5
4,Ice Climbers,8.981,6
4,Ike,8.901,7
4,Chrom,8.756,8
