Character,Score,Rank
Link,265.635,1
King Dedede,228.93,2
Dr Mario,199.60700000000003,3
Chrom,177.77800000000002,4
Zelda,164.394,5
Piranha Plant,146.468,6
Ice Climbers,138.249,7
Banjo & Kazooie,138.211,8
Yoshi,135.663,9
Mii Gunner,127.98,10
Pyra & Mythra,123.80000000000001,11
Ike,121.37700000000001,12
Mewtwo,118.84999999999998,13
Ridley,117.77,14
Hero,116.441,15
Roy,114.788,16
Kirby,114.17200000000001,17
Min Min,112.354,18
Young Link,110.423,19
Meta Knight,109.02,20
Bowser Jr,107.41399999999999,21
Sora,106.142,22
Cloud,105.86699999999999,23
Luigi,105.625,24
Samus,103.817,25
Sephiroth,103.12099999999998,26
Toon Link,101.47099999999999,27
Pokemon Trainer,101.156,28
Bowser,101.098,29
Falco,100.078,30
King K Rool,95.15100000000001,31
Byleth,94.417,32
Pikachu,93.879,33
Isabelle,93.393,34
Sonic,92.63499999999999,35
Little Mac,91.88400000000001,36
Lucas,91.59599999999999,37
Mr Game & Watch,89.11500000000001,38
ROB,88.773,39
Donkey Kong,88.167,40
Rosalina & Luma,87.945,41
Dark Pit,80.683,42
Wii Fit Trainer,78.563,43
Ganondorf,69.602,44
Incineroar,68.755,45
Captain Falcon,67.915,46
Duck Hunt,67.269,47
Pit,52.678000000000004,48
Mario,52.51199999999999,49
Marth,51.239999999999995,50
Sheik,48.676,51
Inkling,48.470000000000006,52
Fox,48.21000000000001,53
Dark Samus,47.537,54
Peach,47.419000000000004,55
Mii Brawler,47.11300000000001,56
Lucario,46.571999999999996,57
PacMan,46.544000000000004,58
Wolf,42.881,59
Ness,42.321,60
Mii Swordfighter,42.199999999999996,61
Palutena,40.26200000000001,62
Villager,32.959,63
Jigglypuff,32.386,64
Greninja,28.936999999999994,65
Richter,23.652999999999995,66
Robin,19.075999999999997,67
Olimar,18.391000000000002,68
Terry,17.811,69
Wario,17.134999999999998,70
Ryu,16.758,71
Zero Suit Samus,14.697999999999997,72
Shulk,14.339000000000004,73
Snake,11.893999999999998,74
Corrin,10.695000000000002,75
Lucina,10.49,76
Diddy Kong,7.658000000000002,77
Pichu,7.124999999999998,78
Steve,4.62,79
Daisy,3.5799999999999987,80
Bayonetta,1.125,81
Joker,0.7949999999999999,82
Simon,0.7850000000000001,83
Mega Man,0.72,84
Kazuya,0.365,85
Ken,0.25,86
