Character,Score,Rank
Chrom,28.767,1
Zelda,27.603,2
Pyra & Mythra,26.396,3
Ridley,26.336,4
Min Min,25.864,5
Toon Link,25.86,6
Link,25.839,7
Kirby,25.771,8
Ike,25.666,9
Mii Gunner,24.949,10
Cloud,24.324,11
Ice Climbers,23.782,12
King K Rool,23.549,13
Roy,23.475,14
King Dedede,23.067,15
Meta Knight,22.496,16
Yoshi,22.212,17
Sora,22.191,18
Mewtwo,22.023,19
Pokemon Trainer,21.959,20
Bowser,21.821,21
Sephiroth,21.732,22
Falco,21.635,23
Luigi,21.584,24
Samus,21.199,25
Bowser Jr,20.86,26
Hero,20.755,27
Piranha Plant,20.268,28
Pikachu,20.03,29
Isabelle,20.03,30
Rosalina & Luma,19.817,31
Donkey Kong,19.787,32
Little Mac,19.751,33
Sonic,19.74,34
ROB,18.702,35
Dr Mario,18.423,36
Dark Pit,17.903,37
Banjo & Kazooie,17.272,38
Lucas,16.362,39
Young Link,16.34,40
Byleth,16.1,41
Wii Fit Trainer,15.361,42
Mr Game & Watch,15.335,43
Ganondorf,12.938,44
Duck Hunt,12.726,45
Captain Falcon,12.496,46
Incineroar,11.598,47
Marth,8.034,48
PacMan,8.027,49
Pit,7.649,50
Dark Samus,7.488,51
Inkling,7.255,52
Mario,7.233,53
Lucario,7.107,54
Mii Brawler,7.03,55
Fox,6.721,56
Sheik,6.564,57
Peach,6.319,58
Mii Swordfighter,5.794,59
Ness,5.793,60
Palutena,5.325,61
Jigglypuff,4.771,62
Villager,4.429,63
Wolf,3.447,64
Greninja,2.752,65
Richter,2.543,66
Ryu,1.988,67
Olimar,1.911,68
Robin,1.572,69
Lucina,1.0,70
Terry,0.891,71
Diddy Kong,0.658,72
Zero Suit Samus,0.633,73
Pichu,0.515,74
Wario,0.49,75
Shulk,0.489,76
Snake,0.324,77
Corrin,0.118,78
Daisy,-0.82,79
Steve,-1.216,80
