Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Mii Gunner,Ken,1,1,0,4,120,22.268,4.4,4.938,1.025,1.0,5.061,4.4,26.401,8.533
Mii Gunner,Diddy Kong,2,1,0,4,121,32.379,4.395,7.188,1.025,1.0,7.367,4.395,58.78,12.928
Mii Gunner,Bowser,3,1,0,3,77,32.411,3.615,9.438,0.95,1.0,8.966,3.615,91.191,16.543
Sora,Shulk,1,1,0,2,68,12.805,2.66,4.938,0.975,1.0,4.814,2.66,16.421,6.276
Sora,Pyra & Mythra,2,1,0,2,20,21.886,2.9,7.188,1.05,1.0,7.547,2.9,38.307,9.176
Sora,Donkey Kong,3,1,0,3,106,31.929,3.47,9.438,0.975,1.0,9.202,3.47,70.237,12.646
Donkey Kong,Banjo & Kazooie,1,0,1,-2,103,-2.395,-0.485,4.938,1.0,1.0,4.938,-0.485,0.188,2.098
Lucina,Jigglypuff,1,1,0,2,70,13.411,2.65,4.938,1.025,1.0,5.061,2.65,15.477,4.716
Lucina,Zero Suit Samus,2,1,0,3,28,27.744,3.86,7.188,1.0,1.0,7.188,3.86,43.221,8.576
Lucina,King K Rool,3,1,0,2,123,23.071,2.385,9.438,1.025,1.0,9.673,2.385,66.292,10.961
Isabelle,Bowser Jr,1,1,0,4,131,21.453,4.345,4.938,1.0,1.0,4.938,4.345,23.003,5.895
Isabelle,Mario,2,1,0,3,155,24.918,3.225,7.188,1.075,1.0,7.727,3.225,47.922,9.12
Isabelle,Ganondorf,3,1,0,3,71,35.26,3.645,9.438,1.025,1.0,9.673,3.645,83.181,12.765
Pokemon Trainer,Jigglypuff,1,1,0,2,18,15.446,2.91,4.938,1.075,1.0,5.308,2.91,16.221,3.685
Pokemon Trainer,Pikachu,2,1,0,2,33,19.358,2.835,7.188,0.95,1.0,6.828,2.835,35.578,6.52
Pokemon Trainer,Ness,3,1,0,3,122,32.793,3.39,9.438,1.025,1.0,9.673,3.39,68.371,9.91
Pokemon Trainer,Banjo & Kazooie,4,1,0,1,2,0.46,1.99,1.0,0.925,4.0,0.231,1.99,68.832,11.9
Toon Link,Olimar,1,1,0,3,78,17.824,3.61,4.938,1.0,1.0,4.938,3.61,18.341,4.127
Toon Link,Wii Fit Trainer,2,1,0,4,141,30.87,4.295,7.188,1.0,1.0,7.188,4.295,49.212,8.422
Toon Link,Mega Man,3,1,0,2,17,27.51,2.915,9.438,1.0,1.0,9.438,2.915,76.722,11.337
Dark Samus,Ness,1,1,0,2,8,14.25,2.96,4.938,0.975,1.0,4.814,2.96,14.508,3.218
Dark Samus,Rosalina & Luma,2,1,0,3,19,29.471,3.905,7.188,1.05,1.0,7.547,3.905,43.978,7.123
Dark Samus,Inkling,3,1,0,1,78,15.194,1.61,9.438,1.0,1.0,9.438,1.61,59.173,8.733
