Character,Score,Rank
Bowser,22.923,1
Chrom,20.937,2
Wolf,20.847,3
Toon Link,19.855,4
Zelda,19.85,5
Yoshi,19.685,6
Dark Pit,19.231,7
Cloud,19.049,8
Corrin,18.893,9
Hero,18.584,10
Richter,17.805,11
Luigi,17.646,12
Ridley,17.21,13
Simon,16.036,14
Piranha Plant,15.925,15
Mr Game & Watch,15.344,16
Mewtwo,15.242,17
King K Rool,12.098,18
Mii Swordfighter,10.118,19
Joker,10.099,20
Min Min,7.809,21
Lucas,7.649,22
Roy,7.636,23
Dark Samus,7.453,24
Mii Gunner,7.427,25
Sephiroth,7.35,26
Dr Mario,7.312,27
Incineroar,7.125,28
Bowser Jr,7.108,29
Banjo & Kazooie,7.08,30
Shulk,7.025,31
Donkey Kong,6.993,32
King Dedede,6.969,33
Duck Hunt,6.913,34
Robin,6.893,35
Olimar,6.857,36
Sora,6.83,37
Ike,6.692,38
PacMan,6.64,39
Jigglypuff,6.581,40
Ganondorf,6.508,41
Ice Climbers,6.477,42
Kirby,6.381,43
Terry,6.365,44
Pit,6.331,45
Peach,6.32,46
Young Link,6.154,47
Mario,6.149,48
Greninja,6.149,49
Wii Fit Trainer,5.877,50
Sheik,5.752,51
Inkling,5.724,52
Pokemon Trainer,5.672,53
Ryu,5.67,54
Diddy Kong,5.662,55
Sonic,5.568,56
Zero Suit Samus,5.493,57
ROB,5.309,58
Lucina,5.114,59
Ken,5.108,60
Captain Falcon,4.993,61
Pyra & Mythra,4.977,62
Samus,4.727,63
Link,4.725,64
Isabelle,4.724,65
Wario,4.724,66
Little Mac,4.674,67
Mii Brawler,4.602,68
Mega Man,4.519,69
Fox,4.474,70
Villager,4.464,71
Meta Knight,4.378,72
Pichu,4.307,73
Ness,4.306,74
Lucario,4.29,75
Snake,4.098,76
Rosalina & Luma,3.964,77
Bayonetta,3.938,78
Byleth,3.527,79
Palutena,3.208,80
Daisy,2.817,81
Steve,2.738,82
Pikachu,2.2,83
Falco,2.13,84
Marth,2.13,85
Kazuya,2.033,86
