Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Bowser,Steve,1,1,0,1,49,2.516,1.72,1.33,1.1,1.0,1.463,1.72,25.439,20.728
Bowser,Piranha Plant,2,1,0,1,67,2.555,1.617,1.663,0.95,1.0,1.58,1.617,27.995,22.345
Bowser,PacMan,3,1,0,2,57,5.874,2.674,1.997,1.1,1.0,2.196,2.674,33.868,25.019
Sephiroth,Mr Game & Watch,1,1,0,1,0,2.793,2.0,1.33,1.05,1.0,1.397,2.0,25.322,19.433
Sephiroth,Corrin,2,1,0,2,66,4.363,2.623,1.663,1.0,1.0,1.663,2.623,29.685,22.056
Sephiroth,Sonic,3,1,0,3,104,6.46,3.406,1.997,0.95,1.0,1.897,3.406,36.145,25.462
Sephiroth,Ness,4,1,0,1,44,0.393,1.749,1.0,0.9,4.0,0.225,1.749,36.538,27.21
Sephiroth,Villager,5,1,0,2,85,0.453,2.514,1.0,0.9,5.0,0.18,2.514,36.991,29.724
Roy,Fox,1,1,0,2,16,3.868,2.909,1.33,1.0,1.0,1.33,2.909,25.98,21.618
Roy,Bowser Jr,2,1,0,1,0,2.994,2.0,1.663,0.9,1.0,1.497,2.0,28.974,23.618
Roy,Isabelle,3,1,0,1,147,2.316,1.16,1.997,1.0,1.0,1.997,1.16,31.291,24.778
Roy,Olimar,4,1,0,1,78,0.369,1.554,1.0,0.95,4.0,0.237,1.554,31.66,26.332
Dr Mario,Ganondorf,1,0,1,-1,29,0.22,0.166,1.33,1.0,1.0,1.33,0.166,21.798,14.763
Young Link,PacMan,1,1,0,2,152,2.835,2.131,1.33,1.0,1.0,1.33,2.131,23.929,19.989
Young Link,Pokemon Trainer,2,1,0,2,26,4.743,2.851,1.663,1.0,1.0,1.663,2.851,28.672,22.841
Young Link,Bowser,3,1,0,2,111,4.724,2.366,1.997,1.0,1.0,1.997,2.366,33.395,25.207
Chrom,Samus,1,1,0,2,65,3.846,2.629,1.33,1.1,1.0,1.463,2.629,24.783,17.796
Chrom,Pyra & Mythra,2,1,0,2,110,4.142,2.371,1.663,1.05,1.0,1.747,2.371,28.924,20.167
Chrom,Wario,3,1,0,1,61,3.627,1.651,1.997,1.1,1.0,2.196,1.651,32.551,21.818
Wolf,Sheik,1,1,0,1,125,1.624,1.286,1.33,0.95,1.0,1.264,1.286,22.472,20.385
Wolf,Mario,2,1,0,2,45,4.562,2.743,1.663,1.0,1.0,1.663,2.743,27.034,23.128
Wolf,Rosalina & Luma,3,1,0,2,10,5.876,2.943,1.997,1.0,1.0,1.997,2.943,32.91,26.07
Ice Climbers,Palutena,1,1,0,2,28,3.588,2.84,1.33,0.95,1.0,1.264,2.84,24.275,17.645
Ice Climbers,Roy,2,1,0,3,96,5.167,3.451,1.663,0.9,1.0,1.497,3.451,29.442,21.096
Ice Climbers,Greninja,3,1,0,2,80,5.585,2.543,1.997,1.1,1.0,2.196,2.543,35.027,23.639
Ice Climbers,Marth,4,1,0,3,175,0.712,3.0,1.0,0.95,4.0,0.237,3.0,35.74,26.639
Bowser Jr,Yoshi,1,1,0,3,177,4.389,3.0,1.33,1.1,1.0,1.463,3.0,25.025,18.049
Bowser Jr,Toon Link,2,1,0,2,71,4.531,2.594,1.663,1.05,1.0,1.747,2.594,29.556,20.643
Bowser Jr,Ken,3,1,0,3,34,7.979,3.806,1.997,1.05,1.0,2.096,3.806,37.535,24.449
PacMan,Hero,1,1,0,1,119,1.843,1.32,1.33,1.05,1.0,1.397,1.32,22.169,16.691
PacMan,Min-Min,2,1,0,2,112,3.925,2.36,1.663,1.0,1.0,1.663,2.36,26.095,19.051
PacMan,Richter,3,1,0,1,135,2.576,1.229,1.997,1.05,1.0,2.096,1.229,28.671,20.28
Terry,Chrom,1,1,0,2,0,3.791,3.0,1.33,0.95,1.0,1.264,3.0,23.805,20.314
Terry,King Dedede,2,1,0,1,60,2.894,1.657,1.663,1.05,1.0,1.747,1.657,26.699,21.971
Terry,Lucas,3,1,0,2,12,5.56,2.931,1.997,0.95,1.0,1.897,2.931,32.259,24.903
Toon Link,Daisy,1,0,1,-2,85,-0.718,-0.514,1.33,1.05,1.0,1.397,-0.514,19.137,14.947
Zelda,Falco,1,1,0,2,69,3.639,2.606,1.33,1.05,1.0,1.397,2.606,23.489,17.915
Zelda,Zero Suit Samus,2,1,0,2,76,4.268,2.566,1.663,1.0,1.0,1.663,2.566,27.757,20.48
Zelda,Bowser Jr,3,1,0,3,127,6.865,3.274,1.997,1.05,1.0,2.096,3.274,34.621,23.755
Yoshi,Mewtwo,1,1,0,2,109,2.687,2.377,1.33,0.85,1.0,1.131,2.377,22.372,16.315
Yoshi,Ike,2,1,0,1,109,2.176,1.377,1.663,0.95,1.0,1.58,1.377,24.548,17.692
Yoshi,Richter,3,1,0,2,0,5.99,3.0,1.997,1.0,1.0,1.997,3.0,30.538,20.692
Yoshi,Link,4,1,0,1,93,0.349,1.469,1.0,0.95,4.0,0.237,1.469,30.887,22.161
Lucas,Dr Mario,1,1,0,2,22,3.632,2.874,1.33,0.95,1.0,1.264,2.874,23.186,18.147
Lucas,Bayonetta,2,1,0,2,141,4.015,2.194,1.663,1.1,1.0,1.83,2.194,27.2,20.342
Lucas,Mr Game & Watch,3,1,0,3,131,7.141,3.251,1.997,1.1,1.0,2.196,3.251,34.342,23.593
Pit,Ryu,1,1,0,1,0,2.66,2.0,1.33,1.0,1.0,1.33,2.0,21.985,16.216
Pit,Sephiroth,2,1,0,2,11,5.13,2.937,1.663,1.05,1.0,1.747,2.937,27.115,19.153
Pit,Young Link,3,1,0,2,53,5.655,2.697,1.997,1.05,1.0,2.096,2.697,32.769,21.85
Dark Pit,Robin,1,1,0,2,48,3.625,2.726,1.33,1.0,1.0,1.33,2.726,22.856,19.265
Dark Pit,Mario,2,1,0,2,57,4.671,2.674,1.663,1.05,1.0,1.747,2.674,27.527,21.939
Dark Pit,Toon Link,3,1,0,3,168,6.07,3.04,1.997,1.0,1.0,1.997,3.04,33.597,24.979
King Dedede,Bayonetta,1,1,0,3,159,4.523,3.091,1.33,1.1,1.0,1.463,3.091,23.608,17.273
King Dedede,Marth,2,1,0,3,159,5.142,3.091,1.663,1.0,1.0,1.663,3.091,28.75,20.365
King Dedede,Pit,3,1,0,1,0,4.193,2.0,1.997,1.05,1.0,2.096,2.0,32.943,22.365
Link,Kazuya,1,1,0,2,166,3.138,2.051,1.33,1.15,1.0,1.529,2.051,22.215,16.095
Link,Terry,2,1,0,2,99,4.454,2.434,1.663,1.1,1.0,1.83,2.434,26.669,18.53
Link,Peach,3,1,0,2,44,5.488,2.749,1.997,1.0,1.0,1.997,2.749,32.157,21.278
Donkey Kong,Roy,1,1,0,3,172,3.812,3.017,1.33,0.95,1.0,1.264,3.017,22.879,18.082
Donkey Kong,Zero Suit Samus,2,1,0,2,27,4.733,2.846,1.663,1.0,1.0,1.663,2.846,27.613,20.928
Donkey Kong,Sephiroth,3,1,0,1,44,3.491,1.749,1.997,1.0,1.0,1.997,1.749,31.104,22.676
Cloud,Snake,1,1,0,1,57,2.338,1.674,1.33,1.05,1.0,1.397,1.674,21.387,16.172
Cloud,Isabelle,2,1,0,1,21,2.814,1.88,1.663,0.9,1.0,1.497,1.88,24.201,18.052
Cloud,Samus,3,1,0,3,118,6.972,3.326,1.997,1.05,1.0,2.096,3.326,31.174,21.378
Dark Samus,Ice Climbers,1,1,0,1,99,1.908,1.434,1.33,1.0,1.0,1.33,1.434,20.933,16.109
Dark Samus,Olimar,2,1,0,2,207,3.659,2.0,1.663,1.1,1.0,1.83,2.0,24.592,18.109
Dark Samus,Sonic,3,1,0,2,8,5.604,2.954,1.997,0.95,1.0,1.897,2.954,30.196,21.064
Dark Samus,Snake,4,1,0,1,142,0.327,1.189,1.0,1.1,4.0,0.275,1.189,30.523,22.252
Corrin,Ness,1,1,0,1,15,2.419,1.914,1.33,0.95,1.0,1.264,1.914,21.312,17.042
Corrin,Ridley,2,1,0,1,39,3.104,1.777,1.663,1.05,1.0,1.747,1.777,24.415,18.819
Corrin,Wolf,3,1,0,1,73,3.16,1.583,1.997,1.0,1.0,1.997,1.583,27.576,20.402
Ganondorf,Daisy,1,1,0,2,15,3.488,2.914,1.33,0.9,1.0,1.197,2.914,22.272,19.196
Ganondorf,Lucas,2,1,0,3,137,5.351,3.217,1.663,1.0,1.0,1.663,3.217,27.624,22.413
Ganondorf,Inkling,3,1,0,1,103,2.818,1.411,1.997,1.0,1.0,1.997,1.411,30.442,23.825
Sora,Dark Samus,1,1,0,3,64,4.834,3.634,1.33,1.0,1.0,1.33,3.634,23.57,17.734
Sora,Dark Pit,2,1,0,2,124,4.002,2.291,1.663,1.05,1.0,1.747,2.291,27.572,20.026
Sora,Pikachu,3,1,0,1,82,2.905,1.531,1.997,0.95,1.0,1.897,1.531,30.476,21.557
Sora,King K Rool,4,1,0,1,0,0.525,2.0,1.0,1.05,4.0,0.263,2.0,31.001,23.557
Banjo & Kazooie,Piranha Plant,1,1,0,1,0,2.527,2.0,1.33,0.95,1.0,1.264,2.0,21.211,16.33
Banjo & Kazooie,Sonic,2,1,0,2,54,4.701,2.691,1.663,1.05,1.0,1.747,2.691,25.912,19.021
Banjo & Kazooie,Ike,3,1,0,3,153,6.865,3.126,1.997,1.1,1.0,2.196,3.126,32.777,22.147
Banjo & Kazooie,Ridley,5,1,0,2,91,0.446,2.48,1.0,0.9,5.0,0.18,2.48,33.223,24.627
Hero,Zero Suit Samus,1,1,0,3,122,4.173,3.303,1.33,0.95,1.0,1.264,3.303,22.757,18.686
Hero,Chrom,2,1,0,2,39,4.619,2.777,1.663,1.0,1.0,1.663,2.777,27.376,21.463
Hero,Luigi,3,0,1,-1,0,0.0,0.0,1.997,0.95,1.0,1.897,0.0,27.376,21.463
Little Mac,Mega Man,1,1,0,2,50,3.791,2.714,1.33,1.05,1.0,1.397,2.714,22.331,14.727
Little Mac,Ganondorf,2,1,0,2,20,5.04,2.886,1.663,1.05,1.0,1.747,2.886,27.37,17.613
Little Mac,Bowser,3,1,0,1,106,2.784,1.394,1.997,1.0,1.0,1.997,1.394,30.154,19.007
Meta Knight,Chrom,1,1,0,2,141,2.772,2.194,1.33,0.95,1.0,1.264,2.194,20.994,14.886
Meta Knight,Villager,2,0,1,-1,60,0.485,0.343,1.663,0.85,1.0,1.414,0.343,21.479,15.229
Olimar,Cloud,1,1,0,1,0,2.793,2.0,1.33,1.05,1.0,1.397,2.0,21.014,16.944
Olimar,Diddy Kong,2,1,0,3,88,5.526,3.497,1.663,0.95,1.0,1.58,3.497,26.54,20.441
Olimar,Ike,3,1,0,2,140,3.953,2.2,1.997,0.9,1.0,1.797,2.2,30.493,22.641
Greninja,Peach,1,1,0,2,25,3.99,2.857,1.33,1.05,1.0,1.397,2.857,22.072,17.36
Greninja,Palutena,2,1,0,3,118,5.808,3.326,1.663,1.05,1.0,1.747,3.326,27.88,20.686
Greninja,Snake,3,1,0,2,93,5.422,2.469,1.997,1.1,1.0,2.196,2.469,33.302,23.154
Robin,Pit,1,1,0,1,0,2.66,2.0,1.33,1.0,1.0,1.33,2.0,20.719,17.295
Robin,Greninja,2,1,0,2,66,4.581,2.623,1.663,1.05,1.0,1.747,2.623,25.3,19.918
Robin,Villager,3,1,0,1,54,3.715,1.691,1.997,1.1,1.0,2.196,1.691,29.015,21.609
Robin,Wolf,4,1,0,1,142,0.327,1.189,1.0,1.1,4.0,0.275,1.189,29.342,22.798
Min Min,Ness,1,1,0,3,57,4.398,3.674,1.33,0.9,1.0,1.197,3.674,22.397,18.515
Min Min,Banjo & Kazooie,2,1,0,2,150,3.386,2.143,1.663,0.95,1.0,1.58,2.143,25.783,20.658
Min Min,Snake,3,1,0,2,0,5.69,3.0,1.997,0.95,1.0,1.897,3.0,31.474,23.658
Richter,Snake,1,0,1,-1,48,0.383,0.274,1.33,1.05,1.0,1.397,0.274,18.188,13.179
Kirby,Pokemon Trainer,1,1,0,2,37,4.265,2.789,1.33,1.15,1.0,1.529,2.789,22.061,16.684
Kirby,Pikachu,2,1,0,2,22,4.781,2.874,1.663,1.0,1.0,1.663,2.874,26.842,19.558
Kirby,Peach,3,1,0,2,13,5.842,2.926,1.997,1.0,1.0,1.997,2.926,32.684,22.484
Kirby,Piranha Plant,4,1,0,2,73,0.613,2.583,1.0,0.95,4.0,0.237,2.583,33.297,25.066
Mii Gunner,Hero,1,1,0,1,57,2.561,1.674,1.33,1.15,1.0,1.529,1.674,20.299,15.24
Mii Gunner,Bowser,2,1,0,1,0,2.994,2.0,1.663,0.9,1.0,1.497,2.0,23.293,17.24
Mii Gunner,Dark Samus,3,1,0,1,13,3.845,1.926,1.997,1.0,1.0,1.997,1.926,27.138,19.166
Luigi,Wolf,1,1,0,1,93,1.953,1.469,1.33,1.0,1.0,1.33,1.469,19.599,15.345
Luigi,Byleth,2,1,0,2,88,3.738,2.497,1.663,0.9,1.0,1.497,2.497,23.337,17.842
Luigi,Richter,3,1,0,1,49,3.263,1.72,1.997,0.95,1.0,1.897,1.72,26.6,19.562
Duck Hunt,Byleth,1,1,0,1,71,2.226,1.594,1.33,1.05,1.0,1.397,1.594,19.845,15.412
Duck Hunt,Ganondorf,2,1,0,1,0,3.16,2.0,1.663,0.95,1.0,1.58,2.0,23.006,17.412
Duck Hunt,Olimar,3,1,0,1,184,2.196,1.0,1.997,1.1,1.0,2.196,1.0,25.202,18.412
Shulk,Ness,1,1,0,2,156,2.664,2.109,1.33,0.95,1.0,1.264,2.109,20.189,16.154
Shulk,Link,2,1,0,1,39,2.808,1.777,1.663,0.95,1.0,1.58,1.777,22.997,17.931
Shulk,Toon Link,3,1,0,2,0,5.69,3.0,1.997,0.95,1.0,1.897,3.0,28.688,20.931
Shulk,Lucario,5,1,0,2,38,0.529,2.783,1.0,0.95,5.0,0.19,2.783,29.217,23.714
Ridley,Greninja,1,1,0,2,15,4.264,2.914,1.33,1.1,1.0,1.463,2.914,21.474,16.376
Ridley,Dr Mario,2,1,0,2,0,4.99,3.0,1.663,1.0,1.0,1.663,3.0,26.464,19.376
Ridley,Samus,3,1,0,3,147,6.94,3.16,1.997,1.1,1.0,2.196,3.16,33.404,22.536
Lucina,Villager,1,1,0,3,154,3.942,3.12,1.33,0.95,1.0,1.264,3.12,21.029,15.681
Lucina,Incineroar,2,0,1,-1,122,1.16,0.697,1.663,1.0,1.0,1.663,0.697,22.189,16.378
Isabelle,Bowser Jr,1,1,0,2,127,3.025,2.274,1.33,1.0,1.0,1.33,2.274,19.713,14.18
Isabelle,Lucario,2,1,0,1,-78,4.068,2.446,1.663,1.0,1.0,1.663,2.446,23.781,16.626
Incineroar,Falco,1,1,0,1,0,2.66,2.0,1.33,1.0,1.0,1.33,2.0,19.331,14.436
Incineroar,Dark Pit,2,1,0,2,119,3.859,2.32,1.663,1.0,1.0,1.663,2.32,23.19,16.756
Incineroar,King Dedede,3,1,0,1,36,4.12,1.794,1.997,1.15,1.0,2.296,1.794,27.31,18.55
Samus,Pyra & Mythra,1,0,1,-1,81,0.616,0.463,1.33,1.0,1.0,1.33,0.463,17.183,13.77
Ike,Kirby,1,1,0,1,26,2.462,1.851,1.33,1.0,1.0,1.33,1.851,19.021,15.769
Ike,Donkey Kong,2,1,0,2,54,4.924,2.691,1.663,1.1,1.0,1.83,2.691,23.946,18.461
Ike,Cloud,3,1,0,2,127,4.768,2.274,1.997,1.05,1.0,2.096,2.274,28.714,20.735
Ike,Banjo & Kazooie,5,1,0,1,4,0.356,1.977,1.0,0.9,5.0,0.18,1.977,29.07,22.712
Sonic,Inkling,1,0,1,-1,137,0.989,0.783,1.33,0.95,1.0,1.264,0.783,17.325,15.681
Villager,Falco,1,0,1,-1,97,0.811,0.554,1.33,1.1,1.0,1.463,0.554,17.09,13.102
Simon,Sonic,1,1,0,2,111,3.146,2.366,1.33,1.0,1.0,1.33,2.366,19.182,14.88
Simon,Incineroar,2,1,0,1,30,2.889,1.829,1.663,0.95,1.0,1.58,1.829,22.072,16.708
Simon,Sora,3,1,0,2,73,5.157,2.583,1.997,1.0,1.0,1.997,2.583,27.229,19.291
Inkling,Byleth,1,1,0,2,70,3.285,2.6,1.33,0.95,1.0,1.264,2.6,19.231,14.238
Inkling,Rosalina & Luma,2,1,0,2,92,4.527,2.474,1.663,1.1,1.0,1.83,2.474,23.758,16.712
Inkling,Pit,3,1,0,1,0,3.993,2.0,1.997,1.0,1.0,1.997,2.0,27.752,18.712
Inkling,Pikachu,4,1,0,2,48,0.716,2.726,1.0,1.05,4.0,0.263,2.726,28.467,21.438
Mii Brawler,Ridley,1,1,0,2,23,3.624,2.869,1.33,0.95,1.0,1.264,2.869,19.557,14.592
Mii Brawler,Ice Climbers,2,1,0,1,0,3.493,2.0,1.663,1.05,1.0,1.747,2.0,23.05,16.592
Mii Brawler,Inkling,3,1,0,3,181,5.69,3.0,1.997,0.95,1.0,1.897,3.0,28.741,19.592
Mii Brawler,Villager,4,0,1,-1,18,0.023,0.103,1.0,0.9,4.0,0.225,0.103,28.764,19.694
Piranha Plant,Daisy,1,1,0,1,0,2.66,2.0,1.33,1.0,1.0,1.33,2.0,18.585,15.175
Piranha Plant,Wario,2,1,0,1,6,3.76,1.966,1.663,1.15,1.0,1.913,1.966,22.345,17.141
Piranha Plant,Bowser,3,1,0,2,45,5.75,2.743,1.997,1.05,1.0,2.096,2.743,28.095,19.884
Mr Game & Watch,Mega Man,1,1,0,2,47,3.633,2.731,1.33,1.0,1.0,1.33,2.731,18.977,14.996
Mr Game & Watch,Inkling,2,1,0,3,161,5.123,3.08,1.663,1.0,1.0,1.663,3.08,24.1,18.076
Mr Game & Watch,Piranha Plant,3,0,1,-1,69,0.709,0.394,1.997,0.9,1.0,1.797,0.394,24.808,18.471
Mewtwo,Byleth,1,1,0,1,0,2.66,2.0,1.33,1.0,1.0,1.33,2.0,17.902,12.827
Mewtwo,Chrom,2,1,0,3,89,5.227,3.491,1.663,0.9,1.0,1.497,3.491,23.129,16.318
Mewtwo,Kirby,3,1,0,2,0,5.69,3.0,1.997,0.95,1.0,1.897,3.0,28.819,19.318
Mewtwo,Incineroar,4,1,0,1,25,0.488,1.857,1.0,1.05,4.0,0.263,1.857,29.307,21.176
Ryu,Ganondorf,1,0,1,-1,54,0.431,0.309,1.33,1.05,1.0,1.397,0.309,14.814,11.624
Mario,Dr Mario,1,1,0,2,134,2.674,2.234,1.33,0.9,1.0,1.197,2.234,16.798,15.672
Mario,Byleth,2,0,1,-1,46,0.437,0.263,1.663,1.0,1.0,1.663,0.263,17.236,15.935
Pokemon Trainer,Yoshi,1,1,0,1,81,2.044,1.537,1.33,1.0,1.0,1.33,1.537,15.912,12.185
Pokemon Trainer,Lucas,2,1,0,2,159,3.653,2.091,1.663,1.05,1.0,1.747,2.091,19.565,14.277
Pokemon Trainer,Ryu,3,1,0,2,6,6.218,2.966,1.997,1.05,1.0,2.096,2.966,25.783,17.242
King K Rool,Pokemon Trainer,1,1,0,2,0,4.19,3.0,1.33,1.05,1.0,1.397,3.0,17.65,12.744
King K Rool,Lucario,2,1,0,1,10,2.908,1.943,1.663,0.9,1.0,1.497,1.943,20.558,14.687
King K Rool,Sonic,3,1,0,2,40,6.364,2.771,1.997,1.15,1.0,2.296,2.771,26.922,17.458
Pyra & Mythra,Mr Game & Watch,1,1,0,1,41,2.231,1.766,1.33,0.95,1.0,1.264,1.766,14.652,11.305
Pyra & Mythra,Jigglypuff,2,1,0,2,61,4.41,2.651,1.663,1.0,1.0,1.663,2.651,19.062,13.956
Pyra & Mythra,Cloud,3,1,0,2,107,4.769,2.389,1.997,1.0,1.0,1.997,2.389,23.831,16.345
Diddy Kong,Cloud,1,1,0,1,0,2.66,2.0,1.33,1.0,1.0,1.33,2.0,13.84,10.374
Diddy Kong,ROB,2,1,0,2,67,4.353,2.617,1.663,1.0,1.0,1.663,2.617,18.193,12.991
Diddy Kong,Villager,3,1,0,2,21,6.325,2.88,1.997,1.1,1.0,2.196,2.88,24.519,15.871
Mii Swordfighter,Ness,1,0,1,-1,50,0.399,0.286,1.33,1.05,1.0,1.397,0.286,11.506,8.335
Joker,Peach,1,1,0,2,130,3.002,2.257,1.33,1.0,1.0,1.33,2.257,14.088,11.032
Joker,Sephiroth,2,1,0,2,103,3.81,2.411,1.663,0.95,1.0,1.58,2.411,17.898,13.444
Joker,Ridley,3,0,1,-1,118,1.414,0.674,1.997,1.05,1.0,2.096,0.674,19.312,14.118
Zero Suit Samus,Richter,1,1,0,1,140,1.756,1.2,1.33,1.1,1.0,1.463,1.2,12.103,8.758
Zero Suit Samus,Kirby,2,1,0,2,83,4.831,2.526,1.663,1.15,1.0,1.913,2.526,16.934,11.284
Zero Suit Samus,Palutena,3,1,0,1,100,2.71,1.429,1.997,0.95,1.0,1.897,1.429,19.644,12.712
Zero Suit Samus,Ridley,4,0,1,-1,69,0.099,0.394,1.0,1.0,4.0,0.25,0.394,19.742,13.107
Wario,Simon,1,1,0,1,113,1.621,1.354,1.33,0.9,1.0,1.197,1.354,12.155,9.433
Wario,Chrom,2,1,0,2,58,3.995,2.669,1.663,0.9,1.0,1.497,2.669,16.15,12.102
Wario,Wolf,3,0,1,-1,87,0.993,0.497,1.997,1.0,1.0,1.997,0.497,17.143,12.599
Wii Fit Trainer,Min Min,1,1,0,1,38,2.49,1.783,1.33,1.05,1.0,1.397,1.783,12.781,9.547
Wii Fit Trainer,Lucas,2,1,0,1,87,2.5,1.503,1.663,1.0,1.0,1.663,1.503,15.281,11.05
Wii Fit Trainer,Sheik,3,1,0,2,87,5.247,2.503,1.997,1.05,1.0,2.096,2.503,20.528,13.553
