Character,Appearances,LastRound,LastRank,BestRank,WorstRank,MeanRank,StdRank
Link,14,23,1,1,18,4.071428571428571,4.447540021730886
King Dedede,13,23,2,1,62,10.307692307692308,16.112033798875135
Dr Mario,13,22,2,1,18,6.538461538461538,5.904566480737073
Piranha Plant,11,19,3,1,41,9.545454545454545,11.420584576374175
Chrom,11,19,4,1,23,3.909090909090909,6.097011868038987
Banjo & Kazooie,10,17,3,1,26,9.3,8.764131445842196
Zelda,10,17,4,1,15,4.2,3.867815921162743
Young Link,9,15,4,4,44,14.333333333333334,11.841546445554409
Ice Climbers,9,15,5,2,16,8.11111111111111,4.605418172458379
Yoshi,9,15,6,5,71,19.333333333333332,19.430788855719562
Kirby,8,13,7,5,50,15.0,14.66287829861518
Ike,8,13,8,1,21,6.875,5.861687043846677
Hero,8,13,9,9,31,16.5,7.968688725254614
Mii Gunner,8,13,10,1,76,22.0,26.93510720231126
Mewtwo,8,13,11,2,45,17.375,14.670868242881879
Bowser Jr,8,13,12,2,67,22.5,19.697715603592208
Min Min,7,11,11,2,37,14.285714285714286,10.552105892925365
Ridley,7,11,12,3,12,5.857142857142857,2.8996833043120627
Cloud,7,11,13,7,32,15.0,8.734169352933014
Falco,7,11,14,8,55,20.571428571428573,14.811743823805516
Sora,7,11,15,1,42,20.0,14.422205101855956
Little Mac,7,11,16,10,78,30.0,22.341505256872402
Sephiroth,7,11,17,3,17,9.571428571428571,4.981598792617913
Bowser,7,11,18,1,26,10.571428571428571,8.432202607642118
Roy,6,9,17,4,67,24.166666666666668,21.85876381581437
Lucas,6,9,18,1,22,12.666666666666666,7.4981479194679945
King K Rool,6,9,19,7,25,16.5,5.795112883571237
Luigi,6,9,20,7,48,26.666666666666668,14.57928515241936
Pyra & Mythra,6,9,21,1,58,23.0,21.53292053267895
Wii Fit Trainer,6,9,22,22,54,31.166666666666668,11.006311320732705
Isabelle,6,9,23,12,28,17.0,6.27162924074226
Dark Pit,6,9,24,14,42,25.166666666666668,9.702519718551924
Wolf,5,9,25,13,43,31.8,11.232096865679177
Pokemon Trainer,6,9,26,5,57,29.333333333333332,16.73983937265296
ROB,6,9,27,15,76,33.833333333333336,19.928343857152026
Byleth,6,9,28,15,64,29.5,16.070158679988197
Meta Knight,6,9,29,6,81,38.166666666666664,30.732266792773718
Sonic,6,9,30,3,35,19.333333333333332,10.9188929027728
Mr Game & Watch,6,9,31,14,73,34.666666666666664,18.499249234015476
Samus,6,9,32,2,83,34.833333333333336,27.913059468443958
Toon Link,6,9,33,4,72,26.833333333333332,23.40524632546207
Donkey Kong,6,9,34,5,41,24.333333333333332,12.160957564636465
Rosalina & Luma,5,7,23,10,66,36.8,22.745549015137005
Pikachu,5,7,25,11,70,28.6,21.17167919651155
Ganondorf,5,7,26,11,35,20.6,9.178235124467012
Duck Hunt,5,7,29,10,29,17.6,7.172168430816443
Captain Falcon,5,7,30,10,30,17.8,6.764613810115105
Incineroar,5,7,31,4,31,17.6,11.01998185116473
Inkling,5,7,32,22,44,30.4,8.138795979750322
Pit,4,6,21,20,39,26.75,7.562241731127087
PacMan,4,5,28,28,66,45.0,13.874436925511608
Lucario,4,5,29,27,70,39.0,17.930421077041107
Dark Samus,4,5,30,30,71,45.0,16.170961628796228
Mii Swordfighter,4,5,31,29,38,34.0,4.06201920231798
Mario,4,5,32,5,77,40.75,26.156978036462853
Ness,4,5,33,32,43,36.5,4.387482193696061
Sheik,4,5,34,8,52,36.0,17.60681686165901
Marth,4,5,35,17,60,43.0,18.152134860671346
Peach,4,5,36,7,56,38.25,19.651653874419832
Mii Brawler,4,5,37,13,82,48.75,26.099568961957974
Jigglypuff,4,5,39,39,64,47.75,10.0093706095838
Palutena,4,5,40,16,85,49.0,25.0099980007996
Fox,4,5,41,18,74,43.5,19.956202043475106
Robin,4,5,42,19,47,38.25,11.255554184490428
Wario,3,4,46,30,46,36.333333333333336,6.944222218666553
Corrin,3,4,47,39,58,48.0,7.788880963698615
Steve,3,4,48,43,79,56.666666666666664,15.92342788332825
Greninja,3,3,20,20,51,32.333333333333336,13.424687043734844
Villager,3,3,21,21,69,47.0,19.79898987322333
Richter,3,3,22,22,61,46.666666666666664,17.518244457961217
Shulk,3,3,23,23,52,41.333333333333336,13.02134998974974
Zero Suit Samus,3,3,24,24,53,41.0,12.355835328567093
Olimar,3,3,25,25,68,51.333333333333336,18.83849486792639
Terry,3,3,26,8,65,33.0,23.790754506740637
Daisy,3,3,27,27,65,49.333333333333336,16.21384867602041
Pichu,3,3,28,28,72,56.0,19.86621923433512
Ryu,3,3,29,29,79,53.666666666666664,20.417857108151406
Lucina,3,3,30,30,77,56.666666666666664,19.70335560817553
Snake,3,3,31,28,75,44.666666666666664,21.483844059096022
Diddy Kong,3,3,32,32,80,63.333333333333336,22.17105219775452
Bayonetta,2,2,81,81,84,82.5,1.5
Simon,2,2,82,82,86,84.0,2.0
Joker,2,2,83,74,83,78.5,4.5
Mega Man,2,2,84,69,84,76.5,7.5
Kazuya,2,2,85,73,85,79.0,6.0
Ken,2,2,86,75,86,80.5,5.5
