condition,molecule,label,ensemble,temperature_K,pressure_kPa,molecules,frames,production_ps,angular_kl_nats,msd_final_nm2,measured_temperature_K,measured_temperature_K_block_se,potential_kJ_mol_molecule,potential_kJ_mol_molecule_block_se,density_g_cm3,density_g_cm3_block_se,fcc_order,fcc_order_block_se,polar_order,polar_order_block_se,nematic_order,nematic_order_block_se,multipolar_order,multipolar_order_block_se,a1_squared,a1_squared_block_se,a2_squared,a2_squared_block_se,a3_squared,a3_squared_block_se,a4_squared,a4_squared_block_se,a5_squared,a5_squared_block_se,a6_squared,a6_squared_block_se
glycerol_p00_t00,glycerol,Glycerol-inspired,npt,180.0,10.0,32,60,3.0,0.16663234053448991,0.023038624461022766,239.2634763607311,28.502357917776028,-41.011247032970736,2.2609554735136403,1.153290447495329,0.06475704284815285,0.7073784390194953,0.14440510063831957,0.2532066544910296,0.015279642591532833,0.17374972083480625,0.02507095437001601,0.11000367392223692,0.003907968892436034,0.04570864590275203,0.009439761576381342,0.007790622816850136,0.009700733501341739,-0.008309140752729217,0.0023110503666372182,0.002803142272631795,0.0036693436718680315,-0.00038694268176282565,0.0022962548780270406,-0.0014631091588637535,0.001805270897938675
glycerol_p00_t01,glycerol,Glycerol-inspired,npt,300.0,10.0,32,60,3.0,0.2736616204010553,0.003635466024585584,288.22024024067815,11.317651423363888,-43.3381306625486,0.25340845033830517,1.216399093029674,0.004455103971887933,0.8933545368990016,0.010646419402754277,0.3735780083638644,0.06643825185705089,0.15650168858402858,0.02126313694164218,0.15693632253452097,0.028162414418029642,0.1303961747121176,0.053194628016303924,0.00494313745817873,0.00651727814090261,0.0022269949859854404,0.0037944854793429757,0.0019833847453684527,0.00438756757614121,-0.000413096533682272,0.0021677023289509083,0.0024414808623911917,0.002060844291232673
glycerol_p00_t02,glycerol,Glycerol-inspired,npt,600.0,10.0,32,60,3.0,0.1020665852508641,0.005703961223852576,515.2463263039813,34.4195091372193,-39.04256940220512,0.8404564491191059,1.17022870035012,0.012483647269719251,0.8286410887782311,0.011327250542882783,0.22855324968982513,0.025659045576102348,0.13885808110427972,0.0079983932299406,0.09854956179995716,0.004672450948671093,0.02789127807780166,0.01169899684381908,-0.0020722560656166377,0.0026334373857334176,0.0018075062741709487,0.003223727250190037,0.0014050748537777526,0.0030980352607972743,-0.0007623669153526339,0.0034691119141102827,0.003362431192560367,0.0028791472962388454
glycerol_p00_t03,glycerol,Glycerol-inspired,npt,1000.0,10.0,32,60,3.0,0.0720915257862354,0.029296118060905728,855.7823305948734,41.76158564547652,-29.89919149068863,1.0737635845893647,1.0345137233466302,0.025858749434902323,0.48456891263762003,0.08351550235404356,0.19883291282472368,0.017342695744144623,0.14723794323963207,0.01208849802920338,0.08778714012950119,0.005207352245724024,0.014651428765428232,0.008255698433935407,0.0015653031895462965,0.004036443156467009,0.0021690848371307024,0.0008031730386722999,-0.0023561853912412983,0.003807992289778358,0.002048068761784117,0.002058813009006689,0.0003946017316703404,0.0020187488541680175
glycerol_p00_t04,glycerol,Glycerol-inspired,npt,1600.0,10.0,32,60,3.0,0.04483074959023413,0.5154567618520458,1586.9138170160072,81.65108482869591,-17.325305895970622,1.0911429589424007,0.7134800839731487,0.04229972549253578,0.05408741308963771,0.008833095874088927,0.14962175907120795,0.013270137003716322,0.14621166230061056,0.014485320643857266,0.07328492632041536,0.0031659673919101146,-0.005798964299014494,0.004585716824430382,0.0005722888171167405,0.005937936141711948,0.000279601327901621,0.0023025179973691847,0.0009066474035096905,0.0035523279757499935,0.0013331111548407174,0.0024164706673340227,-0.001245673258080711,0.002789838345613075
glycerol_p01_t00,glycerol,Glycerol-inspired,npt,180.0,101.325,32,60,3.0,0.17568884056791248,0.027087098789946393,199.58718727936622,11.53611638815989,-36.597516721190495,1.2187020371940942,1.0130840756231998,0.04099913296531771,0.3946007005491155,0.0710662563012997,0.17935822558740586,0.039592123533710055,0.14045069260513035,0.009232310742912813,0.09719501782307757,0.009097227649411297,0.007321313524716897,0.015242398439744198,-0.0022821465836592994,0.003028051914268769,0.006931167625447728,0.0058016960644416415,0.01075078692030495,0.004920228568230818,0.004099933707213506,0.002175216672554382,0.001333107747552518,0.0007186223005115625
glycerol_p01_t01,glycerol,Glycerol-inspired,npt,300.0,101.325,32,60,3.0,0.21573771475613893,0.003189256615615508,292.8908302560398,5.447045411742709,-43.35887693629986,0.1661659513028671,1.227788627304111,0.0041182613750698725,0.8953785116613361,0.004937244434609652,0.31390001059035966,0.037224629571567976,0.13805160428888727,0.005952830184748003,0.12695856316369242,0.013947520697427173,0.07913722244616096,0.023923933127638897,-6.593385011753697e-05,0.003373655148347663,-0.003185686061475008,0.003757564786441589,-0.0010300409737172796,0.0020351613554530227,0.0007689779068404087,0.0017697239959011107,0.0011579012012980512,0.0025606083948985334
glycerol_p01_t02,glycerol,Glycerol-inspired,npt,600.0,101.325,32,60,3.0,0.057670278399648355,0.007631919021821264,557.0899644805764,24.69692149738351,-38.24036561011251,0.6934211576909344,1.1768516372446625,0.015176430349869766,0.8111386760608925,0.024941079729634736,0.2321797742999588,0.023895866780231353,0.14507417279784088,0.021584671365124132,0.09127346054053247,0.01607270710748733,0.030792835238291065,0.0101759886492874,0.00040917875466595034,0.009180334561516849,-0.0013372139503221264,0.0033423825698462245,-0.005459202025215553,0.0009078759103820272,0.00034226194650798295,0.002946831653102989,-0.0030547278982832396,0.0017186953585383489
glycerol_p01_t03,glycerol,Glycerol-inspired,npt,1000.0,101.325,32,60,3.0,0.06102233150010131,0.06894825021797994,975.4203301987762,12.620593484947412,-28.784794349663045,0.8768114669768375,1.041946300330192,0.015559601859050125,0.3383271343399545,0.08683452929616535,0.20664670779082045,0.014939788070960325,0.15663012467112464,0.010499767984654379,0.08285222039559535,0.005297122935156721,0.01734243067978316,0.006193293631835545,0.002514295509017947,0.004581243646459512,-0.004335045373069542,0.0036491655918786127,-0.0009337866656647012,0.0015809805468146307,-0.001371014285231596,0.0023465694794349377,-0.0029313044319628392,0.0007305512162167948
glycerol_p01_t04,glycerol,Glycerol-inspired,npt,1600.0,101.325,32,60,3.0,0.06285788688792755,0.34392120122518194,1753.9835513642329,36.915955925375854,-19.110712870350707,0.5344370293140859,0.8423638424019012,0.026549406697609697,0.06464740304099574,0.001743520239030293,0.17561253243394442,0.0019003922489064184,0.157096254921348,0.008013046910902955,0.0841058923947457,0.0031356371614057878,0.005035120816370184,0.001603522023267623,0.006717555576077812,0.0029710624810838,0.0032583979957014476,0.004186852213836281,-0.0011896315887939626,0.0013484202027515893,0.0004382401600069257,0.003317102880860829,-0.0005512522402786478,0.0015429499871808276
