step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
1100,0.5499999999999948,138.63059178005528,-1409.3372517837058,90.4821515357193,-1318.8551002479865,-44.04178911824081,1.4861652474919982,3.2824740742904526,1.2648303293601812,0.0001223582452136184,0.8885688719661279,0.34631177930938195,0.1694171561701536,0.13967809852982274,0.09154255327837944,0.0006029568456082648,0.01370264841899536,0.0075421158581223885,0.00366955285233574,-0.0009625539601212517,0.5392505392737492,0.4853282272354726,0.0,-44.04178911824081,0,0.9802089399227502
1200,0.5999999999999893,140.30283477086132,-1411.9747212854356,91.57359997978793,-1320.4011213056476,-44.124210040169864,1.483117828906369,3.2623230682229774,1.2726430453629367,0.00043419041633774167,0.8905901174546382,0.3625332157907978,0.1810637787924287,0.1591763225157246,0.10341195618231451,0.003067529187006612,0.013225653744262773,0.0076069905063797785,0.024710480277816173,-0.00440100345627577,0.5400828677297155,0.4841566447128355,0.0,-44.124210040169864,1,0.9266061077710394
1300,0.6499999999999838,144.60901867191487,-1407.905191438224,94.38418297790408,-1313.5210084603198,-43.9970372324445,1.4744552711986183,3.2054928110707364,1.2952057637322312,0.0007965182793425922,0.8934215289382231,0.35661064071233173,0.18107940278982604,0.16160933172444894,0.09901537968439714,0.0018474753326674454,0.011639499580755594,0.01374186993232226,0.03046123207239546,-0.004586418980424105,0.5413962637591626,0.4817833352049881,0.0,-43.9970372324445,2,0.8508986962150744
1400,0.6999999999999783,147.06420386564386,-1402.3414221298508,95.98664630071592,-1306.354775829135,-43.82316944155784,1.4785514439245195,3.232282561794561,1.2844708608012252,0.001108889626233532,0.901343723508316,0.3365230190968016,0.1834696144345208,0.13753686189130046,0.0846428308459627,0.0029268277095695567,0.009238166486536657,0.011498273514368273,0.0051922317170027465,-0.0015130522357764042,0.5442304203222501,0.48577706376876006,0.0,-43.82316944155784,3,0.7810213645968036
1500,0.7499999999999728,149.13757624072534,-1404.5875434449754,97.33990600352192,-1307.2476374414534,-43.89336073265548,1.4782761679748135,3.23047754376358,1.2851885544030557,0.0013180504059331572,0.9113153096261711,0.31777856280096023,0.16946631725504774,0.11517283540331133,0.07198267352345164,-0.0023948171012091206,-0.0032406133880958743,0.007606018565577829,-0.013862072547787195,-0.01127439545819374,0.548060275906048,0.4891641265233616,0.0,-43.89336073265548,4,0.7288440596994105
1600,0.7999999999999673,157.92782014343743,-1409.197092630608,103.07716911859977,-1306.1199235120082,-44.0374091447065,1.4775087604685948,3.2254491071882625,1.2871921479859578,0.0014826681549469705,0.9128404160786826,0.3094422779049195,0.12708835205110755,0.1118576895763445,0.0665853144309527,-0.01547383064557391,-0.008441352196184975,0.008487541873194398,-0.008326292749725043,-0.010132008832818177,0.5491036125519442,0.48981743984668696,0.0,-44.0374091447065,5,0.7012666653377351
1700,0.8499999999999618,146.62584110285462,-1404.708093394774,95.70053336257567,-1309.0075600321984,-43.89712791858669,1.4768911899683828,3.2214062687416893,1.2888075635746403,0.0016074503919711483,0.9071982360344036,0.3163551407467991,0.06738693702543763,0.11000193653059823,0.07105091620844088,-0.02728542079970328,-0.002885887409162567,-0.007304583517275866,0.00155164003444967,-0.006936985570966318,0.5475748879427378,0.48560577215438916,0.0,-43.89712791858669,6,0.6837306963170597
1800,0.8999999999999563,169.68406252326955,-1417.821444070219,110.7502958855278,-1307.0711481846913,-44.306920127194346,1.4831972213577855,3.2628470003453782,1.2724386905244336,0.0016409673056002128,0.9018149028312058,0.3354332056426134,0.029956568337989455,0.12656122115562915,0.08388690110728235,-0.030777384601969854,0.008140471480025774,-0.016349440218988286,0.004079083615116323,-0.0017206247480438261,0.545254079088347,0.4855930415812985,0.0,-44.306920127194346,7,0.6481267333312047
1900,0.9499999999999508,164.1074597484802,-1414.0265748857573,107.11052914397376,-1306.9160457417836,-44.18833046517992,1.484886645263761,3.27400926414749,1.2681004937785714,0.0016671718445924115,0.8975963636734006,0.35407423697040713,0.07357772830754328,0.1292042065846562,0.09715464803734293,-0.026569321691834537,0.0030077139576801695,-0.009115731845818046,-0.005169331096825484,-0.0031305554353619177,0.5430228634705525,0.4826801089633411,0.0,-44.18833046517992,8,0.5992901418120062
2000,0.9999999999999453,144.8813032002011,-1399.0442891712855,94.56189909115787,-1304.4823900801277,-43.72013403660267,1.4856033468883845,3.2787522938878166,1.2662660647590547,0.0017257925595545228,0.892615440598033,0.3693061401611975,0.10723290387305451,0.1344919713225984,0.10852854210143179,-0.020084960831829455,-0.00882043296419517,-0.007689559078275022,-0.006097163127893273,-0.0022646415185421493,0.5406962911520752,0.48130090896704325,0.0,-43.72013403660267,9,0.5770218571322753
