frame,step,time_ps,molecule_id,box_nm,x_nm,y_nm,z_nm,dx_nonaffine_nm,dy_nonaffine_nm,dz_nonaffine_nm,vx_nm_ps,vy_nm_ps,vz_nm_ps,dipole_ux,dipole_uy,dipole_uz,theta_rad,phi_rad,dipole_debye
0,11100,5.550000,0,2.023008,0.037390735,0.36854601,2.0210507,-0.019685635,0.0066722736,-0.015791109,-0.39175813,0.17165663,-0.2917578,-0.44865872,-0.3262372,0.83203043,0.58803841,-2.5128839,3.96
0,11100,5.550000,1,2.023008,0.34255994,0.83991733,0.19962267,0.0050768299,-0.0027548768,-0.023433042,0.18847947,-0.04760618,-0.46159767,0.59909597,0.38246875,-0.7034214,2.3509961,0.56818427,3.96
0,11100,5.550000,2,2.023008,0.97857572,0.30420636,0.71552471,0.024984855,-0.0047050073,-0.0066398584,0.46224809,-0.093771723,-0.12020587,0.40972375,0.58395429,-0.70080228,2.3473179,0.95897277,3.96
0,11100,5.550000,3,2.023008,0.99709444,0.9122797,0.3466125,-0.0091238153,-0.0053878273,0.0076470993,-0.19374335,-0.15207362,0.19612556,-0.87293215,0.32928386,-0.35994666,1.939007,2.7808807,3.96
0,11100,5.550000,4,2.023008,0.21581853,0.28132247,0.75088119,-0.011088193,0.011871818,-0.0030929423,-0.18823605,0.27201464,-0.067418998,-0.26070533,0.74599943,0.61279489,0.91120381,1.907,3.96
0,11100,5.550000,5,2.023008,0.75527659,0.82013,1.8198362,0.0040399446,0.0012814403,0.0098077696,0.042111534,0.048512496,0.25006617,0.31234433,0.32141607,-0.89394224,2.6768618,0.79971133,3.96
0,11100,5.550000,6,2.023008,0.76244981,0.32796592,1.9875144,0.00049678703,-0.0054574504,0.0043320811,0.041223692,-0.12884364,0.02641046,0.63586685,0.60799516,0.4754106,1.0753656,0.76299454,3.96
0,11100,5.550000,7,2.023008,0.46253485,0.54984504,1.2577211,-0.00380386,-0.022248727,-0.010415136,-0.10807798,-0.48742081,-0.16792392,-0.10962425,-0.6671947,0.73677253,0.74251184,-1.7336475,3.96
0,11100,5.550000,8,2.023008,0.59276103,1.3651467,0.11287622,0.015782527,0.015535603,0.014119088,0.31721327,0.29978727,0.29707328,0.37501412,0.88426343,-0.27828509,1.8528045,1.1696902,3.96
0,11100,5.550000,9,2.023008,0.18195198,1.6530383,0.66103383,-0.0071309112,0.015888935,0.0077452758,-0.17785334,0.31405323,0.1816457,0.063872619,0.83145635,-0.55190636,2.1554449,1.4941267,3.96
0,11100,5.550000,10,2.023008,0.68455284,1.2380631,0.81529602,0.0069133179,-0.002031842,-0.0013269069,0.1689058,-0.072682942,-0.02471271,-0.66918317,0.72064598,0.18128228,1.3885062,2.3191832,3.96
0,11100,5.550000,11,2.023008,0.93467477,1.6223789,0.44519528,0.0018262186,0.0089441677,0.0013855293,0.0072866713,0.096345698,-0.04110414,0.94359916,0.14398064,0.29814458,1.2680481,0.15141872,3.96
0,11100,5.550000,12,2.023008,1.977843,1.0526892,0.97076575,0.0017365512,-0.012380541,-0.0046150512,0.068967029,-0.17114327,-0.10263354,0.083713072,0.34074257,-0.93642225,2.7830871,1.3298892,3.96
0,11100,5.550000,13,2.023008,0.36585748,1.8980454,1.9970777,-0.0040880072,0.016614494,0.022933968,-0.030687828,0.29305905,0.47734176,0.51556319,0.7721616,-0.37143111,1.9513462,0.98208684,3.96
0,11100,5.550000,14,2.023008,0.55216186,1.1685936,1.4026821,0.010245893,0.0038570031,-0.012495572,0.24411796,0.028080513,-0.31193952,-0.69271459,-0.33293117,-0.63976818,2.2649929,-2.6935704,3.96
0,11100,5.550000,15,2.023008,0.71519876,1.74443,1.4956524,0.0058986102,0.0016112664,0.0020775515,0.044722908,0.063010478,0.12966307,0.018962821,-0.88535451,0.46452966,1.0876929,-1.5493813,3.96
0,11100,5.550000,16,2.023008,1.2219632,0.14509312,0.23709931,-0.0069816587,-0.0035199696,0.010857383,-0.14963162,-0.075264478,0.27844331,0.21744729,-0.97408343,0.062274823,1.5084812,-1.3511646,3.96
0,11100,5.550000,17,2.023008,1.2361236,0.84074408,0.90004551,-0.0094248071,-0.013611862,-0.00098721625,-0.16857855,-0.25580096,-0.05307408,-0.07020577,0.94135276,-0.3300396,1.9071418,1.6452382,3.96
0,11100,5.550000,18,2.023008,1.5137403,1.9065518,0.81840052,0.01586028,-0.014505616,-0.00025869199,0.30389892,-0.19534984,-0.0094294195,0.15820696,-0.92086996,0.35632721,1.2064622,-1.4006557,3.96
