step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
1100,0.5499999999999948,126.96907877106926,-898.5255412839831,82.87085323809029,-815.6546880458928,-28.078923165124472,1.5250027502441466,3.5465973131442343,1.1706355128375985,8.384163025329893e-05,0.8249582239865532,0.13357201552773543,0.09016791269935187,0.07972363255489213,-0.01384104946359576,-0.0159999872261454,-0.022289596034211,-0.01068968884647737,0.018423183412419,0.019711962114065736,0.5236281736378512,0.49266378541999345,0.0,-28.078923165124472,0,0.9687483913331999
1200,0.5999999999999893,141.3110541122686,-910.0129426981497,92.23164993874066,-817.781292759409,-28.437904459317178,1.5330294016145742,3.6028937302086335,1.1523439422290793,0.000343094448233683,0.8407080329454546,0.12479267019445778,0.08446396967296352,0.055248300705830033,-0.01618249235172882,-0.018829228626137715,-0.01770832316465103,-0.01578867301301642,-0.0003698674482389625,0.018314248385290915,0.5287762303233985,0.49524877379973553,0.0,-28.437904459317178,1,0.8962658247972821
1300,0.6499999999999838,158.54996353409524,-924.0297658845564,103.48323297382561,-820.5465329107308,-28.875930183892386,1.531839236197957,3.5945089372742864,1.1550319770937434,0.000752036035703791,0.8513422445834777,0.11889828345517518,0.08312255865038308,0.021012470496192134,-0.017665236842748715,-0.01834063573179247,-0.014469557660120723,-0.02104574751394008,-0.015013743036005198,0.002649143498120069,0.5312657096500768,0.49284212175605735,0.0,-28.875930183892386,2,0.7923400430184893
1400,0.6999999999999783,157.90567382557015,-935.5658086935633,103.06271454213513,-832.5030941514282,-29.236431521673854,1.5261621495720985,3.554692477822122,1.16796960367293,0.0012630170572627006,0.8592578992806456,0.12453148439714534,0.10618392028794366,0.0,-0.01624971292267721,-0.012699336681846822,-0.01791568780640299,-0.016812743126568382,-0.0204582658210662,-0.0075565814200996215,0.5322768582394775,0.49002926698667515,0.0,-29.236431521673854,3,0.6808825000228367
1500,0.7499999999999728,164.003073984865,-940.9460010199872,107.0423980889135,-833.9036029310737,-29.4045625318746,1.521166440147915,3.5198990357970077,1.1795147310414167,0.0017880064565242903,0.8661538278491537,0.13711085338235676,0.13123487043943804,0.021907264535028025,-0.012852246590721934,-0.008699319330012502,-0.021797575936627064,0.0028795694364461798,-0.0041792992148750535,-0.006765957479980158,0.533387088761409,0.4893402272967763,0.0,-29.4045625318746,4,0.5986023859056373
1600,0.7999999999999673,166.72471897008566,-940.2637207163116,108.81877580480662,-831.444944911505,-29.383241272384737,1.5178172554130385,3.4967006758645702,1.1873400526267552,0.0023125764722203733,0.8731422954127203,0.14303357670846342,0.1342975710646062,0.07242860101300916,-0.011139505480241653,-0.010759239289717445,-0.023229663943475448,0.01595868273676594,0.009958444046466461,0.005558286684977623,0.5356969617098085,0.49123897983031817,0.0,-29.383241272384737,5,0.5304965661832414
1700,0.8499999999999618,155.2322141569886,-941.9291505307983,101.31778667483569,-840.6113638559626,-29.435285954087448,1.5070792898816612,3.4230110850428774,1.2129007652480457,0.0027601018245502554,0.8772644877643737,0.13821903480202194,0.12997647944302929,0.0638139300374066,-0.012537288689958665,-0.0126553755868456,-0.01652211461313402,0.018553680592388724,0.0004113022610096588,0.005468323147515756,0.5379425470746435,0.4907677270056675,0.0,-29.435285954087448,6,0.45805307736867795
1800,0.8999999999999563,151.57139102379168,-943.3100837569267,98.92842117310776,-844.381662583819,-29.47844011740396,1.5063548684721904,3.4180773484143834,1.214651495943186,0.0030837019980872213,0.8790544087884441,0.13112675277925373,0.1225367890542107,0.06193782768536476,-0.014509186792844877,-0.014908280747995264,-0.014878053370085763,0.013286380530206551,0.006661541108233023,0.0030698453518520487,0.5394373927868952,0.49109516841050704,0.0,-29.47844011740396,7,0.3911460325968917
1900,0.9499999999999508,167.7352774511033,-953.2359083161166,109.47835248583395,-843.7575558302826,-29.788622134878644,1.5070168246040319,3.4225854727802383,1.2130515943341735,0.0032895135972804412,0.8791110322326664,0.11830418162102188,0.08432692202658824,0.056992846669952864,-0.017810705146818342,-0.02197088397813631,-0.012553300580265344,0.012791152045993499,0.006697955383275047,-0.0037710498058953264,0.5395721870601284,0.49031486055859436,0.0,-29.788622134878644,8,0.33136472647413473
2000,0.9999999999999453,179.5301651028368,-967.0186143264766,117.17670245424603,-849.8419118722306,-30.219331697702394,1.498487716620059,3.3648023752314,1.233883093718254,0.0033872434186053057,0.8762701894333232,0.11102218398664286,0.08176306250515393,0.0722192125154539,-0.01953452868421783,-0.02303571281006264,-0.009265244088690271,0.02007542370146007,0.0039851443966614575,0.00723311983999224,0.5383316504797944,0.4867868130930608,0.0,-30.219331697702394,9,0.2897149346847746
