step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
11100,5.549999999999644,377.172219702787,-715.6271316226262,246.17476921945212,-469.45236240317405,-22.363347863207068,1.519384180173401,3.507541358691645,0.9402947831165591,0.0003488552836353745,0.5117441990620221,0.2455814663025954,0.08223495344967893,0.09424332034673183,0.029997684223311245,-0.005396667655055929,-0.016461541401584432,-0.004294406571756741,0.023293136356549057,-0.02027172003398463,0.40683969419099847,0.4502690098017995,0.0,-22.363347863207068,0,0.8993074817896157
11200,5.599999999999616,347.72893625300986,-685.0773466156115,226.9575704712956,-458.1197761443159,-21.40866708173786,1.5188253466971429,3.5036725333417795,0.9413330754394429,0.0013606762756395202,0.46819648616205567,0.24104560339401324,0.13900174191061787,0.0780705410253482,0.02771920817092532,0.0013230185955129994,-0.011440611113534971,-0.0034667810977500693,0.002616960941098466,0.004910868548406678,0.3923785957393204,0.44516301131259695,0.0,-21.40866708173786,1,0.6647176085931997
11300,5.649999999999588,374.4287112056993,-675.4711007480906,244.38412151041783,-431.08697923767284,-21.108471898377832,1.5112080114068607,3.451220772779952,0.9556394847747423,0.002654083578782159,0.4328410015168213,0.20889973829067807,0.16370099497413948,0.06377346266246059,0.012788749066233594,0.005958906691539541,-0.002927859476856354,0.0006104535996483794,-0.004928634898948147,0.005044217882340011,0.3797707380646398,0.43986809420240935,0.0,-21.108471898377832,2,0.4227573651426202
11400,5.6999999999995605,428.9369470050787,-663.7620997060108,279.96084659119276,-383.801253114818,-20.742565615812836,1.5092476623966709,3.437807348699884,0.9593681398088265,0.0038642226184346204,0.41955842837897006,0.1666097092936879,0.10341513847033672,0.07755937469180296,-0.003603824277752589,-0.013423426902222767,0.004026687853976573,0.0021908565871127466,-0.0034335782903753905,0.02987519517441159,0.38270121564133025,0.4410685985479912,0.0,-20.742565615812836,3,0.22662851091437988
11500,5.749999999999533,446.81150060416854,-668.2699036756209,291.62730524666875,-376.6425984289521,-20.883434489863152,1.5100860511685803,3.443539649352837,0.9577711241870426,0.004963642436815915,0.422432801384195,0.1559626161285392,0.08250258106026945,0.01136847777112618,-0.00714907083390134,-0.02370585151790336,-0.008992371511878967,0.0007754537209955405,-0.006278703790755128,-0.004912633595002982,0.3875192274236533,0.44813731028843906,0.0,-20.883434489863152,4,0.15622757959295344
11600,5.799999999999505,526.172567452301,-691.5971075490434,343.42510820189034,-348.171999347153,-21.612409610907605,1.5160471516834597,3.484481206029852,0.946517615143385,0.006367965263976802,0.42488526453874426,0.1396772699253158,0.0746861806290291,0.0,-0.012118978339314036,-0.02280809229452329,-0.0023394121365530947,-0.007363616447366251,-0.020009276096439287,-0.00878815502608746,0.39077509004937305,0.45217883352354227,0.0,-21.612409610907605,5,0.15295473741008558
11700,5.849999999999477,561.8731526822553,-678.6086165098966,366.72635593670185,-311.88226057319474,-21.20651926593427,1.5341023362438628,3.6104637916352584,0.9134900753704911,0.008586608825522032,0.40838897888372744,0.12933165942913294,0.10000655613631707,0.0,-0.014991816123155376,-0.0211644515756712,-0.005039987158777264,-0.011474415615420598,-0.0004661077833697406,-0.005395056468556521,0.39089409511461326,0.45529554075447387,0.0,-21.20651926593427,6,0.1492167356494074
11800,5.89999999999945,503.56482414465825,-632.4893859151194,328.6693661281046,-303.8200197870148,-19.765293309847483,1.5294611830219522,3.5777943824377796,0.9218312984482077,0.011455568971165214,0.3713837797881869,0.15184386948439377,0.09474236632373237,0.04421325013568961,-0.008457743793554988,-0.020547145372038986,-0.012043879446181195,0.0012622629395740812,0.010466605985792262,-0.00011957412058877058,0.3792095311235909,0.4483746584224687,0.0,-19.765293309847483,7,0.14462618179946313
11900,5.949999999999422,541.0742478237141,-655.2773104565781,353.15121615678004,-302.12609429979807,-20.477415951768066,1.5293749657253033,3.577189364720313,0.9219872097548824,0.014205520073802635,0.3327087449745972,0.178518806280435,0.1363855156063664,0.05949940794433574,0.0006389307827525025,-0.01126002485527857,0.000447620175768919,-0.028004262927826352,0.020154526315837477,-0.005092186901180911,0.37170988802277183,0.4515362314526089,0.0,-20.477415951768066,8,0.13330932035454113
12000,5.999999999999394,521.9771295484281,-636.6013589981767,340.6868074898859,-295.9145515082908,-19.89379246869302,1.5509719565091755,3.7308847703105585,0.8840055494045146,0.016891185848014724,0.2919849709087211,0.18100041645038226,0.1767100563569428,0.05900761081329293,0.0015598975537670322,0.0009555511197386087,-0.009402018965118612,-0.004804709060159865,0.01837594012985263,-0.020737566660709694,0.35736812882570296,0.4517511798692741,0.0,-19.89379246869302,9,0.10759414736613895
