step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
11100,5.549999999999644,402.3632840019535,-1729.5529983802478,262.61660696966186,-1466.9363914105859,-54.048531199382744,1.170605020264863,1.6040989217769985,1.4920244946664845,0.0005169487236541643,0.8248102030209077,0.8807355286519174,0.6897099686730788,0.5063816085774313,0.7684594285726685,0.45956054144322545,0.2193226924911542,0.080867201087437,0.010324137438315782,-0.01986286043594423,0.5165019066849208,0.3781612816693641,0.0,-54.048531199382744,0,0.8102676476624937
11200,5.599999999999616,407.6249763261336,-1716.6298827009332,266.05083628440167,-1450.5790464165316,-53.64468383440416,1.1767608446211346,1.6295385082973641,1.468731712060057,0.001519903008822765,0.8210791053589427,0.8773856516133044,0.6788843222022869,0.4972879288074689,0.762379955258738,0.44543881527821505,0.20155589319548756,0.06754102419251412,0.006856016900779101,-0.015173890322219883,0.5182345445516456,0.3799668670733205,0.0,-53.64468383440416,1,0.6622038168153812
11300,5.649999999999588,479.95363022421304,-1731.49899125225,313.25868657450025,-1418.24030467775,-54.109343476632816,1.1719132878587244,1.6094831552065503,1.487033197841845,0.002159385892240275,0.823903946857442,0.88137895227413,0.694633082370134,0.5286922247112633,0.7696297883993215,0.4706059228835697,0.24881381920428433,0.12479316846220101,0.053651482555832804,0.009598629315660225,0.5172235731237558,0.37490632963263115,0.0,-54.109343476632816,2,0.6159846556251118
11400,5.6999999999995605,472.04429238848434,-1726.4575725083619,308.09637791368874,-1418.3611945946732,-53.95179914088631,1.170826497892916,1.6050095771380897,1.4911779451353782,0.0025789533589943487,0.8171046729270092,0.8845416823782009,0.697190835153831,0.525682624544716,0.7753950842471823,0.46988829516735064,0.2299960714190656,0.1011242643100999,0.05000245260993819,0.03164716273568881,0.5150145776575363,0.3771369085040694,0.0,-53.95179914088631,3,0.49977367420162444
11500,5.749999999999533,485.20902944467315,-1723.688087795908,316.688808472853,-1406.999279323055,-53.86525274362212,1.1764438427733803,1.6282219428008364,1.4699193152024321,0.0033352727443810696,0.8068339137689268,0.8841097266585112,0.6958654240666544,0.5151684924230101,0.7746064606680643,0.46942582721683557,0.22739759371547275,0.08910721177080269,0.02608578129552308,0.005768578845683546,0.5103611871295557,0.37868134344058313,0.0,-53.86525274362212,4,0.38792530849131035
11600,5.799999999999505,434.92398194658205,-1689.2685088932997,283.8684963809752,-1405.4000125123243,-52.789640902915615,1.1759429174894482,1.6261429562691565,1.4717985733864563,0.003989908539198157,0.8041330054002093,0.8427918147686906,0.6119818089466155,0.4549410018895382,0.7009528186230737,0.3558521799924817,0.1395314760082747,0.04169847405344413,0.0037929425242666155,-0.0058778703466914875,0.5074411346624652,0.3781776907982068,0.0,-52.789640902915615,5,0.2895787656113008
11700,5.849999999999477,496.5377085851976,-1724.71214615883,324.08287099203176,-1400.6292751667982,-53.897254567463435,1.1768640824318253,1.629967426581313,1.4683452221982076,0.004018658139281164,0.8142560444080578,0.7998220772156553,0.4882633609405164,0.3824951355220151,0.6280932698854872,0.21519505429011584,0.015484905493348449,-0.00567887664455906,0.010526494654145579,0.00851544786493104,0.5145407948800766,0.3805656667080646,0.0,-53.897254567463435,6,0.17863543613666472
11800,5.89999999999945,452.424951720657,-1666.160166658493,295.29112235975083,-1370.8690442987422,-52.067505208077904,1.1794478735613683,1.6407267364185945,1.458716329803727,0.0038094051569312302,0.8104610950395694,0.7525747054468279,0.3992356579506256,0.3384675288052845,0.5523805804163922,0.13379722812473221,-0.00924976556335051,-0.011346955861048523,-0.0034323506921702654,0.0011837997922123922,0.5076024881694214,0.3817763366529855,0.0,-52.067505208077904,7,0.1337872673859277
11900,5.949999999999422,497.56973425435797,-1687.8417090138796,324.7564589915252,-1363.0852500223543,-52.74505340668374,1.1730726012980057,1.6142644182429413,1.4826287788492822,0.0034854972867760063,0.8067508894887643,0.7359649458532579,0.3664719309837393,0.3267142465153861,0.5268587370578466,0.11359445619885224,-0.006448264599671659,-0.003149019880335994,-0.0014455658518212676,-0.0064270537805442155,0.5038794434718215,0.37475113226546675,0.0,-52.74505340668374,8,0.21202420607180106
12000,5.999999999999394,482.85482301055714,-1674.7913443505586,315.15225250361925,-1359.6390918469392,-52.337229510954955,1.1762349914735535,1.6273549335370259,1.4707024471652699,0.0029994116866414984,0.8324347157586647,0.7013515356116001,0.3079055626101875,0.30447767517365304,0.475503459617806,0.07178253292340676,-0.00807661393105085,0.0057615749820168075,0.00319236055168581,-0.0072215370407660165,0.5188194223417474,0.38174129309691973,0.0,-52.337229510954955,9,0.2216232432328351
