cos_theta_lower,cos_theta_upper,phi_lower_rad,phi_upper_rad,count,probability,relative_to_isotropic
-1.0,-0.8,-3.141592653589793,-2.748893571891069,8,0.00625,1.0
-1.0,-0.8,-2.748893571891069,-2.356194490192345,6,0.0046875,0.75
-1.0,-0.8,-2.356194490192345,-1.9634954084936207,12,0.009375,1.5
-1.0,-0.8,-1.9634954084936207,-1.5707963267948966,19,0.01484375,2.375
-1.0,-0.8,-1.5707963267948966,-1.1780972450961724,22,0.0171875,2.75
-1.0,-0.8,-1.1780972450961724,-0.7853981633974483,29,0.02265625,3.625
-1.0,-0.8,-0.7853981633974483,-0.39269908169872414,40,0.03125,5.0
-1.0,-0.8,-0.39269908169872414,0.0,61,0.04765625,7.625
-1.0,-0.8,0.0,0.39269908169872414,54,0.0421875,6.75
-1.0,-0.8,0.39269908169872414,0.7853981633974483,64,0.05,8.0
-1.0,-0.8,0.7853981633974483,1.178097245096172,43,0.03359375,5.375
-1.0,-0.8,1.178097245096172,1.5707963267948966,43,0.03359375,5.375
-1.0,-0.8,1.5707963267948966,1.9634954084936211,15,0.01171875,1.875
-1.0,-0.8,1.9634954084936211,2.356194490192345,19,0.01484375,2.375
-1.0,-0.8,2.356194490192345,2.7488935718910685,11,0.00859375,1.375
-1.0,-0.8,2.7488935718910685,3.141592653589793,12,0.009375,1.5
-0.8,-0.6,-3.141592653589793,-2.748893571891069,3,0.00234375,0.375
-0.8,-0.6,-2.748893571891069,-2.356194490192345,1,0.00078125,0.125
-0.8,-0.6,-2.356194490192345,-1.9634954084936207,2,0.0015625,0.25
-0.8,-0.6,-1.9634954084936207,-1.5707963267948966,10,0.0078125,1.25
-0.8,-0.6,-1.5707963267948966,-1.1780972450961724,18,0.0140625,2.25
-0.8,-0.6,-1.1780972450961724,-0.7853981633974483,32,0.025,4.0
-0.8,-0.6,-0.7853981633974483,-0.39269908169872414,47,0.03671875,5.875
-0.8,-0.6,-0.39269908169872414,0.0,64,0.05,8.0
-0.8,-0.6,0.0,0.39269908169872414,70,0.0546875,8.75
-0.8,-0.6,0.39269908169872414,0.7853981633974483,63,0.04921875,7.875
-0.8,-0.6,0.7853981633974483,1.178097245096172,40,0.03125,5.0
-0.8,-0.6,1.178097245096172,1.5707963267948966,25,0.01953125,3.125
-0.8,-0.6,1.5707963267948966,1.9634954084936211,10,0.0078125,1.25
-0.8,-0.6,1.9634954084936211,2.356194490192345,11,0.00859375,1.375
-0.8,-0.6,2.356194490192345,2.7488935718910685,3,0.00234375,0.375
-0.8,-0.6,2.7488935718910685,3.141592653589793,2,0.0015625,0.25
-0.6,-0.3999999999999999,-3.141592653589793,-2.748893571891069,1,0.00078125,0.125
-0.6,-0.3999999999999999,-2.748893571891069,-2.356194490192345,0,0.0,0.0
-0.6,-0.3999999999999999,-2.356194490192345,-1.9634954084936207,1,0.00078125,0.125
-0.6,-0.3999999999999999,-1.9634954084936207,-1.5707963267948966,5,0.00390625,0.625
-0.6,-0.3999999999999999,-1.5707963267948966,-1.1780972450961724,5,0.00390625,0.625
-0.6,-0.3999999999999999,-1.1780972450961724,-0.7853981633974483,9,0.00703125,1.125
-0.6,-0.3999999999999999,-0.7853981633974483,-0.39269908169872414,25,0.01953125,3.125
-0.6,-0.3999999999999999,-0.39269908169872414,0.0,37,0.02890625,4.625
-0.6,-0.3999999999999999,0.0,0.39269908169872414,51,0.03984375,6.375
-0.6,-0.3999999999999999,0.39269908169872414,0.7853981633974483,41,0.03203125,5.125
-0.6,-0.3999999999999999,0.7853981633974483,1.178097245096172,22,0.0171875,2.75
-0.6,-0.3999999999999999,1.178097245096172,1.5707963267948966,12,0.009375,1.5
-0.6,-0.3999999999999999,1.5707963267948966,1.9634954084936211,8,0.00625,1.0
-0.6,-0.3999999999999999,1.9634954084936211,2.356194490192345,2,0.0015625,0.25
-0.6,-0.3999999999999999,2.356194490192345,2.7488935718910685,2,0.0015625,0.25
-0.6,-0.3999999999999999,2.7488935718910685,3.141592653589793,2,0.0015625,0.25
-0.3999999999999999,-0.19999999999999996,-3.141592653589793,-2.748893571891069,1,0.00078125,0.125
-0.3999999999999999,-0.19999999999999996,-2.748893571891069,-2.356194490192345,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,-1.5707963267948966,-1.1780972450961724,3,0.00234375,0.375
-0.3999999999999999,-0.19999999999999996,-1.1780972450961724,-0.7853981633974483,2,0.0015625,0.25
-0.3999999999999999,-0.19999999999999996,-0.7853981633974483,-0.39269908169872414,11,0.00859375,1.375
-0.3999999999999999,-0.19999999999999996,-0.39269908169872414,0.0,30,0.0234375,3.75
-0.3999999999999999,-0.19999999999999996,0.0,0.39269908169872414,27,0.02109375,3.375
-0.3999999999999999,-0.19999999999999996,0.39269908169872414,0.7853981633974483,25,0.01953125,3.125
-0.3999999999999999,-0.19999999999999996,0.7853981633974483,1.178097245096172,6,0.0046875,0.75
-0.3999999999999999,-0.19999999999999996,1.178097245096172,1.5707963267948966,5,0.00390625,0.625
-0.3999999999999999,-0.19999999999999996,1.5707963267948966,1.9634954084936211,6,0.0046875,0.75
-0.3999999999999999,-0.19999999999999996,1.9634954084936211,2.356194490192345,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,2.356194490192345,2.7488935718910685,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,2.7488935718910685,3.141592653589793,1,0.00078125,0.125
-0.19999999999999996,0.0,-3.141592653589793,-2.748893571891069,0,0.0,0.0
-0.19999999999999996,0.0,-2.748893571891069,-2.356194490192345,0,0.0,0.0
