step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
11100,5.549999999999644,402.8225150895319,-724.7280105617501,262.91634035695137,-461.81167020479876,-22.64775033005469,1.2266631887981159,1.8457632634451204,1.296674893557139,0.00048533742627903764,0.5994237903517291,0.18251667544012903,0.13990265737308427,0.06626727126671411,0.0021288638077082735,-0.00897323659339662,0.024219243639109364,-0.009728861991847,-0.014614012665521916,-0.009123077983519835,0.4275730186502536,0.3805055216358686,0.0,-22.64775033005469,0,0.7821683527631407
11200,5.599999999999616,429.00800732625225,-710.8639369004441,280.0072266193384,-430.8567102811057,-22.214498028138877,1.23700734889369,1.8928527883483435,1.2644168093218497,0.0018115523212061217,0.5508673883573525,0.13194709769945034,0.12542480923468108,0.09665318045167236,-0.014286413841230144,-0.01582391355619008,0.050049021309641964,-0.01527652004202772,-0.010235240188780529,0.006002002438899275,0.40542905982823163,0.3832766535634179,0.0,-22.214498028138877,1,0.43223706583947974
11300,5.649999999999588,416.6878980913513,-703.8911056575821,271.9660722362024,-431.9250334213797,-21.99659705179944,1.2292187752873613,1.8573235069714267,1.2886042060933216,0.003115780700314865,0.5163565741650001,0.14232041055019182,0.08139624685912365,0.10669735634343969,-0.011349574958270825,-0.015753790211541965,0.05200319374407188,0.00015474448815814887,0.00012751546582116937,0.016020501406022496,0.399251330219996,0.3783122699077711,0.0,-21.99659705179944,2,0.2609576638507386
11400,5.6999999999995605,455.45025087411426,-726.7408426848458,297.26569069224627,-429.47515199259954,-22.71065133390143,1.2274679200202787,1.8493982905348856,1.2941262546896641,0.004063439840957541,0.5154212109780338,0.18473964504608223,0.18704750385547375,0.061037899402478286,0.002971598917938025,0.01938215206286433,-0.001303968796519452,-0.018782706851757158,-0.012827381804450496,-0.007373144527509156,0.40871734819171684,0.37640849492616624,0.0,-22.71065133390143,3,0.15494892351915163
11500,5.749999999999533,460.7402962339334,-717.9633160754214,300.71842561699793,-417.24489045842347,-22.43635362735692,1.2373949438542509,1.8946326244333338,1.263229004026682,0.00516198528241657,0.5091219340323622,0.20692161775171244,0.1800933872329473,0.0690232277300811,0.011939670599211158,0.010670918068356527,-0.020561753944887098,-0.018963658501651055,0.005974647130104137,-0.008278880383960257,0.4134061193479249,0.38008553653083366,0.0,-22.43635362735692,4,0.02533198153989321
11600,5.799999999999505,421.72993348226817,-673.1055767782841,275.2569346961507,-397.8486420821334,-21.034549274321378,1.248127782764536,1.9443621196364347,1.2309203409120617,0.006693984529231419,0.46690945489486807,0.22660562541146342,0.10627907995620452,0.08555246799726678,0.020748500096124365,-0.010360210138661787,-0.01251689165739147,-0.0015860368419869286,0.001441166199855846,0.021725682386559933,0.40225774540074116,0.37686911859491273,0.0,-21.034549274321378,5,-0.04471923039420565
11700,5.849999999999477,434.9970312108881,-667.875962647528,283.91617456309683,-383.9597880844312,-20.87112383273525,1.243945605213319,1.9248822613702508,1.2433772865960333,0.00788587295845872,0.4248273428047158,0.2528154056401747,0.1512000240190216,0.09008453999776804,0.03371935930736109,0.014971986772295727,-0.016270081177419134,-0.015279850502648419,-0.015387638838777348,-0.01170310938851653,0.3906266431596192,0.37296252627354504,0.0,-20.87112383273525,6,-0.029015903318908444
11800,5.89999999999945,483.9531241091264,-684.9762605201552,315.8690975026672,-369.10716301748795,-21.40550814125485,1.2566555434289695,1.984489265607721,1.20603065213681,0.008555034604570291,0.4022563199555568,0.23705032218992697,0.13401780749883718,0.07249711257833388,0.025747463484230373,0.005787524508943332,-0.027065497389408288,-0.013073363889032187,-0.017590282351578456,-0.015041738438958861,0.3866102948476001,0.38359802921138164,0.0,-21.40550814125485,7,-0.014585317246719513
11900,5.949999999999422,442.39851573255703,-641.6916827051771,288.7470148233869,-352.94466788179017,-20.052865084536784,1.2497474583184165,1.9519414500163494,1.2261407139744547,0.009443854461719373,0.36188034194881846,0.16115393866344732,0.17098658184116805,0.04245164836073524,-0.005449711538846819,-0.0009761316191483492,-0.01739216079556576,0.010812854691261092,-0.010698113115034436,-0.018698054093746867,0.375046661902653,0.3747765433793684,0.0,-20.052865084536784,8,-0.009188845677189647
12000,5.999999999999394,400.85075731109515,-616.3298457783931,261.6294030092171,-354.70044276917594,-19.260307680574783,1.2561647018693733,1.9821647876025066,1.2074449602417872,0.01032371983938556,0.32839478368103464,0.11385936849791585,0.11293237063688476,0.0734112454556174,-0.018875916598973735,-0.009183784809764325,0.02128927580852724,-0.005180422979499538,0.011045989947542198,-0.0076873262045833515,0.35806302435136994,0.37641564129507576,0.0,-19.260307680574783,9,0.00813327439357018
