frame,step,time_ps,molecule_id,box_nm,x_nm,y_nm,z_nm,dx_nonaffine_nm,dy_nonaffine_nm,dz_nonaffine_nm,vx_nm_ps,vy_nm_ps,vz_nm_ps,dipole_ux,dipole_uy,dipole_uz,theta_rad,phi_rad,dipole_debye
0,6100,3.050000,0,1.565246,0.17476591,0.19115136,0.22482688,0.0036357286,-0.0011335188,0.0020792457,0.16234143,-0.086074754,0.0579265,-0.0095396991,0.029298356,0.99952519,0.030817205,1.8855756,2.6
0,6100,3.050000,1,1.565246,0.16917081,0.58176269,0.64504842,-0.002680311,-0.0040872569,-0.0092319196,-0.07425247,0.011837007,-0.20379283,0.24664787,0.44295231,0.86195016,0.53169262,1.0627267,2.6
0,6100,3.050000,2,1.565246,0.55581195,0.25695043,0.61062246,0.0042189752,0.0066608532,0.0071583412,0.079428145,0.066964735,0.13020869,-0.5167862,-0.23278444,0.82385886,0.6026104,-2.7183676,2.6
0,6100,3.050000,3,1.565246,0.60088738,0.55957336,0.18796611,0.010774079,0.0075887408,0.0014477222,0.17164134,0.20844068,-0.004324319,-0.94212387,-0.2412478,-0.23281348,1.805766,-2.8909111,2.6
0,6100,3.050000,4,1.565246,0.17579242,0.18322926,0.99609864,-0.0051696137,0.0053262114,-0.0070437994,-0.096546582,0.13033901,-0.10102003,0.63358041,-0.67739348,0.37378327,1.1877117,-0.81880597,2.6
0,6100,3.050000,5,1.565246,0.1886836,0.5521687,1.4021478,-0.00061878982,-0.0082804492,0.019981633,0.025335793,-0.12473934,0.38274638,0.32790389,-0.35104188,-0.8770682,2.6405208,-0.81946427,2.6
0,6100,3.050000,6,1.565246,0.6230401,0.22373678,1.3584189,-0.0012307216,-0.012658751,0.00044851621,-0.030648471,-0.21112695,-0.0145611,0.79485647,0.24686995,-0.55430896,2.1583288,0.30113867,2.6
0,6100,3.050000,7,1.565246,0.60772971,0.62117032,0.94467625,-0.00080838262,-0.0039228408,0.0067689242,-0.036677269,-0.055453677,0.21818371,0.65132145,0.42259474,-0.63023333,2.25265,0.57554995,2.6
0,6100,3.050000,8,1.565246,0.20723136,0.96011577,0.22895256,-0.0054758463,-0.0064393209,-0.00032808258,-0.16434753,-0.18186316,0.01134545,-0.78637893,-0.23986091,0.56927579,0.96517162,-2.8455372,2.6
0,6100,3.050000,9,1.565246,0.19620902,1.3963093,0.60226319,0.0022905424,0.019147124,-0.0083064888,0.055011115,0.32555539,-0.16726137,-0.34693624,-0.77254246,-0.53180203,2.1315233,-1.992888,2.6
0,6100,3.050000,10,1.565246,0.54881455,1.012973,0.57989012,0.0032056148,-0.0033831856,0.0044981408,0.097882471,-0.12036545,0.038127483,0.73502841,0.22608969,-0.63923133,2.2642946,0.29840833,2.6
0,6100,3.050000,11,1.565246,0.55382106,1.3643757,0.18909724,0.0081795806,0.0013748366,-0.0035143199,0.28085032,0.055389855,-0.1036628,0.51209617,-0.45150635,-0.73068429,2.39012,-0.7226024,2.6
0,6100,3.050000,12,1.565246,0.21027707,1.0287767,0.95812094,-0.0028405714,-0.0049220594,-0.015494686,-0.10436503,-0.1689677,-0.1912121,0.87857491,0.21812199,0.42488696,1.1319593,0.24334783,2.6
0,6100,3.050000,13,1.565246,0.22218773,1.3659075,1.4025621,-0.0038817893,0.012268388,-0.0037354695,-0.072753017,0.23773719,-0.11884946,-0.63289746,0.61037522,0.47632226,1.0743291,2.3743078,2.6
