step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
1100,0.5499999999999948,109.1588287099195,-19.20416795822439,71.24636455756334,52.04219659933895,-0.6001302486945121,1.606989857155567,4.149916963360581,1.179209597875882,5.953515489192241e-05,0.8930068353990764,0.09123082303628492,0.17776851788830533,0.04845042421172805,-0.023666515538706655,0.008135221831122757,-0.003103978221740427,0.005949439806655664,-0.01697851517782209,-0.008619386764936612,0.5403425580627301,0.5253266956282113,0.0,-0.6001302486945121,0,0.9761883098632976
1200,0.5999999999999893,119.00096806144572,-14.101679447913739,77.67018438553714,63.5685049376234,-0.44067748274730434,1.604957290211525,4.134190069334521,1.183695435263444,0.00021939074083685413,0.8971857283679555,0.09328050592102255,0.16995161427854152,0.047778397171744924,-0.023276126157541245,0.007048204865237083,0.006648446552568938,-0.005253836988407552,-0.018109838522073013,-0.004357540636992835,0.5419244541138857,0.5234011666893365,0.0,-0.44067748274730434,1,0.9118788692317411
1300,0.6499999999999838,131.16987927651067,-31.411979830699238,85.6126540413915,54.200674210692256,-0.9816243697093512,1.6121337136718612,4.189895397046107,1.1679580156184222,0.00045959749158818315,0.9043345410271699,0.10061822034839737,0.16260250391726416,0.06309232183049059,-0.021807456757596235,0.007483644286974996,0.016400202156798195,-0.009892816249001927,-0.016764373000387668,-0.002818059570755097,0.5447672818960567,0.5274800519695653,0.0,-0.9816243697093512,2,0.8235988715970071
1400,0.6999999999999783,124.16344538199883,-39.61669387283382,81.03965752433105,41.42296365149723,-1.238021683526057,1.6171944603296518,4.2294776563016745,1.1570274892672674,0.0007993003402460147,0.9087895342802288,0.11460281304731282,0.14867885217251722,0.0795403082783798,-0.018700588636534368,0.004317198832900149,0.022589902184267815,-0.010709429226714065,-0.014543169402158418,0.011052862828950205,0.5465762632773419,0.5311604150175848,0.0,-1.238021683526057,3,0.7302994609854663
1500,0.7499999999999728,132.59081501395022,-45.97042494254765,86.54007793150592,40.56965298895827,-1.4365757794546141,1.621993030699156,4.267238841970101,1.1467888474982673,0.0012134481354842451,0.9082694184377286,0.12344122922787547,0.12766223177180935,0.08570108665278733,-0.016528787537250178,-0.0034032600866773584,0.026281354920965963,-0.01436293307757292,-0.01768103026563187,0.017786702599845428,0.5466634299590536,0.5351274266248217,0.0,-1.4365757794546141,4,0.6460648142187613
1600,0.7999999999999673,128.10344274488074,-53.89097360881624,83.61123594624402,29.720262337427783,-1.6840929252755075,1.6275186121249627,4.310998695513321,1.135148084984525,0.00163383764438948,0.9054727244561628,0.13208131150317085,0.11201064953966976,0.0815240496100898,-0.014249834479073386,-0.010286076884498617,0.028728134377095947,-0.02193745524052918,-0.017914107685018815,0.011148889611874345,0.5458245053663597,0.5380364656742972,0.0,-1.6840929252755075,5,0.5684937445443252
1700,0.8499999999999618,124.12907200099198,-59.887459237003895,81.01722252330335,21.12976328629945,-1.8714831011563717,1.63374274010731,4.360647810628194,1.1222236066979594,0.002046629733478324,0.9022261680428525,0.13591747826723327,0.09776232842678872,0.07726243949878264,-0.01318858229829798,-0.012006088405875713,0.017861995102376477,-0.02575163717480224,-0.0072313265018489,0.01795491224144181,0.5450355429095068,0.5385202059681359,0.0,-1.8714831011563717,6,0.49361834622657796
1800,0.8999999999999563,123.06579597578866,-59.785217685500356,80.32323787531611,20.538020189815754,-1.8682880526718861,1.6366119956588003,4.383663306263478,1.1163316093621092,0.002464488514639943,0.8985283218796866,0.13338620571853335,0.07957542347266337,0.07062281666818813,-0.013892253031239324,-0.010233183993609635,0.0001295345305183167,-0.026279678043806085,-0.004019670974042118,0.02979595887437275,0.5442386730874332,0.5365265009292979,0.0,-1.8682880526718861,7,0.42703190901713023
1900,0.9499999999999508,129.81589863387805,-65.05960942512957,84.72893075845633,19.669321333326764,-2.033112794535299,1.64407092237621,4.4438730621864,1.1012065027741937,0.0028579899529756246,0.8956846373079176,0.13031323296053562,0.11079655371930493,0.06415865779021777,-0.014728734261030368,-0.00924826132007668,-0.006844618798617279,-0.022533990385060338,-0.009100970668435068,0.024698000216653634,0.5440773242389939,0.536963965172113,0.0,-2.033112794535299,8,0.3746510569949114
2000,0.9999999999999453,125.11922118757735,-69.04363241779265,81.66347835755477,12.619845939762115,-2.1576135130560203,1.6485958349694638,4.480666239157726,1.0921638998272352,0.0032442313622618145,0.8928636184700487,0.12626957889164006,0.13321711131677222,0.040095859769181716,-0.015799735170609428,-0.006524805602381262,-0.005239390772195993,-0.012962925363751399,-0.01706913151977199,0.00964606782377931,0.5440726626847376,0.5388525216368584,0.0,-2.1576135130560203,9,0.32914683002293765
2100,1.0499999999999399,120.08993290986872,-71.42769503953514,78.38093575121268,6.953240711677537,-2.232115469985473,1.6513772214084512,4.503382847322853,1.0866546504017234,0.0035955396049078235,0.8884250837633577,0.12074378060222442,0.15123486788523852,0.0,-0.01720871168607165,-0.0026266825354933597,-9.266821011646729e-05,-0.008867639262277372,-0.011335624144852603,-0.001650326201985152,0.5433098958231695,0.5399857999158975,0.0,-2.232115469985473,10,0.30257447101989443
2200,1.0999999999999344,112.26309706707323,-74.53831488626656,73.27247492968924,-1.2658399565773237,-2.32932234019583,1.6569860830663494,4.549425760917903,1.0756570544840331,0.003978554908141475,0.8798076383078275,0.12580469394904673,0.15810569110757824,0.026844592167390796,-0.015920700882979807,-0.002052402366116182,0.004323792771801236,-0.005560942968724676,-0.0018772806192573076,-0.006507829091101717,0.5408645660489311,0.5408621981628929,0.0,-2.32932234019583,11,0.27953352012335564
2300,1.1499999999999289,112.67529572048652,-76.51919460842964,73.54151093784633,-2.9776836705833176,-2.3912248315134264,1.6599776787480691,4.574111477155753,1.069851912884654,0.004378884244546933,0.8680082026222838,0.1349885952340171,0.16755574265661452,0.03536026770090786,-0.013448339774706275,-0.0011366047736499558,0.007502091191279207,-0.0017388587988902272,-0.009376707562852471,-0.013549756868136087,0.5370733222042944,0.5392769884751527,0.0,-2.3912248315134264,12,0.2655600504375732
2400,1.1999999999999234,119.6709296285335,-82.1965586988872,78.10745846233341,-4.08910023655379,-2.568642459340225,1.6684636488045057,4.644620632305022,1.0536106823334108,0.004803650893764163,0.8537394896940524,0.14820135093359518,0.16710093103456727,0.03912937061821983,-0.009585919567956005,-0.00169173048303243,0.007741186744436034,0.0014454591254320001,-0.014191021736466877,-0.020148933265571052,0.5320639722546022,0.537543955104089,0.0,-2.568642459340225,13,0.26026040015611085
2500,1.2499999999999178,110.93149565008288,-81.77509435346929,72.40335823870333,-9.371736114765952,-2.555471698545915,1.673169603160926,4.684032482994401,1.0447455117677462,0.005232905074221536,0.8387014485306857,0.15508986125233065,0.16474515760159347,0.03480250219387092,-0.00742930057985323,-0.001482299927789097,0.004305436502509023,0.002961848451217318,-0.011147509894685331,-0.009797634890021013,0.5267525978836235,0.5367063031204049,0.0,-2.555471698545915,14,0.2619503951781489
2600,1.2999999999999123,123.52492059462524,-79.03628281770852,80.62290177202125,1.5866189543127263,-2.4698838380533914,1.6727018430018767,4.680105102344726,1.045622225691264,0.005680932992453044,0.8234287390637238,0.15406807517068036,0.15756070798886107,0.006995951264639903,-0.007755383962014545,-0.003232751641381131,-0.00706538138815752,-0.004918264379271761,0.00029366000458329994,-0.0012841574315601593,0.521464627034534,0.5343313276943403,0.0,-2.4698838380533914,15,0.25079378479946823
2700,1.3499999999999068,140.73941527203266,-80.72952287352291,91.85854966194177,11.129026788418855,-2.522797589797591,1.67499094767711,4.699345683141547,1.041341123539418,0.006118616105788331,0.808125284894219,0.14681113874969828,0.13830618524866606,0.05780067860843108,-0.01000927952414642,-0.009061366988348545,-0.01729306708274077,-0.012213006512073358,0.015158534300294279,0.004886976385276576,0.5166944678106049,0.5344713353383006,0.0,-2.522797589797591,16,0.24202864781649347
2800,1.3999999999999013,127.50352842852658,-80.82673633272407,83.21968068139364,2.392944348669573,-2.525835510397627,1.681439247872176,4.753828842594162,1.0294064165154684,0.0065212466423273645,0.7927148708921736,0.14206997451031617,0.12286657306484178,0.05690350961650499,-0.011423094031110317,-0.013186135043552046,-0.018696064351348306,-0.013925600050995537,0.014492916488251562,0.004935139951802496,0.5121759395293939,0.5363083222358276,0.0,-2.525835510397627,17,0.2210370469944436
2900,1.4499999999998958,129.18842464523323,-79.09538826520202,84.31938770020147,5.223999434999456,-2.471730883287563,1.6839192311817364,4.774894390743053,1.024864952630126,0.0069131220446305,0.7769656682634307,0.13757810609767201,0.10745003209477108,0.0,-0.012719757132983442,-0.01805387444288475,-0.011364950661302877,-0.012892793723374034,-0.002331868024104627,-0.002764140949067535,0.5076654606828314,0.5366715186084683,0.0,-2.471730883287563,18,0.18667170498862473
