step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
6100,3.050000000000186,252.08240467595283,-1020.7647843414719,164.53048383120003,-856.2343005102719,-31.898899510670997,1.4977446561850105,3.3597993073676014,1.2034882678458925,0.00020035584415390578,0.8435165891340397,0.3730339615279936,0.20376566163087084,0.14770744120087875,0.11138512150014825,0.01951980761651809,-0.02163904561521711,-0.014954805116383552,-0.0021456868448350925,-0.01909233239200964,0.5262947168897382,0.4864901388906957,0.0,-31.898899510670997,0,0.9461616816505084
6200,3.1000000000002026,252.9033638481677,-1009.9102876206741,165.06631182754037,-844.8439757931337,-31.559696488146066,1.5129467768831557,3.4631471997299856,1.16757354381267,0.0007472284269694552,0.8456412129600863,0.35402215276384924,0.17916366982233628,0.13162959407531793,0.09711657770069701,0.006841522517900829,-0.011973920691232615,-0.01125545422458833,-0.012242909307885207,-0.018217940174517958,0.5265218480279522,0.48983463350891765,0.0,-31.559696488146066,1,0.809045522852789
6300,3.1500000000002193,234.3679435813996,-1000.4786588522045,152.9685152025588,-847.5101436496457,-31.26495808913139,1.515160990558955,3.478374521468333,1.1624622431476361,0.0014433308806240201,0.8441932918004317,0.3268725238332709,0.18004101887782645,0.12022621337552965,0.07803421608994297,0.005183263552833094,0.0035085746529342292,-0.01462717810404211,-0.019250486540807667,-0.009021198144112447,0.5255213134710883,0.4890749099635879,0.0,-31.26495808913139,2,0.647216741415661
6400,3.200000000000236,242.62539847696044,-999.3162330149851,158.35803475640228,-840.9581982585828,-31.228632281718284,1.5094615890578598,3.439269420661532,1.1756796441832447,0.0021061981867282584,0.840827381279836,0.30291559025274906,0.1983173687995184,0.13645164218254396,0.062459721102628506,0.010452174789602482,0.024073770248223436,-0.011357309199206909,0.014728637785423639,-0.020658331142971123,0.5229746687796342,0.48662122619365467,0.0,-31.228632281718284,3,0.5034043381805561
6500,3.2500000000002527,242.71360286639577,-988.0466633663052,158.4156044661505,-829.6310589001547,-30.876458230197038,1.511592837469593,3.4538579833888514,1.1707137549316051,0.0026415080905930815,0.8373038415514635,0.2943438914223334,0.21616467048193194,0.15778395798325942,0.05717504662466312,0.017104238161563704,0.028790657499712834,0.007546618976862076,0.03875810311837612,-0.005088344553323678,0.5206538783307992,0.48470466684445146,0.0,-30.876458230197038,4,0.40326771711958165
6600,3.3000000000002694,258.5329835867469,-989.3955382589118,168.74068196283318,-820.6548562960786,-30.918610570590992,1.525831676410536,3.552383792393874,1.1382438624428166,0.0029580401996001787,0.8407053574994945,0.2945499469932664,0.19692369142159102,0.14424425654686698,0.05730030583095334,0.0081674493861427,0.005232593839331755,0.012166744637115345,0.021862348199932168,0.020108991387074986,0.5209972018985043,0.48929201453683097,0.0,-30.918610570590992,5,0.34649149300957105
6700,3.350000000000286,253.26715435152477,-999.1048203475667,165.30375254700462,-833.8010678005621,-31.22202563586146,1.51157768719029,3.4537541332235797,1.1707489568632556,0.003143460500708247,0.8479428816293476,0.3075484766716682,0.1385104824624469,0.11183543256219385,0.06537916439025925,-0.008419598201655176,-0.011198931852648631,-0.013067022360486113,0.0047850940740368,0.004878725393942006,0.5236577058892491,0.484407840223254,0.0,-31.22202563586146,6,0.30505516392691767
6800,3.400000000000303,223.04424929744602,-990.3113101258571,145.57770622606378,-844.7336038997933,-30.947228441433033,1.5111487511810686,3.4508147821404096,1.1717461828610944,0.003143643233309767,0.8607409984103026,0.32089363727222114,0.09450467770226456,0.12180465347710341,0.07403636277862795,-0.01535194753608702,-0.002851626392817617,-0.012062456699802989,-0.0021641406747220622,0.01498187887343548,0.5292423559233059,0.48676567330903864,0.0,-30.947228441433033,7,0.25303170483101317
6900,3.4500000000003195,250.37093081533615,-1001.4320881447619,163.41342997449118,-838.0186581702708,-31.29475275452381,1.5070917740154814,3.4230961509370146,1.1812344352719482,0.002992169024352116,0.8770560744907404,0.31538133827196824,0.0788397750624386,0.12681500445090704,0.07041588493441825,-0.023187364800636538,0.004198938406290956,-0.0072423542575808355,-0.00822320811494019,0.02187744878259223,0.5355907902654274,0.4893924500157376,0.0,-31.29475275452381,8,0.18476219382930908
7000,3.500000000000336,283.8569622839817,-1019.7664161785862,185.26927098888237,-834.4971451897038,-31.867700505580817,1.501530781323701,3.3853433223336236,1.1944073802081516,0.002958775476174353,0.8910231578500801,0.2891645524588679,0.07062603839942946,0.105109914577535,0.05405536866966438,-0.026436554944897696,-0.0017854340898482255,-0.008646471705537222,-0.0069573731134558465,0.01223319618531586,0.5405229830219023,0.4922119621257848,0.0,-31.867700505580817,9,0.1445089018834891
