step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
1100,0.5499999999999948,119.63893922749308,-51.34592524150003,78.08657879733695,26.74065355583693,-1.6045601637968758,1.6270845321907794,4.30755022071966,0.9386957415572793,8.538626149302547e-05,0.7448993657169378,0.10770941517826528,0.18569298848714663,0.05909661411445141,-0.02028251032976111,0.012322812883762276,0.008631645914991992,-0.02357576558067267,-0.009938098674772527,-0.0006566479399783097,0.4888959277186699,0.5148596384454527,0.0,-1.6045601637968758,0,0.9679985643720911
1200,0.5999999999999893,125.60137463707566,-51.17799982221413,81.97817283386625,30.80017301165212,-1.5993124944441917,1.630838309049409,4.33743234703574,0.9322287300912098,0.0003143726178423212,0.7328147983896607,0.11000666275295269,0.1614790592433717,0.04654957645300507,-0.01976622879995678,0.00674413951425732,0.006257038893467665,-0.013629916825826132,-0.011643194725814661,-0.0004029468475656493,0.48551211809261274,0.5150643110214641,0.0,-1.5993124944441917,1,0.8786040597033663
1300,0.6499999999999838,137.98118961126832,-53.36551362813998,90.05829627628975,36.69278264814977,-1.6676723008793743,1.6316975948473968,4.344292116282544,0.9307567126019396,0.00066681018159212,0.7247839295143071,0.11559718110784528,0.12835615257732408,0.026340956929039736,-0.01846430113024002,-0.001334951031412858,0.0025887086461951355,-0.003056670832937831,0.0006764112402135234,0.0008979561852165007,0.48418487599716514,0.5151562558812011,0.0,-1.6676723008793743,2,0.7486971531262778
1400,0.6999999999999783,139.27296956357202,-55.03656360672403,90.90142208203245,35.864858475308424,-1.719892612710126,1.6359662625996025,4.378476567534665,0.9234899368230207,0.0011159333068389548,0.7185892411595528,0.11603150004159767,0.11960294198297385,0.06563967890022929,-0.018360455223841776,-0.005600539631281487,-0.006457643168962959,-0.0022359317924182218,0.011175608506884665,0.014675796169866574,0.48257126912203957,0.5159407454352625,0.0,-1.719892612710126,3,0.5905079735305333
1500,0.7499999999999728,161.32050310817377,-58.58421732930083,105.29152346987429,46.707306140573465,-1.8307567915406509,1.6386587799765397,4.400130811908086,0.9189451908545049,0.0016352970278361017,0.7161702895245323,0.11467552602617866,0.1317305486711874,0.06967826536161964,-0.01868337933483274,-0.005041525037818822,-0.013877997408676837,0.0002315854490109468,0.002000774197171513,0.02689800433664324,0.48076167205697745,0.5168524501532515,0.0,-1.8307567915406509,4,0.4297503953338987
1600,0.7999999999999673,176.5932478292488,-66.07230037988711,115.25981967689867,49.18751929701156,-2.064759386871472,1.6458720301795073,4.458494084817416,0.9069158715502147,0.002256121767245464,0.710613878372744,0.11646804503415972,0.12710765221050532,0.04615053513213488,-0.018255684630628075,-0.005252373148323218,-0.013105285722899585,0.001062419060353268,-0.008575357893650435,0.011716812297541226,0.4796949719004361,0.5191025429214303,0.0,-2.064759386871472,5,0.298793174089827
1700,0.8499999999999618,175.87136549158322,-64.0247284246384,114.78865767557613,50.763929250937736,-2.00077276326995,1.6435907176309834,4.439980263522189,0.9106975276340564,0.0029612400972786976,0.7030708046587376,0.12122176565533854,0.1148542430291998,0.02322842425178687,-0.017089324935640974,-0.004628342545769797,-0.007588552131017726,-0.004486819205182708,0.0032373581593260026,-7.282646007752879e-05,0.4784884869836029,0.5160303414342906,0.0,-2.00077276326995,6,0.20292770344358038
1800,0.8999999999999563,169.02551004804351,-62.789117919072396,110.32046835545304,47.53135043638065,-1.9621599349710124,1.6519798120774862,4.508314525199569,0.8968937340401448,0.0037695724587068443,0.6908622278828008,0.12509221104998514,0.13829241831485245,0.053824433316709025,-0.016105227080904238,0.0036436431673081415,0.0030251982892843593,-2.7786408877737296e-06,0.010713576274596638,-0.00550348771410556,0.4765024698199045,0.5151213382614234,0.0,-1.9621599349710124,7,0.13993893121556114
1900,0.9499999999999508,163.51730361405384,-56.47103680835653,106.72534290117376,50.25430609281723,-1.7647199002611416,1.6533671754931634,4.519682566477481,0.8946378399943787,0.004627626631300834,0.6753498560089837,0.12617919833529653,0.1839323716089875,0.08650235366869012,-0.01582328764641229,0.014322856749612964,0.011110738131860382,0.008674513228133124,0.010787835031732407,-0.013301087230462008,0.47346714480242724,0.512641964987335,0.0,-1.7647199002611416,8,0.09593369630823155
2000,0.9999999999999453,147.55230310289244,-51.12745630627114,96.30522150538116,45.17776519911001,-1.5977330095709732,1.6587447050459065,4.56392657300725,0.8859649654857058,0.005468074344635715,0.6589737168351598,0.13102400172101408,0.22166516734186875,0.08573190545906893,-0.014536991972141118,0.023558980225164176,0.0003368553413092422,0.010774663437523653,0.009429258677859336,-0.010433065324431183,0.4660993171387674,0.5131728436685553,0.0,-1.5977330095709732,9,0.06902538220571372
