step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
6100,3.050000000000186,213.63384935960346,-518.8975989634963,142.1000523551893,-376.797546608307,-16.21554996760926,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.00011886862536286489,0.42202881285512933,0.0621509251720256,0.12884670957730174,0.06172822059028679,-0.028270722580914873,-0.01374424669470576,0.0074923565341212415,-0.012494732365769286,0.0038785745585910537,0.011491308210746341,0.25844808326257757,0.5447715444580383,0.11676070896544782,-16.332310676574707,0,0.9666625241827524
6200,3.1000000000002026,219.40852115196898,-523.9202457221925,145.94111577509668,-377.97912994709577,-16.372507678818515,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.00044620142316131216,0.4249388227943807,0.07384550814614681,0.16343150698540596,0.05461592430954019,-0.026628997085561153,-0.002337580709744826,0.008666614010138244,-0.01813159839769812,-0.016271324247695684,0.009230781118974291,0.2591507387898974,0.5466582302985739,0.05013729398269373,-16.42264497280121,1,0.8830134705170991
6300,3.1500000000002193,218.11726216749457,-532.831510394137,145.08222581057115,-387.7492845835659,-16.65098469981678,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.0009504763105486751,0.42880867017635527,0.09026805967752144,0.19859997081762049,0.08047869935638642,-0.023846892802121735,0.012883278638976486,0.01715539114873506,-0.022338820494309967,-0.006036060130565496,0.008822256512862248,0.2615279735420314,0.5493819981436162,0.12318814268581156,-16.774172842502594,2,0.7688889958966225
6400,3.200000000000236,228.47939711487552,-543.588334067614,151.97467250358477,-391.61366156402926,-16.98713543961294,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.0016151146199448784,0.43158151736114103,0.11142463046910599,0.2164448793289665,0.11377523562051221,-0.019442117909494898,0.024924829266624246,0.028822212240214855,-0.019426777336448937,0.02145381742110326,0.0024679665150760632,0.2584405216942126,0.5524087793782821,0.0905314986919621,-17.0776669383049,3,0.6416634212909738
6500,3.2500000000002527,240.46552923418486,-537.6327509730969,159.9473322988173,-377.6854186742796,-16.80102346790928,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.0024323634870045095,0.43054754852645216,0.1141523204957356,0.22497134105017558,0.1255656992254348,-0.01880696539400141,0.032914138848441535,0.03506023862059727,-0.011387845706191242,0.026626091462795348,-0.0029567698998827015,0.25716135966703557,0.5545631788428398,0.12978754984241683,-16.930811017751694,4,0.5092802641442299
6600,3.3000000000002694,250.57011926528932,-531.2674019439931,166.66847118552397,-364.5989307584692,-16.602106310749786,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.003352722159010261,0.4249515615784643,0.09338984748996229,0.22183463632435507,0.10930297400223912,-0.02325505691437583,0.03435697480461094,0.03319142421098713,-0.0022474009289970226,0.004134441738806913,-0.009308750286022294,0.25605930464670196,0.5536057121041549,0.033330998992189484,-16.635437309741974,5,0.3803609414210476
6700,3.350000000000286,234.8438853752526,-519.2815871376683,156.20805648147316,-363.0735306561952,-16.227549598052136,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.00427620148060941,0.41487076418727853,0.06474748154526506,0.21795880225488154,0.10957898226607693,-0.02793059471849865,0.03335227211683393,0.0334004311169557,0.005292616893025604,-0.013249519493950408,-0.005740878663195185,0.25627066890367023,0.5512653351390094,0.18945287124908797,-16.417002469301224,6,0.2580122220954377
6800,3.400000000000303,259.221435776313,-522.7171789213918,172.42295500371537,-350.2942239176764,-16.334911841293493,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.005037148989497522,0.41003492304123274,0.0396262854446547,0.2357450099637296,0.10908465372952683,-0.03063716903417678,0.03783859708781794,0.03355817298792669,-0.0027894471321099953,-0.012515742757619661,-0.012363609075400236,0.25605740437395685,0.5515364055274391,0.1666803477800674,-16.501592189073563,7,0.15706597852722154
6900,3.4500000000003195,268.62686342244683,-527.12211629607,178.67904112932206,-348.4430751667479,-16.472566134252187,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.0057559013305807285,0.40802741949545185,0.027087444377772,0.25147340511454513,0.11460487608626203,-0.03150066617505147,0.040403641318384684,0.02373397086712204,-0.012825876688449818,0.014668053550978121,-0.00755409548570126,0.25372819269251035,0.5508066957877163,0.01508837290800133,-16.487654507160187,8,0.08587610127727976
7000,3.500000000000336,266.4879281155973,-522.638561472658,177.2563133172324,-345.3822481554256,-16.332455046020563,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.006583556487522518,0.40334307251967133,0.07051798902447215,0.26503766629138786,0.11710197431630971,-0.027124865263426508,0.04305737916225991,0.016321156317689538,-0.00728434532892129,0.022898698852716507,-0.0007980574105184945,0.25400116444657295,0.5489619192217475,0.03586467400926635,-16.36831972002983,9,0.04682756957535708
7100,3.550000000000353,245.41669148876122,-510.1983664766145,163.2406325773235,-346.95773389929104,-15.943698952394204,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.0074525569128026554,0.3960086546367004,0.11973695658920183,0.2740162958265075,0.11157965572543391,-0.017458643846973522,0.0463494971257425,0.01715777710861551,-0.002040682534234864,0.0023977254395576835,0.008795117756922443,0.2542668888928626,0.5452817324493509,0.1334887347643801,-16.077187687158585,10,0.03420265519207091
7200,3.6000000000003696,222.72572983459798,-501.02207318023534,148.14758038212258,-352.8744927981128,-15.656939786882354,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.008318176537889892,0.383761064796068,0.1538165497767568,0.28398957739599734,0.1191411514516188,-0.007835322853960778,0.05495804517921229,0.028950885023364948,-0.004875031705635234,0.0012587536127281742,-0.006622472565135663,0.25328076037035985,0.5425039863848689,0.08495830276493788,-15.741898089647293,11,0.0376503546070015
7300,3.6500000000003863,221.60172526720882,-497.3984979460665,147.3999408654811,-349.99855708058544,-15.543703060814579,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.009007847627028675,0.37128446883838545,0.16957285050700383,0.29957647248727914,0.13363866377382172,-0.0025755338022496297,0.07285837961077278,0.02548887858011849,-0.010540698775712771,0.008808496540624136,-0.00573303415861437,0.25525438836418546,0.5415689285649452,0.1434538846524167,-15.687156945466995,12,0.06273665878566831
7400,3.700000000000403,248.64282816653173,-495.5904048011831,165.38652000195404,-330.20388479922906,-15.487200150036973,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.009552430456267625,0.3618097789835205,0.17664766822806713,0.3153099325041683,0.13593289211379778,-4.707231957339926e-05,0.0905674097180157,0.007386203055641928,-0.008228067201519786,0.0040147739629574275,0.00889812021391324,0.25797963369987376,0.5416072231774551,0.28396158502085794,-15.77116173505783,13,0.08339440727321554
7500,3.7500000000004197,248.1997717876919,-503.4235331242471,165.09181794599164,-338.3317151782555,-15.731985410132722,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.009928194999436424,0.3555198463493729,0.16940434675532273,0.3196448256970277,0.13652601090071542,-0.0026344952778347267,0.09696218175832705,0.0013399600121877814,-0.004115446863384723,0.002935951042331156,0.010598017101927615,0.25987294885819956,0.5414040460550857,0.2046406665655815,-15.936626076698303,14,0.09620322078170003
7600,3.8000000000004364,289.70104846462647,-512.7183262346538,192.69668302836345,-320.0216432062903,-16.02244769483293,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.010240965128493554,0.35176187411416154,0.14664072494281258,0.30921446905596534,0.12821716925873847,-0.010060900942705939,0.09495405135253096,0.002179495129753859,-0.012363927334876202,-0.0018431426210171464,0.0015043084740591136,0.2625379157421568,0.542098894030757,0.13882417530332916,-16.16127187013626,15,0.09170037994308143
7700,3.850000000000453,303.0637429765339,-521.6006864464188,201.5849729479641,-320.01571349845466,-16.300021451450586,1.7667962453670558,5.5151763405201715,1.0419000000000003,0.010635184464278672,0.3482994814265184,0.1220140292631592,0.28285927241157033,0.12186129894149626,-0.016890401716613095,0.07770499280768306,0.0021301821329849317,-0.02701436265602461,-0.012163147982876966,0.009265882137584327,0.258354548600245,0.5437791566071721,0.057045388482809684,-16.357066839933395,16,0.06856663161963371
