step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
6100,3.050000000000186,243.9223888493763,-1083.0635814384473,162.24668670251194,-920.8168947359353,-33.84573691995148,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.0003266996560889851,0.3647014179107822,0.05653880759460797,0.19636420438808797,0.064297034322618,-0.02895831043693409,0.009327837676854604,0.0009048681530117749,0.014571945906237126,-0.01973841740587904,-0.009350339646403824,0.2538316807512845,0.3903346314904785,0.007493079590761509,-33.853229999542236,0,0.8715626412757755
6200,3.1000000000002026,258.07566865439935,-1089.2118072509766,171.6608399713886,-917.5509672795879,-34.03786897659302,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.0011300637132812198,0.37426659125557016,0.0735692030721169,0.1523321548176404,0.04185611696535765,-0.026671042435441165,-0.006075934880238394,-0.00431842774634773,0.010511607164506201,-0.01061355889166274,-0.002288405418058762,0.25352797128762156,0.38938637431605694,0.0,-34.03786897659302,1,0.690307256294284
6300,3.1500000000002193,275.2655668463053,-1096.9983978271484,183.09482124529487,-913.9035765818536,-34.28119993209839,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.002257626835135776,0.37925215293965264,0.057348301432937315,0.15351257104160093,0.04047171617669267,-0.02886314562349106,-0.004812163540937282,0.0034522600632510094,0.005300562142338596,-0.01104097685290612,0.0010749366561309984,0.2590166189306511,0.3862618389163955,0.0,-34.28119993209839,2,0.6248248877309006
6400,3.200000000000236,231.68525279900658,-1075.6611070001104,154.1070698831376,-921.5540371169728,-33.61440959375345,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.0036103328457463,0.3645149095063131,0.08319623150830814,0.20180371285991816,0.07304550288525326,-0.025113173742261675,0.01620974994685526,-0.000145832787142344,0.008967121449845855,-0.010763060652904794,0.006837001553856137,0.2546834873816219,0.38187446273279163,0.09872779447592042,-33.71313738822937,3,0.6027117459012535
6500,3.2500000000002527,246.08778730422915,-1077.8833387034256,163.68701666298787,-914.1963220404377,-33.68385433448205,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.004576999957082432,0.3553549736478616,0.06788353258731025,0.21035480112239652,0.09801814205854535,-0.027501239745514928,0.01793398889301792,0.010828594330095635,-0.009346106073531014,0.028882753812541514,-0.023412075456175217,0.25492177256224446,0.38058725220224476,0.0005543302213220913,-33.68440866470337,4,0.5438894012297883
6600,3.3000000000002694,280.33169103313185,-1106.7805280529878,186.46458925885605,-920.3159387941319,-34.58689150165587,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.005153094551850284,0.3624631756445785,0.04607802904589661,0.16567459491423717,0.04598554360876316,-0.03006638992438247,-0.0025868003932202773,0.010428979871301421,-0.009199759151097683,0.002259041454659329,-0.0076774445587191684,0.2566346601402951,0.38177973818042465,0.001940876731584329,-34.58883237838745,5,0.5732065269438931
6700,3.350000000000286,233.06823840552866,-1079.6048889160156,155.0269724532704,-924.5779164627452,-33.73765277862549,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.005667321936733853,0.36756443737961114,0.053488560932557765,0.14461591750287972,0.07987553390182525,-0.029304747199343548,-0.008889000046879049,-0.010734344963127296,0.02300797098293288,0.0029374885715348167,0.012335145942142104,0.2588205448114308,0.3815640462546942,0.0,-33.73765277862549,6,0.6575431606087794
6800,3.400000000000303,280.8613809178746,-1093.9314274759763,186.81691619852216,-907.1145112774541,-34.18535710862426,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.005973397865063525,0.3877402457276257,0.06116286163142434,0.10891858217730618,0.039455641403000986,-0.028396494820186056,-0.018183607344187346,-0.01040836751923884,0.009340485831133234,-0.004646575678724124,-0.002937587155010232,0.2569304744273799,0.3820958630210738,0.014503702609262231,-34.19986081123352,7,0.6227627678415986
6900,3.4500000000003195,225.33119888210277,-1052.1557646365754,149.88062638194936,-902.2751382546261,-32.87986764489298,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.006106703169132261,0.4112077162163073,0.06106427937638746,0.10076504133946776,0.06592302742573747,-0.028408932938572905,-0.021253740278815925,0.010339516498777014,0.0157355567710702,-0.0024855934256437346,-0.010439799187835394,0.25562673272594183,0.38474158540828196,0.003988890064902356,-32.883856534957886,8,0.5060228933512387
7000,3.500000000000336,255.23655261809273,-1053.6117324829102,169.77238203922576,-883.8393504436845,-32.92536664009094,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.006331299620930606,0.4191557945894653,0.03857633174580777,0.09920183688228179,0.05596845331832411,-0.030721926842877303,-0.011306479951826045,0.011039162930130469,0.00775564367094208,-0.01832426363972264,-0.0037564471746866696,0.2549482511223392,0.3880195729989698,0.0,-32.92536664009094,9,0.4537091180516085
7100,3.550000000000353,250.67288620930864,-1031.6396826633174,166.73682733867716,-864.9028553246403,-32.23874008322867,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.006735777327170217,0.4082762071213347,0.046498663153651525,0.07682162936579652,0.06042804758953018,-0.03002619285153368,-0.022086841678065766,0.021909293612895144,-0.0061228084717633675,-0.0062960243856243665,-0.008925313319695042,0.2534483499260533,0.3892017127226204,0.17820036743966597,-32.416940450668335,10,0.30455868750046866
7200,3.6000000000003696,272.45638217628266,-1041.124163173507,181.2262723712179,-859.8978908022891,-32.53513009917209,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.006966881815869381,0.3909830412888374,0.07133359661781348,0.10077986439328546,0.08713179676016863,-0.027005437928843426,-0.019566697390771038,0.030375275080726346,-0.024963665008323217,0.006902772547653032,0.008273652411552628,0.24983430508303545,0.3904722240193491,0.30147950280239466,-32.83660960197449,11,0.24228787724850354
7300,3.6500000000003863,304.4434045006026,-1055.5316204742978,202.50266448135304,-853.0289559929448,-32.98536313982181,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.007218494041921893,0.36790675439873916,0.12399745304962537,0.13751504943274484,0.05537479413388708,-0.016386716528728716,-0.010339912782279163,0.0052036992441885765,0.013194507708033678,-0.0001931339611825076,-0.008255870563661706,0.24530131588139076,0.39029822956056004,0.04473672895260582,-33.030099868774414,12,0.336608718841249
7400,3.700000000000403,277.4893132958337,-1029.424850510572,184.57396178341597,-844.8508887271561,-32.169526578455375,1.2829447795012168,2.1116595051697358,1.1334000000000002,0.007726175334215348,0.345357118754885,0.13489787966509778,0.08797697357627515,0.06823220840366058,-0.013473612450953089,-0.017980504021155967,-0.01768918405121254,0.0252603944942728,0.0026734110875706193,-0.01799177267568389,0.24875581690663937,0.3875135104839958,0.04743766638715516,-32.21696424484253,13,0.36049390963187206
