step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,local_q6,nearest_neighbor_nm,wall_kJ_mol_molecule,intermolecular_kJ_mol_molecule,frame,rotation_c2
1100,0.5499999999999948,152.5040889127727,-566.1160115471909,101.43916370859175,-464.6768478385991,-17.691125360849714,1.5744100057893882,3.902595356368751,1.0361000000000002,0.00010668859448859993,0.6748188308123826,0.07955435721013691,0.11736367194921851,0.05803222093967453,-0.025725010837555552,-0.012612969852460439,0.008414397888616663,0.00696377955129314,0.00482825456323739,-0.0146795396556862,0.2606041716817786,0.5068681583547376,0.013606818792011283,-17.704732179641724,0,0.9656095475366526
1200,0.5999999999999893,145.55590615920022,-561.0813056806851,96.8175312471829,-464.2637744335022,-17.53379080252141,1.5744100057893882,3.902595356368751,1.0361000000000002,0.00041248344429009945,0.6679418611958002,0.08555290686449815,0.13691527405746814,0.07277752327701492,-0.024702658195648524,-0.004582634703091325,0.003181147192288537,0.02315706516136657,0.005441195012363584,-0.014194205683270398,0.2607443536872421,0.5069673983184912,0.10845305963069078,-17.6422438621521,1,0.8654113261970289
1300,0.6499999999999838,154.85910289033205,-561.8616050989741,103.00561776309452,-458.8559873358796,-17.55817515934294,1.5744100057893882,3.902595356368751,1.0361000000000002,0.0008663740976328747,0.6631726473589588,0.09644926001146881,0.16065857261964453,0.06655202306546429,-0.022655525412376868,0.004903643310146023,-0.007812515273968198,0.02167138733449052,-0.01752320353904432,-0.01007970532070251,0.2623184483063878,0.5079787719941385,0.11930738603288266,-17.677482545375824,2,0.7201005594523359
1400,0.6999999999999783,160.88941424578022,-557.9074730480481,107.0167216302765,-450.89075141777164,-17.434608532751504,1.5744100057893882,3.902595356368751,1.0361000000000002,0.0014215253730504823,0.6582865842091167,0.09092141964734028,0.16952129598196647,0.03322378462935724,-0.023724692076709415,0.0066229191905874864,-0.004605977185707061,-0.004603918534630298,-0.011445467765238575,-0.009162742172489994,0.2631263062206179,0.5084958168650273,0.11091475311427827,-17.545523285865784,3,0.5579839112990536
1500,0.7499999999999728,149.3442526035635,-552.8335880183869,99.33737643883822,-453.4962115795487,-17.27604962557459,1.5744100057893882,3.902595356368751,1.0361000000000002,0.0020101589726901586,0.6501395941684889,0.07404128314219498,0.173714471439723,0.05763720340057951,-0.02659911059680755,0.007129224684783938,0.012803058610254712,-0.02012009789116951,-0.0012266583061826192,-0.0005893030560256946,0.26314300324001433,0.5090920884952964,0.110867071450708,-17.3869166970253,4,0.4315315819958608
1600,0.7999999999999673,147.20790920851888,-556.1730318754306,97.91637265505346,-458.2566592203772,-17.380407246107207,1.5744100057893882,3.902595356368751,1.0361000000000002,0.002506919685633816,0.6473052719359799,0.053633623208864084,0.17059982181184863,0.07495830903903318,-0.029288706540892488,0.006155394718449893,0.026053645403200716,-0.018563342303275752,0.001503448442296612,-0.007116028285469469,0.2632541660198562,0.5106367267694607,0.06939282799328862,-17.449800074100494,5,0.3418345602515184
1700,0.8499999999999618,168.1382718204151,-562.6356034567209,111.83835005647714,-450.7972534002438,-17.582362608022528,1.5744100057893882,3.902595356368751,1.0361000000000002,0.0029240652644453857,0.6480322734621561,0.03242683981351052,0.17361459519632624,0.09112412973245818,-0.031172645222925347,0.0067256194096471855,0.031897293658750915,-0.012717556391230367,0.011198729048589103,-0.018851963777809705,0.2632835375296885,0.5124288948954736,0.10700730889336525,-17.689369916915894,6,0.26192142996556056
1800,0.8999999999999563,176.75798521854148,-568.0890757872218,117.57181284260477,-450.51726294461696,-17.75278361835068,1.5744100057893882,3.902595356368751,1.0361000000000002,0.0032694696497039106,0.6502803571490251,0.02388546580760478,0.1974769479272983,0.10566185900486721,-0.03166914531422322,0.01590940161701159,0.03248786580891285,-0.012694872168383423,0.018589303264262187,-0.014595912072007547,0.26401489934567485,0.5142594805200882,0.03510323963577086,-17.78788685798645,7,0.18186192136175106
1900,0.9499999999999508,179.24816325725652,-564.5314485288013,119.22817221980964,-445.3032763089917,-17.64160776652504,1.5744100057893882,3.902595356368751,1.0361000000000002,0.0036940208368055815,0.6528133218365214,0.02532575465411533,0.21657029444616005,0.0971855350316323,-0.03159598054317374,0.024673689591129092,0.020356124896028834,-0.015951644368039294,0.011640354829149848,-0.020458038536816443,0.2634134180069084,0.5126134025165057,0.0015095420915964552,-17.643117308616638,8,0.11623156111126946
2000,0.9999999999999453,180.80221943537066,-556.7170530715063,120.26186357974579,-436.45518949176045,-17.39740790848457,1.5744100057893882,3.902595356368751,1.0361000000000002,0.0041934255174253515,0.6496751250260043,0.023045763695888417,0.21340512938315614,0.07845025545628354,-0.031709824800694994,0.02227338087494322,0.008268729278670563,-0.016306827569417915,0.006384545333323082,-0.011141561333992417,0.262488791124011,0.5100099741306924,0.05644432778633368,-17.453852236270905,9,0.07842370791394762
