cos_theta_lower,cos_theta_upper,phi_lower_rad,phi_upper_rad,count,probability,relative_to_isotropic
-1.0,-0.8,-3.141592653589793,-2.748893571891069,21,0.01640625,2.625
-1.0,-0.8,-2.748893571891069,-2.356194490192345,5,0.00390625,0.625
-1.0,-0.8,-2.356194490192345,-1.9634954084936207,5,0.00390625,0.625
-1.0,-0.8,-1.9634954084936207,-1.5707963267948966,7,0.00546875,0.875
-1.0,-0.8,-1.5707963267948966,-1.1780972450961724,10,0.0078125,1.25
-1.0,-0.8,-1.1780972450961724,-0.7853981633974483,9,0.00703125,1.125
-1.0,-0.8,-0.7853981633974483,-0.39269908169872414,8,0.00625,1.0
-1.0,-0.8,-0.39269908169872414,0.0,9,0.00703125,1.125
-1.0,-0.8,0.0,0.39269908169872414,14,0.0109375,1.75
-1.0,-0.8,0.39269908169872414,0.7853981633974483,12,0.009375,1.5
-1.0,-0.8,0.7853981633974483,1.178097245096172,12,0.009375,1.5
-1.0,-0.8,1.178097245096172,1.5707963267948966,3,0.00234375,0.375
-1.0,-0.8,1.5707963267948966,1.9634954084936211,8,0.00625,1.0
-1.0,-0.8,1.9634954084936211,2.356194490192345,6,0.0046875,0.75
-1.0,-0.8,2.356194490192345,2.7488935718910685,7,0.00546875,0.875
-1.0,-0.8,2.7488935718910685,3.141592653589793,10,0.0078125,1.25
-0.8,-0.6,-3.141592653589793,-2.748893571891069,24,0.01875,3.0
-0.8,-0.6,-2.748893571891069,-2.356194490192345,0,0.0,0.0
-0.8,-0.6,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
-0.8,-0.6,-1.9634954084936207,-1.5707963267948966,6,0.0046875,0.75
-0.8,-0.6,-1.5707963267948966,-1.1780972450961724,9,0.00703125,1.125
-0.8,-0.6,-1.1780972450961724,-0.7853981633974483,4,0.003125,0.5
-0.8,-0.6,-0.7853981633974483,-0.39269908169872414,1,0.00078125,0.125
-0.8,-0.6,-0.39269908169872414,0.0,4,0.003125,0.5
-0.8,-0.6,0.0,0.39269908169872414,12,0.009375,1.5
-0.8,-0.6,0.39269908169872414,0.7853981633974483,14,0.0109375,1.75
-0.8,-0.6,0.7853981633974483,1.178097245096172,7,0.00546875,0.875
-0.8,-0.6,1.178097245096172,1.5707963267948966,6,0.0046875,0.75
-0.8,-0.6,1.5707963267948966,1.9634954084936211,9,0.00703125,1.125
-0.8,-0.6,1.9634954084936211,2.356194490192345,9,0.00703125,1.125
-0.8,-0.6,2.356194490192345,2.7488935718910685,9,0.00703125,1.125
-0.8,-0.6,2.7488935718910685,3.141592653589793,7,0.00546875,0.875
-0.6,-0.3999999999999999,-3.141592653589793,-2.748893571891069,5,0.00390625,0.625
-0.6,-0.3999999999999999,-2.748893571891069,-2.356194490192345,6,0.0046875,0.75
-0.6,-0.3999999999999999,-2.356194490192345,-1.9634954084936207,1,0.00078125,0.125
-0.6,-0.3999999999999999,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
-0.6,-0.3999999999999999,-1.5707963267948966,-1.1780972450961724,7,0.00546875,0.875
-0.6,-0.3999999999999999,-1.1780972450961724,-0.7853981633974483,6,0.0046875,0.75
-0.6,-0.3999999999999999,-0.7853981633974483,-0.39269908169872414,6,0.0046875,0.75
-0.6,-0.3999999999999999,-0.39269908169872414,0.0,6,0.0046875,0.75
-0.6,-0.3999999999999999,0.0,0.39269908169872414,15,0.01171875,1.875
-0.6,-0.3999999999999999,0.39269908169872414,0.7853981633974483,11,0.00859375,1.375
-0.6,-0.3999999999999999,0.7853981633974483,1.178097245096172,8,0.00625,1.0
