Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Dr Mario,Little Mac,1,0,1,-1,138,0.69,3,0.69
Isabelle,Wolf,1,1,0,1,57,1.715,0,1.715
Isabelle,Olimar,2,1,0,2,89,2.555,-2,4.2700000000000005
Isabelle,Falco,3,0,1,-1,0,0.0,-1,4.27
Sonic,Diddy Kong,1,1,0,2,27,2.865,-1,2.865
Sonic,Little Mac,2,1,0,2,0,3.0,1,5.865
Sonic,Banjo & Kazooie,3,0,1,-1,83,0.415,1,6.28
Bowser,Captain Falcon,1,1,0,3,127,3.365,0,3.365
Bowser,Wario,2,1,0,1,115,1.425,-2,4.79
Bowser,Byleth,3,1,0,1,62,1.69,-1,6.48
Bowser,Banjo & Kazooie,4,1,0,1,0,2.0,2,8.48
King K Rool,Kazuya,1,1,0,2,145,2.275,-2,2.275
King K Rool,Inkling,2,1,0,1,40,1.8,-2,4.075
King K Rool,PacMan,3,1,0,1,47,1.765,-1,5.84
King K Rool,Dark Samus,4,1,0,3,143,3.285,2,9.125
Pyra & Mythra,Toon Link,1,1,0,3,165,3.175,2,3.175
Pyra & Mythra,Inkling,2,1,0,1,0,2.0,2,5.175
Pyra & Mythra,Ness,3,1,0,2,53,2.735,1,7.91
Pyra & Mythra,Ice Climbers,4,1,0,2,13,2.935,1,10.844999999999999
Ice Climbers,Isabelle,1,1,0,2,0,3.0,0,3.0
Ice Climbers,Roy,2,1,0,1,11,1.945,2,4.945
Ice Climbers,Toon Link,3,1,0,1,24,1.88,-2,6.825
Ice Climbers,Peach,4,1,0,3,127,3.365,1,10.190000000000001
Ice Climbers,Falco,5,1,0,2,47,2.765,2,12.955
Toon Link,Pikachu,1,1,0,2,0,3.0,0,3.0
Toon Link,Sephiroth,2,1,0,2,133,2.335,-1,5.335
Toon Link,Pichu,3,1,0,3,97,3.515,0,8.85
Toon Link,King K Rool,4,0,1,-2,118,-0.41,0,8.44
Kirby,Sonic,1,1,0,3,95,3.525,-2,3.525
Kirby,Lucas,2,1,0,2,110,2.45,0,5.975
Kirby,Banjo & Kazooie,3,1,0,1,61,1.695,1,7.67
Kirby,Bayonetta,4,1,0,3,132,3.34,0,11.01
Cloud,Incineroar,1,1,0,2,65,2.675,1,2.675
Cloud,Villager,2,1,0,2,65,2.675,2,5.35
Cloud,Ganondorf,3,1,0,3,133,3.335,-1,8.684999999999999
Cloud,Falco,4,1,0,1,113,1.435,0,10.12
Link,Shulk,1,1,0,3,119,3.405,-1,3.405
Link,Dark Pit,2,1,0,1,32,1.84,0,5.245
Link,King K Rool,3,1,0,2,98,2.51,-1,7.755
Link,Daisy,4,1,0,3,126,3.37,0,11.125
Ike,Samus,1,1,0,2,5,2.975,0,2.975
Ike,Lucario,2,1,0,3,163,3.185,1,6.16
Ike,Zelda,3,1,0,2,0,3.0,0,9.16
Ike,Palutena,4,1,0,2,0,3.0,-1,12.16
Ridley,Duck Hunt,1,1,0,2,88,2.56,-2,2.56
Ridley,Dr Mario,2,1,0,2,56,2.72,0,5.28
Ridley,Lucas,3,1,0,1,29,1.855,-1,7.135
Ridley,Robin,4,1,0,3,100,3.5,-2,10.635
Ridley,Richter,5,1,0,2,0,3.0,2,13.635
Zelda,Jigglypuff,1,1,0,1,78,1.61,1,1.61
Zelda,Wii Fit Trainer,2,1,0,3,161,3.195,-1,4.805
Zelda,Isabelle,3,1,0,2,64,2.68,-2,7.485
Zelda,Cloud,4,1,0,3,118,3.41,-2,10.895
Min Min,Sonic,1,1,0,3,159,3.205,-1,3.205
Min Min,Ryu,2,1,0,2,15,2.925,0,6.13
Min Min,Bowser,3,1,0,3,113,3.435,1,9.565
Min Min,Cloud,4,1,0,2,0,3.0,0,12.565
Chrom,Greninja,1,1,0,3,95,3.525,-2,3.525
Chrom,Inkling,2,1,0,2,144,2.28,-1,5.805
Chrom,Richter,3,1,0,3,135,3.325,0,9.129999999999999
Chrom,Luigi,4,1,0,3,78,3.61,-2,12.74
