Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Simon,Lucina,1,0,1,-2,0,-1.0,0,-1.0
Simon,Greninja,1,1,0,1,101,1.495,-1,0.4950000000000001
Simon,Yoshi,2,0,1,-1,58,0.29,0,0.7850000000000001
Palutena,Inkling,1,0,1,-2,60,-0.7,1,-0.7
Palutena,Mewtwo,1,1,0,2,177,2.115,2,1.4150000000000003
Palutena,Lucina,2,1,0,2,47,2.765,1,4.180000000000001
Palutena,Olimar,3,1,0,2,178,2.11,-1,6.29
Palutena,Peach,4,1,0,2,102,2.49,0,8.780000000000001
Bayonetta,Olimar,1,0,1,-2,86,-0.57,0,-0.57
Bayonetta,Incineroar,1,1,0,1,99,1.505,1,0.9349999999999999
Bayonetta,Wolf,2,0,1,-1,38,0.19,-1,1.125
Samus,Lucario,1,0,1,-2,89,-0.555,1,-0.555
Samus,Byleth,1,1,0,2,182,2.09,1,1.5349999999999997
Samus,Fox,2,1,0,1,168,1.16,0,2.6949999999999994
Samus,Young Link,3,1,0,2,6,2.97,1,5.665
Samus,Wolf,4,1,0,2,106,2.47,0,8.135
Mii Brawler,Pyra & Mythra,1,0,1,-2,143,-0.285,-1,-0.285
Mii Brawler,Palutena,1,1,0,2,100,2.5,-1,2.215
Mii Brawler,PacMan,2,1,0,2,0,3.0,-1,5.215
Mii Brawler,Ganondorf,3,0,1,-1,96,0.48,0,5.695
Meta Knight,Kirby,1,0,1,-2,161,-0.195,2,-0.195
Meta Knight,Wolf,1,1,0,2,102,2.49,0,2.2950000000000004
Meta Knight,Yoshi,2,0,1,-1,34,0.17,-1,2.4650000000000003
Diddy Kong,Kazuya,1,0,1,-1,19,0.095,-1,0.095
Diddy Kong,Wario,1,1,0,1,36,1.82,-1,1.915
Diddy Kong,King K Rool,2,1,0,1,41,1.795,1,3.71
Diddy Kong,Lucina,3,0,1,-2,69,-0.655,-2,3.0549999999999997
Steve,Captain Falcon,1,0,1,-1,23,0.115,1,0.115
Steve,Ice Climbers,1,1,0,2,94,2.53,2,2.645
Steve,Ken,2,1,0,2,62,2.69,2,5.335
Steve,Zero Suit Samus,3,1,0,2,68,2.66,0,7.995
Steve,Lucina,4,1,0,2,94,2.53,2,10.525
Steve,Kazuya,5,0,1,-1,35,0.175,0,10.7
Little Mac,Steve,1,0,1,-1,35,0.175,-2,0.175
Little Mac,Meta Knight,1,1,0,1,70,1.65,-1,1.825
Little Mac,Mewtwo,2,1,0,2,36,2.82,2,4.645
Little Mac,Dark Pit,3,1,0,2,24,2.88,0,7.525
Little Mac,Ganondorf,4,1,0,2,78,2.61,-1,10.135
Mario,Falco,1,0,1,-1,47,0.235,-1,0.235
Mario,Chrom,1,1,0,2,0,3.0,0,3.235
Mario,Ice Climbers,2,1,0,2,102,2.49,-2,5.725
Mario,King K Rool,3,1,0,2,105,2.475,3,8.2
ROB,Pit,1,0,1,-1,54,0.27,1,0.27
ROB,Richter,1,1,0,2,78,2.61,-2,2.88
ROB,Lucas,2,1,0,3,80,3.6,2,6.48
ROB,Bayonetta,3,1,0,2,81,2.595,-1,9.075
Ken,Steve,1,0,1,-1,50,0.25,-2,0.25
Ken,Chrom,1,0,1,-2,56,-0.72,2,-0.47
Joker,Lucario,1,0,1,-1,63,0.315,0,0.315
Joker,King Dedede,1,0,1,-1,96,0.48,2,0.7949999999999999
Kazuya,Villager,1,0,1,-1,73,0.365,2,0.365
Kazuya,Kazuya,1,0,1,-1,0,0.0,0,0.365
Pichu,Link,1,0,1,-1,81,0.405,0,0.405
Pichu,Terry,1,1,0,1,82,1.59,0,1.995
Pichu,Shulk,2,1,0,1,24,1.88,-1,3.875
