Character,Fights,Avg_Stock_Diff,Avg_Damage,Wins,Losses,Total_Score,Win_Rate
King K Rool,16,1.875,82.5625,15,1,53.962,0.9375
Sephiroth,14,2.2857142857142856,79.28571428571429,14,0,49.569,1.0
Bowser Jr,13,2.076923076923077,83.84615384615384,12,1,49.377,0.9230769230769231
Zelda,12,2.3333333333333335,63.0,12,0,49.057,1.0
Lucas,13,2.1538461538461537,75.84615384615384,13,0,47.846000000000004,1.0
Wario,19,1.2105263157894737,60.78947368421053,16,3,47.1,0.8421052631578947
Mii Brawler,14,1.5714285714285714,70.71428571428571,12,2,46.097,0.8571428571428571
Ice Climbers,13,2.076923076923077,72.76923076923077,13,0,45.745,1.0
Bowser,14,2.0,74.64285714285714,14,0,45.625,1.0
Min Min,13,2.3076923076923075,80.23076923076923,13,0,45.487,1.0
Little Mac,13,1.4615384615384615,66.6923076923077,12,1,45.248,0.9230769230769231
Roy,15,1.8666666666666667,53.266666666666666,15,0,45.122,1.0
Mewtwo,14,1.5,53.57142857142857,13,1,44.562,0.9285714285714286
King Dedede,13,2.0,94.0,13,0,44.372,1.0
Ridley,13,1.7692307692307692,82.76923076923077,12,1,44.198,0.9230769230769231
Pyra & Mythra,14,1.5714285714285714,63.714285714285715,12,2,43.86,0.8571428571428571
Dark Samus,13,1.9230769230769231,78.61538461538461,13,0,43.414,1.0
Diddy Kong,14,1.4285714285714286,52.07142857142857,12,2,43.185,0.8571428571428571
Kirby,13,1.7692307692307692,61.53846153846154,12,1,43.033,0.9230769230769231
Wolf,13,2.076923076923077,85.15384615384616,13,0,42.942,1.0
Donkey Kong,14,1.7857142857142858,79.0,13,1,42.603,0.9285714285714286
Young Link,13,1.9230769230769231,80.46153846153847,12,1,42.507999999999996,0.9230769230769231
Greninja,13,1.8461538461538463,64.84615384615384,13,0,42.400999999999996,1.0
Pit,12,1.75,61.083333333333336,11,1,42.37,0.9166666666666666
Sora,14,1.7857142857142858,61.42857142857143,14,0,42.022999999999996,1.0
Terry,13,1.8461538461538463,66.15384615384616,13,0,41.953,1.0
Dark Pit,13,1.7692307692307692,60.15384615384615,12,1,41.764,0.9230769230769231
Olimar,12,2.0833333333333335,77.58333333333333,12,0,41.59,1.0
Cloud,13,1.7692307692307692,67.3076923076923,13,0,40.943,1.0
Shulk,13,2.0,79.53846153846153,13,0,40.813,1.0
Yoshi,13,1.7692307692307692,80.84615384615384,13,0,40.701,1.0
Piranha Plant,13,1.6923076923076923,53.76923076923077,12,1,40.596000000000004,0.9230769230769231
Robin,15,1.5333333333333334,63.13333333333333,15,0,40.545,1.0
Ganondorf,14,1.7857142857142858,70.92857142857143,14,0,40.537,1.0
Mii Gunner,13,1.6923076923076923,58.53846153846154,13,0,39.951,1.0
Ike,15,1.6666666666666667,60.06666666666667,15,0,39.687,1.0
Corrin,14,1.6428571428571428,71.71428571428571,13,1,39.616,0.9285714285714286
PacMan,13,1.6923076923076923,65.0,13,0,39.519,1.0
Incineroar,12,1.6666666666666667,62.416666666666664,12,0,39.202,1.0
Wii Fit Trainer,15,1.1333333333333333,65.4,12,3,37.984,0.8
Hero,13,1.8461538461538463,81.53846153846153,12,1,37.826,0.9230769230769231
Link,11,1.9090909090909092,91.9090909090909,10,1,37.704,0.9090909090909091
Meta Knight,14,1.1428571428571428,79.57142857142857,11,3,37.515,0.7857142857142857
Duck Hunt,13,1.5384615384615385,66.0,13,0,36.465,1.0
Inkling,14,1.2857142857142858,67.07142857142857,13,1,36.439,0.9285714285714286
Simon,13,1.3846153846153846,66.23076923076923,12,1,35.004,0.9230769230769231
Mii Swordfighter,12,1.4166666666666667,64.83333333333333,10,2,34.927,0.8333333333333334
Mr Game & Watch,12,1.5833333333333333,76.75,11,1,34.478,0.9166666666666666
Luigi,15,1.2,56.733333333333334,14,1,34.469,0.9333333333333333
Dr Mario,10,1.8,72.2,9,1,34.261,0.9
Pokemon Trainer,12,1.3333333333333333,84.08333333333333,11,1,33.619,0.9166666666666666
Villager,13,1.2307692307692308,78.23076923076923,11,2,33.109,0.8461538461538461
Chrom,9,2.111111111111111,77.66666666666667,9,0,33.09,1.0
Joker,12,1.8333333333333333,112.58333333333333,11,1,32.537,0.9166666666666666
Lucario,10,1.6,93.1,9,1,30.636,0.9
Banjo & Kazooie,10,1.8,66.9,10,0,30.442,1.0
Toon Link,12,1.3333333333333333,71.33333333333333,10,2,29.781000000000002,0.8333333333333334
Pichu,11,1.3636363636363635,80.81818181818181,10,1,29.743,0.9090909090909091
Isabelle,10,1.3,59.1,9,1,29.325,0.9
Ness,11,1.3636363636363635,67.54545454545455,9,2,29.192,0.8181818181818182
Mega Man,12,1.25,104.83333333333333,10,2,29.107,0.8333333333333334
Lucina,10,1.4,75.6,8,2,28.639,0.8
Sheik,12,1.0833333333333333,78.16666666666667,10,2,28.136,0.8333333333333334
