Character,Fights,Avg_Stock_Diff,Avg_Damage,Wins,Losses,Total_Score,Win_Rate
Mewtwo,3,1.3333333333333333,33.666666666666664,3,0,11.258,1.0
Little Mac,3,2.3333333333333335,112.33333333333333,3,0,14.337,1.0
Meta Knight,3,1.6666666666666667,37.666666666666664,3,0,10.969000000000001,1.0
Wario,5,1.8,32.2,5,0,13.369,1.0
Villager,3,2.0,117.0,3,0,11.769,1.0
Mii Brawler,3,2.0,75.0,3,0,12.448,1.0
Bayonetta,4,1.5,83.75,4,0,9.959999999999999,1.0
Byleth,3,1.0,39.333333333333336,3,0,7.590999999999999,1.0
Pichu,3,1.6666666666666667,55.0,3,0,11.597,1.0
Rosalina & Luma,3,1.6666666666666667,60.333333333333336,3,0,11.341,1.0
Palutena,2,1.0,79.5,1,1,3.966,0.5
Lucario,3,1.6666666666666667,77.66666666666667,3,0,10.431000000000001,1.0
Snake,3,1.3333333333333333,61.333333333333336,3,0,9.612,1.0
Ness,3,1.6666666666666667,23.0,3,0,10.751999999999999,1.0
Fox,4,1.5,21.25,4,0,12.36,1.0
Mega Man,3,2.0,102.66666666666667,3,0,12.030000000000001,1.0
Daisy,2,0.5,57.5,1,1,3.295,0.5
Steve,2,0.0,45.0,1,1,2.0340000000000003,0.5
Pikachu,1,-1.0,74.0,0,1,0.281,0.0
Falco,1,-1.0,107.0,0,1,0.428,0.0
Marth,2,-0.5,95.5,1,1,0.983,0.5
Kazuya,1,-1.0,124.0,0,1,0.521,0.0
