Character,Wins,Losses,Win_Rate,Fights
King K Rool,3,0,1.0,3
Pyra & Mythra,3,0,1.0,3
Diddy Kong,3,0,1.0,3
Mii Swordfighter,3,0,1.0,3
Captain Falcon,2,1,0.6666666666666666,3
Wario,3,0,1.0,3
Pichu,4,0,1.0,4
Byleth,4,0,1.0,4
ROB,3,0,1.0,3
Rosalina & Luma,4,0,1.0,4
Joker,3,0,1.0,3
Peach,3,0,1.0,3
Wii Fit Trainer,3,1,0.75,4
Bayonetta,3,0,1.0,3
Zero Suit Samus,3,0,1.0,3
Palutena,3,0,1.0,3
Lucario,3,0,1.0,3
Snake,3,0,1.0,3
Ness,2,1,0.6666666666666666,3
Fox,2,1,0.6666666666666666,3
Ken,1,1,0.5,2
Sheik,3,0,1.0,3
Mega Man,0,1,0.0,1
Jigglypuff,0,1,0.0,1
