Character,Fights,Avg_Stock_Diff,Avg_Damage,Wins,Losses,Total_Score,Win_Rate
Bowser,4,2.0,77.25,4,0,9.594999999999999,1.0
Cloud,3,1.6666666666666667,58.333333333333336,3,0,8.15,1.0
Mii Swordfighter,3,1.3333333333333333,64.33333333333333,3,0,7.734999999999999,1.0
Chrom,3,1.6666666666666667,52.0,3,0,9.355,1.0
King Dedede,4,2.0,89.0,4,0,10.276,1.0
Min Min,3,2.3333333333333335,39.333333333333336,3,0,11.316,1.0
Zelda,3,2.6666666666666665,49.666666666666664,3,0,12.530000000000001,1.0
Ridley,4,2.0,69.75,4,0,12.029,1.0
Toon Link,3,1.3333333333333333,38.333333333333336,3,0,7.783,1.0
Hero,4,1.75,79.25,4,0,8.682,1.0
Piranha Plant,3,2.0,86.33333333333333,3,0,9.695,1.0
Sephiroth,3,2.0,43.333333333333336,3,0,10.248000000000001,1.0
Lucas,3,2.3333333333333335,48.666666666666664,3,0,11.599,1.0
Pyra & Mythra,4,1.75,49.75,4,0,10.84,1.0
Link,4,2.25,103.0,4,0,9.834999999999999,1.0
Robin,4,1.5,24.0,4,0,9.183,1.0
Incineroar,3,2.0,103.66666666666667,3,0,8.998000000000001,1.0
Kirby,3,1.3333333333333333,106.66666666666667,2,1,7.890000000000001,0.6666666666666666
Banjo & Kazooie,4,1.75,40.5,4,0,10.958,1.0
King K Rool,3,1.6666666666666667,17.666666666666668,3,0,9.356,1.0
Mii Gunner,3,2.6666666666666665,101.33333333333333,3,0,10.882,1.0
Duck Hunt,4,1.75,56.25,4,0,10.08,1.0
Young Link,3,1.0,30.666666666666668,2,1,6.337000000000001,0.6666666666666666
Dark Samus,3,2.3333333333333335,81.0,3,0,11.004000000000001,1.0
Lucina,3,1.6666666666666667,82.0,3,0,8.533999999999999,1.0
Dr Mario,3,1.6666666666666667,61.666666666666664,3,0,8.567,1.0
Donkey Kong,4,1.25,52.5,3,1,9.845,0.75
Ice Climbers,3,1.3333333333333333,36.333333333333336,3,0,6.843,1.0
Bowser Jr,4,2.5,111.0,4,0,12.557,1.0
Byleth,2,0.5,69.5,1,1,3.3419999999999996,0.5
Yoshi,3,1.6666666666666667,62.0,3,0,8.030000000000001,1.0
Terry,3,1.0,24.333333333333332,3,0,7.138,1.0
Olimar,3,1.6666666666666667,47.333333333333336,3,0,8.693,1.0
Ganondorf,3,1.0,71.66666666666667,3,0,6.0,1.0
Mii Brawler,1,-1.0,102.0,0,1,0.714,0.0
Corrin,4,1.5,86.25,3,1,10.354000000000001,0.75
Dark Pit,4,1.75,17.0,4,0,10.777,1.0
Mr Game & Watch,3,2.0,120.66666666666667,3,0,8.286000000000001,1.0
Isabelle,2,0.5,88.5,1,1,3.799,0.5
Ryu,3,0.3333333333333333,105.66666666666667,2,1,4.949999999999999,0.6666666666666666
Simon,3,0.6666666666666666,68.33333333333333,2,1,5.322,0.6666666666666666
Roy,4,2.25,78.75,4,0,11.746,1.0
Sora,4,2.0,65.75,4,0,9.687,1.0
Pokemon Trainer,3,1.3333333333333333,60.0,3,0,7.0489999999999995,1.0
Pit,3,1.3333333333333333,95.66666666666667,2,1,7.096,0.6666666666666666
Meta Knight,2,0.5,122.5,1,1,3.3019999999999996,0.5
Ike,5,2.2,93.4,5,0,10.779,1.0
Diddy Kong,3,1.6666666666666667,68.0,3,0,7.907,1.0
Wario,2,0.5,107.0,1,1,2.618,0.5
ROB,3,2.3333333333333335,74.33333333333333,3,0,9.824,1.0
Greninja,3,1.3333333333333333,30.0,3,0,7.22,1.0
Wolf,3,1.6666666666666667,78.66666666666667,3,0,8.341999999999999,1.0
Little Mac,1,-2.0,37.0,0,1,-0.678,0.0
Mario,3,2.0,125.33333333333333,3,0,8.046,1.0
Inkling,4,1.0,122.75,3,1,7.751,0.75
Luigi,4,0.5,56.5,3,1,6.248,0.75
Captain Falcon,2,0.0,82.5,1,1,2.55,0.5
Sonic,4,2.25,111.5,4,0,9.938,1.0
Pichu,1,-2.0,74.0,0,1,-0.481,0.0
PacMan,4,1.75,94.5,4,0,9.129,1.0
Shulk,3,2.3333333333333335,82.33333333333333,3,0,10.033,1.0
Richter,3,1.6666666666666667,22.666666666666668,3,0,9.379999999999999,1.0
Rosalina & Luma,2,0.0,156.0,1,1,1.5070000000000001,0.5
Joker,3,2.3333333333333335,148.0,3,0,8.462,1.0
Mewtwo,3,2.0,118.66666666666667,3,0,8.297,1.0
Peach,3,1.3333333333333333,51.666666666666664,3,0,7.561,1.0
Samus,3,2.3333333333333335,98.0,3,0,9.921999999999999,1.0
Wii Fit Trainer,3,0.6666666666666666,87.66666666666667,2,1,5.015,0.6666666666666666
Bayonetta,2,0.5,64.0,1,1,3.4730000000000003,0.5
Zero Suit Samus,3,1.0,49.666666666666664,3,0,6.473000000000001,1.0
Villager,2,-0.5,87.5,1,1,0.927,0.5
Palutena,4,2.0,68.25,4,0,9.861,1.0
Lucario,1,-1.0,0.0,0,1,0.0,0.0
Snake,1,-1.0,192.0,0,1,0.95,0.0
Ness,1,-1.0,93.0,0,1,0.589,0.0
Fox,2,-0.5,108.0,1,1,0.8999999999999999,0.5
Ken,3,0.6666666666666666,57.333333333333336,2,1,5.798,0.6666666666666666
Sheik,4,0.75,58.75,3,1,7.557,0.75
Mega Man,4,1.75,83.75,4,0,8.545,1.0
Jigglypuff,4,1.5,3.75,4,0,9.855,1.0
Daisy,1,-2.0,104.0,0,1,-0.337,0.0
Steve,3,1.3333333333333333,74.0,3,0,6.543,1.0
Pikachu,1,-1.0,29.0,0,1,0.184,0.0
Falco,2,0.5,91.5,1,1,2.605,0.5
