Character,Wins,Losses,Win_Rate,Fights
King K Rool,15,1,0.9375,16
Sephiroth,14,0,1.0,14
Bowser Jr,12,1,0.9230769230769231,13
Zelda,12,0,1.0,12
Lucas,13,0,1.0,13
Wario,16,3,0.8421052631578947,19
Mii Brawler,12,2,0.8571428571428571,14
Ice Climbers,13,0,1.0,13
Bowser,14,0,1.0,14
Min Min,13,0,1.0,13
Little Mac,12,1,0.9230769230769231,13
Roy,15,0,1.0,15
Mewtwo,13,1,0.9285714285714286,14
King Dedede,13,0,1.0,13
Ridley,12,1,0.9230769230769231,13
Pyra & Mythra,12,2,0.8571428571428571,14
Dark Samus,13,0,1.0,13
Diddy Kong,12,2,0.8571428571428571,14
Kirby,12,1,0.9230769230769231,13
Wolf,13,0,1.0,13
Donkey Kong,13,1,0.9285714285714286,14
Young Link,12,1,0.9230769230769231,13
Greninja,13,0,1.0,13
Pit,11,1,0.9166666666666666,12
Sora,14,0,1.0,14
Terry,13,0,1.0,13
Dark Pit,12,1,0.9230769230769231,13
Olimar,12,0,1.0,12
Cloud,13,0,1.0,13
Shulk,13,0,1.0,13
Yoshi,13,0,1.0,13
Piranha Plant,12,1,0.9230769230769231,13
Robin,15,0,1.0,15
Ganondorf,14,0,1.0,14
Mii Gunner,13,0,1.0,13
Ike,15,0,1.0,15
Corrin,13,1,0.9285714285714286,14
PacMan,13,0,1.0,13
Incineroar,12,0,1.0,12
Wii Fit Trainer,12,3,0.8,15
Hero,12,1,0.9230769230769231,13
Link,10,1,0.9090909090909091,11
Meta Knight,11,3,0.7857142857142857,14
Duck Hunt,13,0,1.0,13
Inkling,13,1,0.9285714285714286,14
Simon,12,1,0.9230769230769231,13
Mii Swordfighter,10,2,0.8333333333333334,12
Mr Game & Watch,11,1,0.9166666666666666,12
Luigi,14,1,0.9333333333333333,15
Dr Mario,9,1,0.9,10
Pokemon Trainer,11,1,0.9166666666666666,12
Villager,11,2,0.8461538461538461,13
Chrom,9,0,1.0,9
Joker,11,1,0.9166666666666666,12
Lucario,9,1,0.9,10
Banjo & Kazooie,10,0,1.0,10
Toon Link,10,2,0.8333333333333334,12
Pichu,10,1,0.9090909090909091,11
Isabelle,9,1,0.9,10
Ness,9,2,0.8181818181818182,11
Mega Man,10,2,0.8333333333333334,12
Lucina,8,2,0.8,10
Sheik,10,2,0.8333333333333334,12
Captain Falcon,9,2,0.8181818181818182,11
Snake,9,1,0.9,10
Bayonetta,9,2,0.8181818181818182,11
Zero Suit Samus,10,1,0.9090909090909091,11
Fox,10,3,0.7692307692307693,13
Peach,9,1,0.9,10
Mario,11,1,0.9166666666666666,12
Palutena,8,2,0.8,10
Richter,7,2,0.7777777777777778,9
Rosalina & Luma,8,2,0.8,10
Byleth,9,2,0.8181818181818182,11
Sonic,10,2,0.8333333333333334,12
ROB,8,2,0.8,10
Samus,7,2,0.7777777777777778,9
Ryu,8,3,0.7272727272727273,11
Ken,8,3,0.7272727272727273,11
Jigglypuff,8,2,0.8,10
Steve,5,2,0.7142857142857143,7
Daisy,4,2,0.6666666666666666,6
Pikachu,3,2,0.6,5
Falco,3,3,0.5,6
Marth,3,3,0.5,6
Kazuya,2,3,0.4,5
